IBIS File,IBIS Model,Model Type,Corner,Mode,Hspice File,Hspice Model,IV Data,Lib IBIS File,Lib IBIS Model,Vmeas,VmeasRef,VmeasR,VmeasF,Overshoot High,AC Overshoot High,Vin AC High,Vin DC High,AC Ringback High,Ringback High,VinMeas R High,VinMeas F High,VinMeas R Low,VinMeas F Low,Ringback Low,AC Ringback Low,Vin DC Low,Vin AC Low,AC Overshoot Low,Overshoot Low,AC Overshoot High Area,AC Ringback Low Area,Max AC Noise,Crosstalk Sync Thresh,Crosstalk Async Thresh,Crosstalk Delta V,Crosstalk Delta T,Vdiff,Vdiff DC,Vdiff AC,Vdiff Vcm Min,Vdiff Vcm Max,Vcm,Vcm Overshoot,Vdm,TiVW Output Skew,DDR4,ViVW_total,ViVW_dV,Rj_v,VIHL_AC,TiVW_total,TiVW_dj,TiPW,Rj_t,VrefDQ,Vix_DQS,Vix_DQS Ratio,SRIN diVW Min,SRIN diVW Max,SRIdiff Min,SRIdiff Max,Max Eye VinMeas Jitter,Min Eye VinMeas Width,Min Eye VinMeas (H/L) Width,Min Eye VinMeas High Width,Min Eye VinMeas Low Width,Max Eye Outer Height,Min Eye Inner Height,Inner Eye Center Left,Inner Eye Center Right,Outer Eye Center Left,Outer Eye Center Right,Non Monotonic Time,AC Overshoot Time,AC Ringback Time,Slew Time Min,Slew Time Max,Polarity,Enable,Temperature Range,Voltage Range,Pullup Reference,Pulldown Reference,Power Clamp Reference,GND Clamp Reference,Core Voltage,IOVref,Vin_Vref,Probe Points,Stdload Bit Time,C comp,R pkg,C pkg,L pkg,Package File,Package Model,Vref,Rref,Cref,Mod Ref File,Mod Ref,Mod Ref R File,Mod Ref R,Mod Ref F File,Mod Ref F,Td Ref,Zo Ref,Td Back Off Ref,UI Ref,Diff Term File,Diff Term,Mod Ref File Diff,Mod Ref Diff,Force IV 0,Split IV,VT count,Ramp_wf,Tune_wf,dV/dt_r,dV/dt_f,Ramp Offset,Rth_R,Rth_F,Rth_High,Rth_Low,Rth_I,Rdrv_R,Rdrv_F,Rdrv_High,Rdrv_Low,Rterm,Vterm,V Sweep Low,V Sweep High,Used in Tnet
generic_3_3v.ibs,3_3V_I,Input,FF,,testbed.mod,tech_in_33,Yes,,,NA,NA,NA,NA,3.9,NoDef,2.,2.,NoDef,2.,1.65,1.65,1.65,1.65,.8,NoDef,.8,.8,NoDef,-.55,NoDef,NoDef,.35,NoDef,NoDef,NoDef,NoDef,1.2,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,,0.,3.6,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,NoDef,2.502p,.25,1p,4n,,,1.65,50.,0.,,,,,,,NoDef,NoDef,NoDef,NoDef,,,,,,,,NoDef,NoDef,,,NoDef,NoDef,NoDef,NoDef,NoDef,151.158K,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,true
generic_3_3v.ibs,3_3V_I,Input,TT,,testbed.mod,tech_in_33,Yes,,,NA,NA,NA,NA,3.8,NoDef,2.,2.,NoDef,2.,1.65,1.65,1.65,1.65,.8,NoDef,.8,.8,NoDef,-.5,NoDef,NoDef,.35,NoDef,NoDef,NoDef,NoDef,1.2,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,,25.,3.3,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,NoDef,3.002p,.25,1p,4n,,,1.65,50.,0.,,,,,,,NoDef,NoDef,NoDef,NoDef,,,,,,,,NoDef,NoDef,,,NoDef,NoDef,NoDef,NoDef,NoDef,250.001K,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,true
generic_3_3v.ibs,3_3V_I,Input,SS,,testbed.mod,tech_in_33,Yes,,,NA,NA,NA,NA,3.7,NoDef,2.,2.,NoDef,2.,1.65,1.65,1.65,1.65,.8,NoDef,.8,.8,NoDef,-.45,NoDef,NoDef,.35,NoDef,NoDef,NoDef,NoDef,1.2,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,,100.,3.,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,NoDef,3.502p,.25,1p,4n,,,1.65,50.,0.,,,,,,,NoDef,NoDef,NoDef,NoDef,,,,,,,,NoDef,NoDef,,,NoDef,NoDef,NoDef,NoDef,NoDef,250.002K,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,true
generic_3_3v.ibs,3_3V_IO_fast_10ohm,I/O,FF,,testbed.mod,tech_io_33,Yes,,,1.65,NoDef,1.65,1.65,3.9,NoDef,2.,2.,NoDef,2.,1.65,1.65,1.65,1.65,.8,NoDef,.8,.8,NoDef,-.55,NoDef,NoDef,.35,NoDef,NoDef,NoDef,NoDef,1.2,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,,0.,3.6,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,NoDef,2.502p,.25,1p,4n,,,1.65,50.,0.,,,,,,,NoDef,NoDef,NoDef,NoDef,,,,,,,,NoDef,NoDef,1.8/226.997p,1.8/227.017p,NoDef,10.004,10.,10.,10.,249.998K,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,false
generic_3_3v.ibs,3_3V_IO_fast_10ohm,I/O,TT,,testbed.mod,tech_io_33,Yes,,,1.65,NoDef,1.65,1.65,3.8,NoDef,2.,2.,NoDef,2.,1.65,1.65,1.65,1.65,.8,NoDef,.8,.8,NoDef,-.5,NoDef,NoDef,.35,NoDef,NoDef,NoDef,NoDef,1.2,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,,25.,3.3,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,NoDef,3.002p,.25,1p,4n,,,1.65,50.,0.,,,,,,,NoDef,NoDef,NoDef,NoDef,,,,,,,,NoDef,NoDef,1.65/339p,1.65/338.938p,NoDef,10.,10.,10.,10.,250K,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,false
generic_3_3v.ibs,3_3V_IO_fast_10ohm,I/O,SS,,testbed.mod,tech_io_33,Yes,,,1.65,NoDef,1.65,1.65,3.7,NoDef,2.,2.,NoDef,2.,1.65,1.65,1.65,1.65,.8,NoDef,.8,.8,NoDef,-.45,NoDef,NoDef,.35,NoDef,NoDef,NoDef,NoDef,1.2,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,,100.,3.,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,NoDef,3.502p,.25,1p,4n,,,1.65,50.,0.,,,,,,,NoDef,NoDef,NoDef,NoDef,,,,,,,,NoDef,NoDef,1.5/451.209p,1.5/451.205p,NoDef,9.999,10.,10.,10.,249.999K,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,false
generic_3_3v.ibs,3_3V_IO_fast_20ohm,I/O,FF,,testbed.mod,tech_io_33,Yes,,,1.65,NoDef,1.65,1.65,3.9,NoDef,2.,2.,NoDef,2.,1.65,1.65,1.65,1.65,.8,NoDef,.8,.8,NoDef,-.55,NoDef,NoDef,.35,NoDef,NoDef,NoDef,NoDef,1.2,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,,0.,3.6,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,NoDef,2.502p,.25,1p,4n,,,1.65,50.,0.,,,,,,,NoDef,NoDef,NoDef,NoDef,,,,,,,,NoDef,NoDef,1.543/230.632p,1.543/230.479p,NoDef,20.,20.,19.999,19.999,221.019K,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,false
generic_3_3v.ibs,3_3V_IO_fast_20ohm,I/O,TT,,testbed.mod,tech_io_33,Yes,,,1.65,NoDef,1.65,1.65,3.8,NoDef,2.,2.,NoDef,2.,1.65,1.65,1.65,1.65,.8,NoDef,.8,.8,NoDef,-.5,NoDef,NoDef,.35,NoDef,NoDef,NoDef,NoDef,1.2,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,,25.,3.3,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,NoDef,3.002p,.25,1p,4n,,,1.65,50.,0.,,,,,,,NoDef,NoDef,NoDef,NoDef,,,,,,,,NoDef,NoDef,1.414/342.109p,1.414/341.812p,NoDef,19.998,20.,19.999,19.999,250.001K,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,false
generic_3_3v.ibs,3_3V_IO_fast_20ohm,I/O,SS,,testbed.mod,tech_io_33,Yes,,,1.65,NoDef,1.65,1.65,3.7,NoDef,2.,2.,NoDef,2.,1.65,1.65,1.65,1.65,.8,NoDef,.8,.8,NoDef,-.45,NoDef,NoDef,.35,NoDef,NoDef,NoDef,NoDef,1.2,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,,100.,3.,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,NoDef,3.502p,.25,1p,4n,,,1.65,50.,0.,,,,,,,NoDef,NoDef,NoDef,NoDef,,,,,,,,NoDef,NoDef,1.286/454.008p,1.286/453.868p,NoDef,19.998,20.,19.999,19.999,249.999K,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,false
generic_3_3v.ibs,3_3V_IO_fast_30ohm,I/O,FF,,testbed.mod,tech_io_33,Yes,,,1.65,NoDef,1.65,1.65,3.9,NoDef,2.,2.,NoDef,2.,1.65,1.65,1.65,1.65,.8,NoDef,.8,.8,NoDef,-.55,NoDef,NoDef,.35,NoDef,NoDef,NoDef,NoDef,1.2,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,,0.,3.6,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,NoDef,2.502p,.25,1p,4n,,,1.65,50.,0.,,,,,,,NoDef,NoDef,NoDef,NoDef,,,,,,,,NoDef,NoDef,1.35/234.55p,1.35/233.749p,NoDef,30.001,30.001,29.998,29.997,250.002K,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,false
