Warning,Part,IBIS File,IBIS Component,Timing File,Timing Model,Pin Number,Pin Name,Model Name,Model Type,Additional Data
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,C14, WDT_CLKIN,PDXO01DG,Input,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,F1, CLKIN,PDXO01DG,Input,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,H14, RTXI,PDXO01DG,Input,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,B12, TRST_B,PDUSDGZ,Input,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,B4, TMS,PDUSDGZ,Input,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,C8, TDI,PDUSDGZ,Input,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,A10, DATA7,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,A11, DATA3,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,A12, DATA1,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,A13, DATA2,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,A2, SDCKE,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,A3, SDDQM,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,A4, SDRAS_B,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,A5, SDWE_B,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,A6, DATA12,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,A7, DATA13,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,A8, DATA10,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,A9, DATA9,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,B1, ADDR0,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,B10, DATA6,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,B11, DATA5,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,B13, FLAG1,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,B14, DATA0,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,B6, DATA14,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,B7, DATA11,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,B8, DATA4,PDU12SDGZ,I/O,
