Part,IBIS File,IBIS Component,IBIS Model,Model Type,Corner,Mode,Vmeas R,Vmeas R Value,Vmeas F,Vmeas F Value,AC Overshoot Time,AC Overshoot Time Value,Slew Time Max,Slew Time Max Value,Overshoot High,Overshoot High Value,AC Overshoot High,AC Overshoot High Value,Vin AC High,Vin AC High Value,Vin DC High,Vin DC High Value,Ringback High,Ringback High Value,VinMeas R High,VinMeas R High Value,VinMeas F High,VinMeas F High Value,VinMeas R Low,VinMeas R Low Value,VinMeas F Low,VinMeas F Low Value,VinVref,VinVref Value,Ringback Low,Ringback Low Value,Vin DC Low,Vin DC Low Value,Vin AC Low,Vin AC Low Value,AC Overshoot Low,AC Overshoot Low Value,Overshoot Low,Overshoot Low Value,VCM Min,VCM Min Value,VCM Max,VCM Max Value
ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,PDUSDGZ,Input,FF,,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NA,NA,VinH,2.,VinH,2.,VinH,2.,VinH,2.,VinH,2.,VinL,.8,VinL,.8,(Vin_Meas_Low+Vin_Meas_High)/2,1.4,VinL,.8,VinL,.8,VinL,.8,NA,NA,NoDef,NoDef,NA,NoDef,NA,NoDef
ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,PDUSDGZ,Input,TT,,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NA,NA,VinH,2.,VinH,2.,VinH,2.,VinH,2.,VinH,2.,VinL,.8,VinL,.8,(Vin_Meas_Low+Vin_Meas_High)/2,1.4,VinL,.8,VinL,.8,VinL,.8,NA,NA,NoDef,NoDef,NA,NoDef,NA,NoDef
ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,PDUSDGZ,Input,SS,,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NA,NA,VinH,2.,VinH,2.,VinH,2.,VinH,2.,VinH,2.,VinL,.8,VinL,.8,(Vin_Meas_Low+Vin_Meas_High)/2,1.4,VinL,.8,VinL,.8,VinL,.8,NA,NA,NoDef,NoDef,NA,NoDef,NA,NoDef
ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,PDT12DGZ,3-state,FF,,Vmeas,1.65,Vmeas,1.65,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NA,NA,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,(Vin_Meas_Low+Vin_Meas_High)/2,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NA,NA,NoDef,NoDef,NA,NoDef,NA,NoDef
ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,PDT12DGZ,3-state,TT,,Vmeas,1.65,Vmeas,1.65,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NA,NA,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,(Vin_Meas_Low+Vin_Meas_High)/2,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NA,NA,NoDef,NoDef,NA,NoDef,NA,NoDef
ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,PDT12DGZ,3-state,SS,,Vmeas,1.65,Vmeas,1.65,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NA,NA,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,(Vin_Meas_Low+Vin_Meas_High)/2,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NA,NA,NoDef,NoDef,NA,NoDef,NA,NoDef
ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,PDXO01DG,Input,FF,,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NA,NA,VinH,2.,VinH,2.,VinH,2.,VinH,2.,VinH,2.,VinL,.8,VinL,.8,(Vin_Meas_Low+Vin_Meas_High)/2,1.4,VinL,.8,VinL,.8,VinL,.8,NA,NA,NoDef,NoDef,NA,NoDef,NA,NoDef
ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,PDXO01DG,Input,TT,,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NA,NA,VinH,2.,VinH,2.,VinH,2.,VinH,2.,VinH,2.,VinL,.8,VinL,.8,(Vin_Meas_Low+Vin_Meas_High)/2,1.4,VinL,.8,VinL,.8,VinL,.8,NA,NA,NoDef,NoDef,NA,NoDef,NA,NoDef
ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,PDXO01DG,Input,SS,,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NA,NA,VinH,2.,VinH,2.,VinH,2.,VinH,2.,VinH,2.,VinL,.8,VinL,.8,(Vin_Meas_Low+Vin_Meas_High)/2,1.4,VinL,.8,VinL,.8,VinL,.8,NA,NA,NoDef,NoDef,NA,NoDef,NA,NoDef
ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,PDISDGZ,Input,FF,,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NA,NA,VinH,2.,VinH,2.,VinH,2.,VinH,2.,VinH,2.,VinL,.8,VinL,.8,(Vin_Meas_Low+Vin_Meas_High)/2,1.4,VinL,.8,VinL,.8,VinL,.8,NA,NA,NoDef,NoDef,NA,NoDef,NA,NoDef
ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,PDISDGZ,Input,TT,,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NA,NA,VinH,2.,VinH,2.,VinH,2.,VinH,2.,VinH,2.,VinL,.8,VinL,.8,(Vin_Meas_Low+Vin_Meas_High)/2,1.4,VinL,.8,VinL,.8,VinL,.8,NA,NA,NoDef,NoDef,NA,NoDef,NA,NoDef
ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,PDISDGZ,Input,SS,,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NA,NA,VinH,2.,VinH,2.,VinH,2.,VinH,2.,VinH,2.,VinL,.8,VinL,.8,(Vin_Meas_Low+Vin_Meas_High)/2,1.4,VinL,.8,VinL,.8,VinL,.8,NA,NA,NoDef,NoDef,NA,NoDef,NA,NoDef
ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,PDU12SDGZ,I/O,FF,,Vmeas,1.65,Vmeas,1.65,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NA,NA,VinH,2.,VinH,2.,VinH,2.,VinH,2.,VinH,2.,VinL,.8,VinL,.8,(Vin_Meas_Low+Vin_Meas_High)/2,1.4,VinL,.8,VinL,.8,VinL,.8,NA,NA,NoDef,NoDef,NA,NoDef,NA,NoDef
ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,PDU12SDGZ,I/O,TT,,Vmeas,1.65,Vmeas,1.65,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NA,NA,VinH,2.,VinH,2.,VinH,2.,VinH,2.,VinH,2.,VinL,.8,VinL,.8,(Vin_Meas_Low+Vin_Meas_High)/2,1.4,VinL,.8,VinL,.8,VinL,.8,NA,NA,NoDef,NoDef,NA,NoDef,NA,NoDef
ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,PDU12SDGZ,I/O,SS,,Vmeas,1.65,Vmeas,1.65,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NA,NA,VinH,2.,VinH,2.,VinH,2.,VinH,2.,VinH,2.,VinL,.8,VinL,.8,(Vin_Meas_Low+Vin_Meas_High)/2,1.4,VinL,.8,VinL,.8,VinL,.8,NA,NA,NoDef,NoDef,NA,NoDef,NA,NoDef
ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,PDD24SDGZ,I/O,FF,,Vmeas,1.65,Vmeas,1.65,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NA,NA,VinH,2.,VinH,2.,VinH,2.,VinH,2.,VinH,2.,VinL,.8,VinL,.8,(Vin_Meas_Low+Vin_Meas_High)/2,1.4,VinL,.8,VinL,.8,VinL,.8,NA,NA,NoDef,NoDef,NA,NoDef,NA,NoDef
ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,PDD24SDGZ,I/O,TT,,Vmeas,1.65,Vmeas,1.65,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NA,NA,VinH,2.,VinH,2.,VinH,2.,VinH,2.,VinH,2.,VinL,.8,VinL,.8,(Vin_Meas_Low+Vin_Meas_High)/2,1.4,VinL,.8,VinL,.8,VinL,.8,NA,NA,NoDef,NoDef,NA,NoDef,NA,NoDef
ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,PDD24SDGZ,I/O,SS,,Vmeas,1.65,Vmeas,1.65,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NA,NA,VinH,2.,VinH,2.,VinH,2.,VinH,2.,VinH,2.,VinL,.8,VinL,.8,(Vin_Meas_Low+Vin_Meas_High)/2,1.4,VinL,.8,VinL,.8,VinL,.8,NA,NA,NoDef,NoDef,NA,NoDef,NA,NoDef
y14w,y14w.ibs,MT48LC16M4A2TG,dqbuff,I/O,FF,,Vmeas,1.5,Vmeas,1.5,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NA,NA,VinH,2.,VinH,2.,VinH,2.,VinH,2.,VinH,2.,VinL,.8,VinL,.8,(Vin_Meas_Low+Vin_Meas_High)/2,1.4,VinL,.8,VinL,.8,VinL,.8,NA,NA,NoDef,NoDef,NA,NoDef,NA,NoDef
y14w,y14w.ibs,MT48LC16M4A2TG,dqbuff,I/O,TT,,Vmeas,1.5,Vmeas,1.5,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NA,NA,VinH,2.,VinH,2.,VinH,2.,VinH,2.,VinH,2.,VinL,.8,VinL,.8,(Vin_Meas_Low+Vin_Meas_High)/2,1.4,VinL,.8,VinL,.8,VinL,.8,NA,NA,NoDef,NoDef,NA,NoDef,NA,NoDef
y14w,y14w.ibs,MT48LC16M4A2TG,dqbuff,I/O,SS,,Vmeas,1.5,Vmeas,1.5,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NA,NA,VinH,2.,VinH,2.,VinH,2.,VinH,2.,VinH,2.,VinL,.8,VinL,.8,(Vin_Meas_Low+Vin_Meas_High)/2,1.4,VinL,.8,VinL,.8,VinL,.8,NA,NA,NoDef,NoDef,NA,NoDef,NA,NoDef
y14w,y14w.ibs,MT48LC16M4A2TG,clkbuff,Input,FF,,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NA,NA,VinH,2.,VinH,2.,VinH,2.,VinH,2.,VinH,2.,VinL,.8,VinL,.8,(Vin_Meas_Low+Vin_Meas_High)/2,1.4,VinL,.8,VinL,.8,VinL,.8,NA,NA,NoDef,NoDef,NA,NoDef,NA,NoDef
