Transfer Net,Driver,Receiver,R / F,Min Etch Delay (ns),Max Etch Delay (ns),AC-DC Slew Rate (V/ns),Corner,Edge #,Time (ns),Pulse Width (ns),Delay Variation (ns),Driver Probe Point,Receiver Node,Min Raw Etch Delay (ns),Max Raw Etch Delay (ns),Min Derate (ns),Max Derate (ns),Standard Load Delay (ns),Simulation,Ac Noise,Ac Noise Source,$T1:DELAY,$T2:DELAY,$T4:DELAY,PATTERN
sheet1,Controller,IO0,F,0.800,0.863,10.359,SSSE,2,31.730,15.000,0.063,SL_PAD/,IO0_pad,1.649,1.712,0.000,0.000,0.849,controller_ssse_3_0o75_0o75\controller_ssse_3_0o75_0o75.csd,0.00V,tnet,3in,0.75in,0.75in,default_clock
sheet1,Controller,IO0,R,0.725,0.807,8.023,SSSE,3,46.850,15.000,0.082,SL_PAD/,IO0_pad,1.759,1.841,0.000,0.000,1.034,controller_ssse_3_0o75_0o75\controller_ssse_3_0o75_0o75.csd,0.00V,tnet,3in,0.75in,0.75in,default_clock
sheet1,Controller,IO0,F,0.799,0.862,10.459,SSSE,4,61.729,15.000,0.063,SL_PAD/,IO0_pad,1.648,1.711,0.000,0.000,0.849,controller_ssse_3_0o75_0o75\controller_ssse_3_0o75_0o75.csd,0.00V,tnet,3in,0.75in,0.75in,default_clock
sheet1,Controller,IO0,R,0.725,0.807,8.069,SSSE,5,76.849,15.000,0.082,SL_PAD/,IO0_pad,1.759,1.841,0.000,0.000,1.034,controller_ssse_3_0o75_0o75\controller_ssse_3_0o75_0o75.csd,0.00V,tnet,3in,0.75in,0.75in,default_clock
sheet1,Controller,IO0,F,0.801,0.865,10.280,SSSE,6,91.732,15.000,0.064,SL_PAD/,IO0_pad,1.650,1.714,0.000,0.000,0.849,controller_ssse_3_0o75_0o75\controller_ssse_3_0o75_0o75.csd,0.00V,tnet,3in,0.75in,0.75in,default_clock
sheet1,Controller,IO0,R,0.724,0.805,8.074,SSSE,7,106.848,15.000,0.081,SL_PAD/,IO0_pad,1.758,1.839,0.000,0.000,1.034,controller_ssse_3_0o75_0o75\controller_ssse_3_0o75_0o75.csd,0.00V,tnet,3in,0.75in,0.75in,default_clock
sheet1,Controller,IO0,F,0.799,0.861,10.522,SSSE,8,121.729,15.000,0.062,SL_PAD/,IO0_pad,1.648,1.710,0.000,0.000,0.849,controller_ssse_3_0o75_0o75\controller_ssse_3_0o75_0o75.csd,0.00V,tnet,3in,0.75in,0.75in,default_clock
sheet1,Controller,IO0,R,0.725,0.809,7.864,SSSE,9,136.851,15.000,0.084,SL_PAD/,IO0_pad,1.759,1.843,0.000,0.000,1.034,controller_ssse_3_0o75_0o75\controller_ssse_3_0o75_0o75.csd,0.00V,tnet,3in,0.75in,0.75in,default_clock
sheet1,Controller,IO0,F,0.801,0.865,10.302,SSSE,10,151.732,15.000,0.064,SL_PAD/,IO0_pad,1.650,1.714,0.000,0.000,0.849,controller_ssse_3_0o75_0o75\controller_ssse_3_0o75_0o75.csd,0.00V,tnet,3in,0.75in,0.75in,default_clock
sheet1,Controller,IO0,R,0.724,0.807,7.954,SSSE,11,166.850,15.000,0.083,SL_PAD/,IO0_pad,1.758,1.841,0.000,0.000,1.034,controller_ssse_3_0o75_0o75\controller_ssse_3_0o75_0o75.csd,0.00V,tnet,3in,0.75in,0.75in,default_clock
sheet1,Controller,IO0,F,0.799,0.863,10.418,SSSE,12,181.730,15.000,0.064,SL_PAD/,IO0_pad,1.648,1.712,0.000,0.000,0.849,controller_ssse_3_0o75_0o75\controller_ssse_3_0o75_0o75.csd,0.00V,tnet,3in,0.75in,0.75in,default_clock
