Setup Margin (ns),Hold Margin (ns),Data R/F,Transfer Net,Driver,Receiver,UI (ns),Min Data Etch Delay (ns),Max Data Etch Delay (ns),Min Tco (ns),Max Tco (ns),Setup (ns),Hold (ns),Setup Skew (ns),Hold Skew (ns),Source Clock Net,Target Clock Net,Simulation,Corner
8.188,3.524,R,sheet1,Controller,IO0,15.000,0.724,0.812,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,controller_ssse_3_0o75_0o75\controller_ssse_3_0o75_0o75.csd,SSSE
8.135,3.599,F,sheet1,Controller,IO0,15.000,0.799,0.865,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,controller_ssse_3_0o75_0o75\controller_ssse_3_0o75_0o75.csd,SSSE
7.965,3.726,R,sheet1,Controller,IO1,15.000,0.926,1.035,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,controller_ssse_3_0o75_0o75\controller_ssse_3_0o75_0o75.csd,SSSE
7.913,3.808,F,sheet1,Controller,IO1,15.000,1.008,1.087,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,controller_ssse_3_0o75_0o75\controller_ssse_3_0o75_0o75.csd,SSSE
8.185,3.527,R,sheet1,IO0,Controller,15.000,0.727,0.815,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,io0_ssse_3_0o75_0o75\io0_ssse_3_0o75_0o75.csd,SSSE
8.110,3.615,F,sheet1,IO0,Controller,15.000,0.815,0.890,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,io0_ssse_3_0o75_0o75\io0_ssse_3_0o75_0o75.csd,SSSE
7.977,3.717,R,sheet1,IO1,Controller,15.000,0.917,1.023,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,io1_ssse_3_0o75_0o75\io1_ssse_3_0o75_0o75.csd,SSSE
7.910,3.804,F,sheet1,IO1,Controller,15.000,1.004,1.090,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,io1_ssse_3_0o75_0o75\io1_ssse_3_0o75_0o75.csd,SSSE
8.196,3.511,R,sheet1,Controller,IO0,15.000,0.711,0.804,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,controller_ssse_3_0o75_1o5\controller_ssse_3_0o75_1o5.csd,SSSE
7.073,3.596,F,sheet1,Controller,IO0,15.000,0.796,1.927,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,controller_ssse_3_0o75_1o5\controller_ssse_3_0o75_1o5.csd,SSSE
7.824,3.875,R,sheet1,Controller,IO1,15.000,1.075,1.176,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,controller_ssse_3_0o75_1o5\controller_ssse_3_0o75_1o5.csd,SSSE
7.760,3.956,F,sheet1,Controller,IO1,15.000,1.156,1.240,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,controller_ssse_3_0o75_1o5\controller_ssse_3_0o75_1o5.csd,SSSE
8.181,3.523,R,sheet1,IO0,Controller,15.000,0.723,0.819,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,io0_ssse_3_0o75_1o5\io0_ssse_3_0o75_1o5.csd,SSSE
8.117,3.606,F,sheet1,IO0,Controller,15.000,0.806,0.883,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,io0_ssse_3_0o75_1o5\io0_ssse_3_0o75_1o5.csd,SSSE
7.825,3.870,R,sheet1,IO1,Controller,15.000,1.070,1.175,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,io1_ssse_3_0o75_1o5\io1_ssse_3_0o75_1o5.csd,SSSE
7.763,3.953,F,sheet1,IO1,Controller,15.000,1.153,1.237,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,io1_ssse_3_0o75_1o5\io1_ssse_3_0o75_1o5.csd,SSSE
8.039,3.664,R,sheet1,Controller,IO0,15.000,0.864,0.961,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,controller_ssse_3_1o5_0o75\controller_ssse_3_1o5_0o75.csd,SSSE
7.990,3.738,F,sheet1,Controller,IO0,15.000,0.938,1.010,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,controller_ssse_3_1o5_0o75\controller_ssse_3_1o5_0o75.csd,SSSE
7.975,3.727,R,sheet1,Controller,IO1,15.000,0.927,1.025,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,controller_ssse_3_1o5_0o75\controller_ssse_3_1o5_0o75.csd,SSSE
7.905,3.816,F,sheet1,Controller,IO1,15.000,1.016,1.095,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,controller_ssse_3_1o5_0o75\controller_ssse_3_1o5_0o75.csd,SSSE
8.036,3.667,R,sheet1,IO0,Controller,15.000,0.867,0.964,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,io0_ssse_3_1o5_0o75\io0_ssse_3_1o5_0o75.csd,SSSE
7.958,3.760,F,sheet1,IO0,Controller,15.000,0.960,1.042,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,io0_ssse_3_1o5_0o75\io0_ssse_3_1o5_0o75.csd,SSSE
