Transfer Net,Driver,Receiver,Simulation,Node,Setup Margin (ns),Hold Margin (ns),Rmin Etch Delay (ns),Rmax Etch Delay (ns),Fmin Etch Delay (ns),Fmax Etch Delay (ns),Min Slew Time (ns),Max Slew Time (ns),Min Voltage (V),Max Voltage (V),UI (ns),VinMeas(H/L) Width (ns),Virtual Eye Width (ns),VinMeas Width (ns),VinMeas Jitter (ns),Inner Height (V),Outer Height (V),Inner Eye Min (V),Inner Eye Max (V),Outer Eye Min (V),Outer Eye Max (V),Rising Jitter (ns),Falling Jitter (ns),Ringback Margin (V),Ringback_High Margin (V),Ringback_Low Margin (V),Corner,Ac Noise,Ac Noise Source,$T1:DELAY,$T2:DELAY,$T4:DELAY,PATTERN
sheet1,Controller,IO0,controller_ssse_3_0o75_0o75\controller_ssse_3_0o75_0o75.csd,IO0_pad,8.135,3.524,0.724,0.812,0.799,0.865,0.063,0.084,-0.660,3.723,15.000,14.802,14.859,14.878,0.122,2.825,4.354,0.151,2.976,-0.660,3.694,0.002,0.003,0.161,0.368,0.161,SSSE,0.00V,tnet,3in,0.75in,0.75in,default_clock
sheet1,Controller,IO1,controller_ssse_3_0o75_0o75\controller_ssse_3_0o75_0o75.csd,IO1_pad,7.913,3.726,0.926,1.035,1.008,1.087,0.074,0.102,-0.702,3.846,15.000,14.789,14.839,14.875,0.125,2.918,4.541,0.083,3.002,-0.702,3.839,0.010,0.003,0.426,0.544,0.426,SSSE,0.00V,tnet,3in,0.75in,0.75in,default_clock
sheet1,IO0,Controller,io0_ssse_3_0o75_0o75\io0_ssse_3_0o75_0o75.csd,Controller_pad,8.110,3.527,0.727,0.815,0.815,0.890,0.067,0.085,-0.696,3.756,15.000,14.818,14.837,14.893,0.107,2.636,4.450,0.279,2.915,-0.695,3.755,0.005,0.005,0.350,0.908,0.350,SSSE,0.00V,tnet,3in,0.75in,0.75in,default_clock
sheet1,IO1,Controller,io1_ssse_3_0o75_0o75\io1_ssse_3_0o75_0o75.csd,Controller_pad,7.910,3.717,0.917,1.023,1.004,1.090,0.073,0.103,-0.711,3.836,15.000,14.799,14.827,14.886,0.114,2.532,4.543,0.288,2.820,-0.710,3.832,0.004,0.010,0.334,0.465,0.334,SSSE,0.00V,tnet,3in,0.75in,0.75in,default_clock
sheet1,Controller,IO0,controller_ssse_3_0o75_1o5\controller_ssse_3_0o75_1o5.csd,IO0_pad,7.073,3.511,0.711,0.804,0.796,1.927,0.064,0.091,-0.673,3.748,15.000,13.874,13.784,14.883,0.117,2.771,4.413,0.244,3.014,-0.665,3.748,0.003,0.007,-0.114,0.138,-0.114,SSSE,0.00V,tnet,3in,0.75in,1.5in,default_clock
sheet1,Controller,IO1,controller_ssse_3_0o75_1o5\controller_ssse_3_0o75_1o5.csd,IO1_pad,7.760,3.875,1.075,1.176,1.156,1.240,0.074,0.098,-0.712,3.896,15.000,14.795,14.835,14.881,0.119,2.596,4.608,0.318,2.914,-0.712,3.896,0.006,0.008,0.505,0.516,0.505,SSSE,0.00V,tnet,3in,0.75in,1.5in,default_clock
sheet1,IO0,Controller,io0_ssse_3_0o75_1o5\io0_ssse_3_0o75_1o5.csd,Controller_pad,8.117,3.523,0.723,0.819,0.806,0.883,0.065,0.093,-0.674,3.438,15.000,14.804,14.840,14.883,0.117,2.775,4.107,0.079,2.854,-0.674,3.433,0.005,0.008,0.594,0.645,0.594,SSSE,0.00V,tnet,3in,0.75in,1.5in,default_clock
sheet1,IO1,Controller,io1_ssse_3_0o75_1o5\io1_ssse_3_0o75_1o5.csd,Controller_pad,7.763,3.870,1.070,1.175,1.153,1.237,0.072,0.101,-0.702,3.861,15.000,14.794,14.833,14.881,0.119,2.442,4.563,0.424,2.866,-0.702,3.861,0.005,0.010,0.286,0.393,0.286,SSSE,0.00V,tnet,3in,0.75in,1.5in,default_clock
sheet1,Controller,IO0,controller_ssse_3_1o5_0o75\controller_ssse_3_1o5_0o75.csd,IO0_pad,7.990,3.664,0.864,0.961,0.938,1.010,0.064,0.096,-0.670,3.697,15.000,14.796,14.854,14.871,0.129,2.814,4.366,0.209,3.023,-0.670,3.696,0.005,0.006,0.613,0.808,0.613,SSSE,0.00V,tnet,3in,1.5in,0.75in,default_clock
sheet1,Controller,IO1,controller_ssse_3_1o5_0o75\controller_ssse_3_1o5_0o75.csd,IO1_pad,7.905,3.727,0.927,1.025,1.016,1.095,0.071,0.096,-0.675,3.700,15.000,14.806,14.832,14.888,0.112,2.728,4.374,0.165,2.893,-0.675,3.700,0.007,0.006,0.641,0.771,0.641,SSSE,0.00V,tnet,3in,1.5in,0.75in,default_clock
