Transfer Net,Driver,Receiver,Node,UI (ns),Floating Vref (V),VinMeas(H/L) Width (ns),Virtual Width (ns),VinMeas Jitter (ns),Inner Height (V),Outer Height (V),Min Voltage (V),Max Voltage (V),Min Slew Time (ns),Max Slew Time (ns),Simulation,Max Eye Width (ns),Max Eye Width Voltage (V),VinMeas Left (V),VinMeas Right (V),VinMeas High Left (V),VinMeas Low Left (V),VinMeas High Right (V),VinMeas Low Right (V),AC Noise,AC Noise Source,Inner Eye Min (V),Inner Eye Max (V),Inner Eye Min Eye Time (ns),Inner Eye Min Sim Time (ns),Inner Eye Max Eye Time (ns),Inner Eye Max Sim Time (ns),Outer Eye Min (V),Outer Eye Max (V),Outer Eye Min Eye Time (ns),Outer Eye Min Sim Time (ns),Outer Eye Max Eye Time (ns),Outer Eye Max Sim Time (ns),VinMeas Width (ns),VinMeas Left Eye Time (ns),VinMeas Right Eye Time (ns),VinMeas Left Sim Time (ns),VinMeas Right Sim Time (ns),VinMeas(H/L) Left Eye Time (ns),VinMeas(H/L) Right Eye Time (ns),VinMeas(H/L) Left Sim Time (ns),VinMeas(H/L) Right Sim Time (ns),Virtual Left Eye Time (ns),Virtual Right Eye Time (ns),Virtual Left Sim Time (ns),Virtual Right Sim Time (ns),Eye Start Sim Time(ns),Eye Stop Sim Time (ns),Min Voltage Eye Time (ns),Min Voltage Sim Time (ns),Max Voltage Eye Time (ns),Max Voltage Sim Time (ns),VinMeas Left Low Eye Time (ns),VinMeas Left Low Sim Time (ns),VinMeas Left High Eye Time (ns),VinMeas Left High Sim Time (ns),VinMeas Right Low Eye Time (ns),VinMeas Right Low Sim Time (ns),VinMeas Right High Eye Time (ns),VinMeas Right High Sim Time (ns),Min Slew Rate (V/ns),Max Slew Rate (V/ns),Min DC Slew Rate (V/ns),Max DC Slew Rate (V/ns),Min AC Slew Rate (V/ns),Max AC Slew Rate (V/ns),Min SRIdiff Slew Rate (V/ns),Min SRIdiff Slew Rate Time (ns),Max SRIdiff Slew Rate (V/ns),Max SRIdiff Slew Rate Time (ns),Rising Jitter (ns),Falling Jitter (ns),Ringback Margin (V),Ringback_High Margin (V),Ringback_Low Margin (V),SIMULATOR,AGGRESSORS,CORNER,$T1:DELAY,$T2:DELAY,$T4:DELAY,PATTERN
sheet1,Controller,IO0,IO0_pad,15.000,,14.802,14.802,0.122,2.825,4.354,-0.660,3.723,0.063,0.084,controller_ssse_3_0o75_0o75\controller_ssse_3_0o75_0o75.csd,14.990,0.824,1.320,1.320,1.650,0.990,1.650,0.990,0.000,Tnet,0.151,2.976,23.648,188.648,23.798,83.798,-0.660,3.694,18.338,93.338,19.148,169.148,14.878,16.868,31.748,136.881,121.759,16.898,31.718,226.926,211.729,16.898,31.718,226.926,211.729,31.748,211.748,18.368,93.368,19.178,169.178,16.778,91.794,16.898,226.926,31.838,226.846,31.718,211.729,7.864,10.522,7.832,10.594,7.843,10.451,NoDef,NoDef,NoDef,NoDef,0.002,0.003,0.161,0.368,0.161,IsSpice4,0,SSSE,3in,0.75in,0.75in,default_clock
sheet1,Controller,IO1,IO1_pad,15.000,,14.789,14.789,0.125,2.918,4.541,-0.702,3.846,0.074,0.102,controller_ssse_3_0o75_0o75\controller_ssse_3_0o75_0o75.csd,14.993,0.883,1.320,1.320,1.650,0.990,1.650,0.990,0.000,Tnet,0.083,3.002,24.154,189.154,25.204,85.204,-0.702,3.839,17.824,122.824,17.824,167.824,14.875,17.074,31.954,197.098,61.973,17.134,31.924,167.149,211.938,17.134,31.924,167.149,211.938,31.954,241.954,17.854,122.854,17.854,167.854,17.014,152.016,17.134,167.149,32.014,227.040,31.924,211.938,6.471,8.928,6.578,9.398,6.130,8.503,NoDef,NoDef,NoDef,NoDef,0.010,0.003,0.426,0.544,0.426,IsSpice4,0,SSSE,3in,0.75in,0.75in,default_clock
sheet1,IO0,Controller,Controller_pad,15.000,,14.818,14.818,0.107,2.636,4.450,-0.696,3.756,0.067,0.085,io0_ssse_3_0o75_0o75\io0_ssse_3_0o75_0o75.csd,14.995,0.881,1.320,1.320,1.650,0.990,1.650,0.990,0.000,Tnet,0.279,2.915,24.394,69.394,24.664,174.664,-0.695,3.755,17.944,152.944,18.154,168.154,14.893,16.864,31.774,166.887,211.780,16.924,31.744,106.929,211.747,16.924,31.744,106.929,211.747,31.774,211.774,17.974,152.974,18.184,168.184,16.804,181.819,16.924,106.929,31.834,226.844,31.744,211.747,7.795,9.844,7.873,10.090,7.599,9.688,NoDef,NoDef,NoDef,NoDef,0.005,0.005,0.350,0.908,0.350,IsSpice4,0,SSSE,3in,0.75in,0.75in,default_clock
sheet1,IO1,Controller,Controller_pad,15.000,,14.799,14.799,0.114,2.532,4.543,-0.711,3.836,0.073,0.103,io1_ssse_3_0o75_0o75\io1_ssse_3_0o75_0o75.csd,14.990,0.916,1.320,1.320,1.650,0.990,1.650,0.990,0.000,Tnet,0.288,2.820,23.784,188.784,23.754,113.754,-0.710,3.832,17.934,212.934,17.904,167.904,14.886,17.064,31.944,47.084,91.970,17.124,31.914,47.137,61.936,17.124,31.914,47.137,61.936,31.974,211.974,17.964,212.964,17.934,167.934,17.004,182.019,17.124,47.137,32.004,47.034,31.914,61.936,6.381,9.032,6.582,9.470,6.143,8.633,NoDef,NoDef,NoDef,NoDef,0.004,0.010,0.334,0.465,0.334,IsSpice4,0,SSSE,3in,0.75in,0.75in,default_clock
sheet1,Controller,IO0,IO0_pad,15.000,,13.874,13.874,0.117,2.771,4.413,-0.673,3.748,0.064,0.091,controller_ssse_3_0o75_1o5\controller_ssse_3_0o75_1o5.csd,14.935,1.100,1.320,1.320,1.650,0.990,1.650,0.990,0.000,Tnet,0.244,3.014,23.560,188.560,25.060,205.060,-0.665,3.748,18.310,93.310,19.510,139.510,14.883,16.870,31.750,196.873,61.756,17.830,31.720,92.856,211.730,17.830,31.720,92.856,211.730,31.750,211.750,18.340,93.340,19.540,139.540,17.830,92.856,16.900,166.918,31.810,226.825,31.720,211.730,0.585,7.432,7.119,10.484,0.302,7.527,NoDef,NoDef,NoDef,NoDef,0.003,0.007,-0.114,0.138,-0.114,IsSpice4,0,SSSE,3in,0.75in,1.5in,default_clock
sheet1,Controller,IO1,IO1_pad,15.000,,14.795,14.795,0.119,2.596,4.608,-0.712,3.896,0.074,0.098,controller_ssse_3_0o75_1o5\controller_ssse_3_0o75_1o5.csd,14.991,0.885,1.320,1.320,1.650,0.990,1.650,0.990,0.000,Tnet,0.318,2.914,24.159,189.159,24.219,114.219,-0.712,3.896,18.069,183.069,18.279,48.279,14.881,17.229,32.109,167.240,152.121,17.289,32.079,167.290,152.085,17.289,32.079,167.290,152.085,32.139,212.139,18.099,183.099,18.309,48.309,17.139,32.169,17.289,167.290,32.169,227.189,32.079,152.085,6.769,8.887,7.005,9.244,6.422,8.556,NoDef,NoDef,NoDef,NoDef,0.006,0.008,0.505,0.516,0.505,IsSpice4,0,SSSE,3in,0.75in,1.5in,default_clock
sheet1,IO0,Controller,Controller_pad,15.000,,14.804,14.804,0.117,2.775,4.107,-0.674,3.438,0.065,0.093,io0_ssse_3_0o75_1o5\io0_ssse_3_0o75_1o5.csd,14.991,0.875,1.320,1.320,1.650,0.990,1.650,0.990,0.000,Tnet,0.079,2.854,23.657,218.657,23.657,203.657,-0.674,3.433,18.227,213.227,19.007,79.007,14.883,16.877,31.757,166.887,211.770,16.907,31.727,166.933,211.738,16.907,31.727,166.933,211.738,31.757,211.757,18.257,213.257,19.037,79.037,16.787,61.812,16.907,166.933,31.817,226.839,31.727,211.738,7.108,10.156,7.150,10.385,7.067,9.937,NoDef,NoDef,NoDef,NoDef,0.005,0.008,0.594,0.645,0.594,IsSpice4,0,SSSE,3in,0.75in,1.5in,default_clock
sheet1,IO1,Controller,Controller_pad,15.000,,14.794,14.794,0.119,2.442,4.563,-0.702,3.861,0.072,0.101,io1_ssse_3_0o75_1o5\io1_ssse_3_0o75_1o5.csd,14.988,0.912,1.320,1.320,1.650,0.990,1.650,0.990,0.000,Tnet,0.424,2.866,23.920,158.920,23.950,83.950,-0.702,3.861,18.250,183.250,18.400,138.400,14.881,17.230,32.110,77.236,62.117,17.260,32.080,227.289,212.083,17.260,32.080,227.289,212.083,32.110,242.110,18.280,183.280,18.430,138.430,17.140,92.166,17.260,227.289,32.170,227.188,32.080,212.083,6.513,9.179,6.698,9.624,6.338,8.773,NoDef,NoDef,NoDef,NoDef,0.005,0.010,0.286,0.393,0.286,IsSpice4,0,SSSE,3in,0.75in,1.5in,default_clock
sheet1,Controller,IO0,IO0_pad,15.000,,14.796,14.796,0.129,2.814,4.366,-0.670,3.697,0.064,0.096,controller_ssse_3_1o5_0o75\controller_ssse_3_1o5_0o75.csd,14.991,0.808,1.320,1.320,1.650,0.990,1.650,0.990,0.000,Tnet,0.209,3.023,24.132,39.132,25.182,85.182,-0.670,3.696,18.702,213.702,19.602,169.602,14.871,17.022,31.872,197.028,151.899,17.052,31.842,167.075,61.871,17.052,31.842,167.075,61.871,31.932,211.932,18.732,213.732,19.632,169.632,16.932,181.939,17.052,167.075,31.962,46.979,31.842,61.871,6.895,10.243,6.907,10.348,6.870,10.230,NoDef,NoDef,NoDef,NoDef,0.005,0.006,0.613,0.808,0.613,IsSpice4,0,SSSE,3in,1.5in,0.75in,default_clock
sheet1,Controller,IO1,IO1_pad,15.000,,14.806,14.806,0.112,2.728,4.374,-0.675,3.700,0.071,0.096,controller_ssse_3_1o5_0o75\controller_ssse_3_1o5_0o75.csd,14.994,0.905,1.320,1.320,1.650,0.990,1.650,0.990,0.000,Tnet,0.165,2.893,23.756,218.756,23.756,173.756,-0.675,3.700,18.056,33.056,18.206,198.206,14.888,17.066,31.976,197.092,151.980,17.126,31.916,197.139,151.945,17.126,31.916,197.139,151.945,31.976,241.976,18.086,33.086,18.236,198.236,17.006,182.024,17.126,197.139,32.036,227.045,31.916,151.945,6.885,9.311,6.782,9.624,6.990,9.018,NoDef,NoDef,NoDef,NoDef,0.007,0.006,0.641,0.771,0.641,IsSpice4,0,SSSE,3in,1.5in,0.75in,default_clock
