Setup Margin (ns),Hold Margin (ns),Transfer Net,Simulation,Waveform Fatal Count,Waveform Quality Count,Waveform Overshoot Count,Min Slew Time (ns),Max Slew Time (ns),VinH Margin (V),VinL Margin (V),Overshoot Low Margin (V),Overshoot High Margin (V),AC Overshoot Low Area Margin (V*ns),AC Overshoot High Area Margin (V*ns),Non Monotonic Time (ns),Eye Width (ns),VinMeas Jitter (ns),Eye Inner Height (V),Eye Outer Height (V),SIMULATOR,DRIVER,AC_NOISE,AC_NOISE_SOURCE,AGGRESSORS,CORNER,$T1:DELAY,$T2:DELAY,$T4:DELAY,UI,PATTERN
7.913,3.524,sheet1,controller_ssse_3_0o75_0o75\controller_ssse_3_0o75_0o75.csd,0,0,0,0.063,0.102,2.035,1.649,,,,,,14.789,0.125,2.825,4.541,IsSpice4,Controller,0.000,tnet,0,SSSE,3in,0.75in,0.75in,15n,default_clock
8.110,3.527,sheet1,io0_ssse_3_0o75_0o75\io0_ssse_3_0o75_0o75.csd,0,0,0,0.067,0.085,2.099,1.682,,,,,,14.818,0.107,2.636,4.450,IsSpice4,IO0,0.000,tnet,0,SSSE,3in,0.75in,0.75in,15n,default_clock
7.910,3.717,sheet1,io1_ssse_3_0o75_0o75\io1_ssse_3_0o75_0o75.csd,0,0,0,0.073,0.103,2.172,1.699,,,,,,14.799,0.114,2.532,4.543,IsSpice4,IO1,0.000,tnet,0,SSSE,3in,0.75in,0.75in,15n,default_clock
7.073,3.511,sheet1,controller_ssse_3_0o75_1o5\controller_ssse_3_0o75_1o5.csd,0,7,0,0.064,0.098,2.085,1.651,,,,,,13.874,0.119,2.596,4.608,IsSpice4,Controller,0.000,tnet,0,SSSE,3in,0.75in,1.5in,15n,default_clock
8.117,3.523,sheet1,io0_ssse_3_0o75_1o5\io0_ssse_3_0o75_1o5.csd,0,0,0,0.065,0.093,1.757,1.662,,,,,,14.804,0.117,2.775,4.107,IsSpice4,IO0,0.000,tnet,0,SSSE,3in,0.75in,1.5in,15n,default_clock
7.763,3.870,sheet1,io1_ssse_3_0o75_1o5\io1_ssse_3_0o75_1o5.csd,0,0,0,0.072,0.101,2.207,1.691,,,,,,14.794,0.119,2.442,4.563,IsSpice4,IO1,0.000,tnet,0,SSSE,3in,0.75in,1.5in,15n,default_clock
7.905,3.664,sheet1,controller_ssse_3_1o5_0o75\controller_ssse_3_1o5_0o75.csd,0,0,0,0.064,0.096,1.994,1.659,,,,,,14.796,0.129,2.728,4.374,IsSpice4,Controller,0.000,tnet,0,SSSE,3in,1.5in,0.75in,15n,default_clock
7.958,3.667,sheet1,io0_ssse_3_1o5_0o75\io0_ssse_3_1o5_0o75.csd,0,0,0,0.074,0.094,2.080,1.685,,,,,,14.817,0.104,2.440,4.434,IsSpice4,IO0,0.000,tnet,0,SSSE,3in,1.5in,0.75in,15n,default_clock
7.902,3.704,sheet1,io1_ssse_3_1o5_0o75\io1_ssse_3_1o5_0o75.csd,0,0,0,0.069,0.103,2.142,1.697,,,,,,14.830,0.089,2.435,4.514,IsSpice4,IO1,0.000,tnet,0,SSSE,3in,1.5in,0.75in,15n,default_clock
7.764,3.673,sheet1,controller_ssse_3_1o5_1o5\controller_ssse_3_1o5_1o5.csd,0,0,0,0.066,0.094,2.055,1.660,,,,,,14.788,0.131,2.528,4.533,IsSpice4,Controller,0.000,tnet,0,SSSE,3in,1.5in,1.5in,15n,default_clock
7.958,3.660,sheet1,io0_ssse_3_1o5_1o5\io0_ssse_3_1o5_1o5.csd,0,0,0,0.067,0.095,1.765,1.669,,,,,,14.819,0.101,2.753,4.119,IsSpice4,IO0,0.000,tnet,0,SSSE,3in,1.5in,1.5in,15n,default_clock
7.755,3.876,sheet1,io1_ssse_3_1o5_1o5\io1_ssse_3_1o5_1o5.csd,0,0,0,0.070,0.092,2.161,1.696,,,,,,14.815,0.106,2.489,4.519,IsSpice4,IO1,0.000,tnet,0,SSSE,3in,1.5in,1.5in,15n,default_clock
7.719,3.724,sheet1,controller_ssse_4_0o75_0o75\controller_ssse_4_0o75_0o75.csd,0,0,0,0.065,0.099,2.134,1.647,,,,,,14.797,0.124,2.623,4.517,IsSpice4,Controller,0.000,tnet,0,SSSE,4in,0.75in,0.75in,15n,default_clock
7.940,3.708,sheet1,io0_ssse_4_0o75_0o75\io0_ssse_4_0o75_0o75.csd,0,0,0,0.065,0.094,2.206,1.693,,,,,,14.797,0.125,2.842,4.564,IsSpice4,IO0,0.000,tnet,0,SSSE,4in,0.75in,0.75in,15n,default_clock
7.713,3.910,sheet1,io1_ssse_4_0o75_0o75\io1_ssse_4_0o75_0o75.csd,0,0,0,0.075,0.110,2.182,1.699,,,,,,14.798,0.111,2.606,4.545,IsSpice4,IO1,0.000,tnet,0,SSSE,4in,0.75in,0.75in,15n,default_clock
6.866,3.732,sheet1,controller_ssse_4_0o75_1o5\controller_ssse_4_0o75_1o5.csd,0,7,0,0.065,0.099,2.041,1.650,,,,,,13.875,0.126,2.513,4.573,IsSpice4,Controller,0.000,tnet,0,SSSE,4in,0.75in,1.5in,15n,default_clock
7.917,3.740,sheet1,io0_ssse_4_0o75_1o5\io0_ssse_4_0o75_1o5.csd,0,0,0,0.067,0.087,2.078,1.681,,,,,,14.796,0.131,2.802,4.429,IsSpice4,IO0,0.000,tnet,0,SSSE,4in,0.75in,1.5in,15n,default_clock
7.561,4.063,sheet1,io1_ssse_4_0o75_1o5\io1_ssse_4_0o75_1o5.csd,0,0,0,0.075,0.097,2.224,1.692,,,,,,14.804,0.115,2.269,4.580,IsSpice4,IO1,0.000,tnet,0,SSSE,4in,0.75in,1.5in,15n,default_clock
7.712,3.863,sheet1,controller_ssse_4_1o5_0o75\controller_ssse_4_1o5_0o75.csd,0,0,0,0.063,0.098,2.018,1.662,,,,,,14.795,0.123,2.517,4.431,IsSpice4,Controller,0.000,tnet,0,SSSE,4in,1.5in,0.75in,15n,default_clock
7.784,3.879,sheet1,io0_ssse_4_1o5_0o75\io0_ssse_4_1o5_0o75.csd,0,0,0,0.062,0.080,2.176,1.685,,,,,,14.800,0.131,2.823,4.530,IsSpice4,IO0,0.000,tnet,0,SSSE,4in,1.5in,0.75in,15n,default_clock
7.748,3.918,sheet1,io1_ssse_4_1o5_0o75\io1_ssse_4_1o5_0o75.csd,0,0,0,0.069,0.094,2.199,1.693,,,,,,14.779,0.144,2.705,4.557,IsSpice4,IO1,0.000,tnet,0,SSSE,4in,1.5in,0.75in,15n,default_clock
7.570,3.881,sheet1,controller_ssse_4_1o5_1o5\controller_ssse_4_1o5_1o5.csd,0,0,0,0.066,0.089,2.007,1.667,,,,,,14.785,0.139,2.447,4.522,IsSpice4,Controller,0.000,tnet,0,SSSE,4in,1.5in,1.5in,15n,default_clock
