Violation Type,Voltage Violation (V),Voltage Rule (V),Actual Voltage (V),Duration Violation (ns),Duration Rule (ns),Actual Duration (ns),Time (ns),Node,Designator,Simulation,Transfer Net,Driver
Data rings through Vin_Meas_F_Low,0.107,0.990,1.097,,,,32.740,IO0_pad,IO0,controller_ssse_3_0o75_1o5\controller_ssse_3_0o75_1o5.csd,sheet1,Controller
Data rings through Vin_Meas_F_Low,0.088,0.990,1.078,,,,62.712,IO0_pad,IO0,controller_ssse_3_0o75_1o5\controller_ssse_3_0o75_1o5.csd,sheet1,Controller
Data rings through Vin_Meas_F_Low,0.114,0.990,1.104,,,,92.747,IO0_pad,IO0,controller_ssse_3_0o75_1o5\controller_ssse_3_0o75_1o5.csd,sheet1,Controller
Data rings through Vin_Meas_F_Low,0.091,0.990,1.081,,,,122.723,IO0_pad,IO0,controller_ssse_3_0o75_1o5\controller_ssse_3_0o75_1o5.csd,sheet1,Controller
Data rings through Vin_Meas_F_Low,0.087,0.990,1.077,,,,152.729,IO0_pad,IO0,controller_ssse_3_0o75_1o5\controller_ssse_3_0o75_1o5.csd,sheet1,Controller
Data rings through Vin_Meas_F_Low,0.108,0.990,1.098,,,,182.721,IO0_pad,IO0,controller_ssse_3_0o75_1o5\controller_ssse_3_0o75_1o5.csd,sheet1,Controller
Data rings through Vin_Meas_F_Low,0.093,0.990,1.083,,,,212.716,IO0_pad,IO0,controller_ssse_3_0o75_1o5\controller_ssse_3_0o75_1o5.csd,sheet1,Controller
Data rings through Vin_Meas_F_Low,0.081,0.990,1.071,,,,32.961,IO0_pad,IO0,controller_ssse_4_0o75_1o5\controller_ssse_4_0o75_1o5.csd,sheet1,Controller
Data rings through Vin_Meas_F_Low,0.110,0.990,1.100,,,,62.943,IO0_pad,IO0,controller_ssse_4_0o75_1o5\controller_ssse_4_0o75_1o5.csd,sheet1,Controller
Data rings through Vin_Meas_F_Low,0.110,0.990,1.100,,,,92.938,IO0_pad,IO0,controller_ssse_4_0o75_1o5\controller_ssse_4_0o75_1o5.csd,sheet1,Controller
Data rings through Vin_Meas_F_Low,0.109,0.990,1.099,,,,122.933,IO0_pad,IO0,controller_ssse_4_0o75_1o5\controller_ssse_4_0o75_1o5.csd,sheet1,Controller
Data rings through Vin_Meas_F_Low,0.099,0.990,1.089,,,,152.940,IO0_pad,IO0,controller_ssse_4_0o75_1o5\controller_ssse_4_0o75_1o5.csd,sheet1,Controller
Data rings through Vin_Meas_F_Low,0.094,0.990,1.084,,,,182.955,IO0_pad,IO0,controller_ssse_4_0o75_1o5\controller_ssse_4_0o75_1o5.csd,sheet1,Controller
Data rings through Vin_Meas_F_Low,0.082,0.990,1.072,,,,212.922,IO0_pad,IO0,controller_ssse_4_0o75_1o5\controller_ssse_4_0o75_1o5.csd,sheet1,Controller
Data rings through Vin_Meas_F_Low,0.101,0.990,1.091,,,,33.140,IO0_pad,IO0,controller_ssse_5_0o75_1o5\controller_ssse_5_0o75_1o5.csd,sheet1,Controller
Data rings through Vin_Meas_F_Low,0.119,0.990,1.109,,,,63.144,IO0_pad,IO0,controller_ssse_5_0o75_1o5\controller_ssse_5_0o75_1o5.csd,sheet1,Controller
Data rings through Vin_Meas_F_Low,0.127,0.990,1.117,,,,93.125,IO0_pad,IO0,controller_ssse_5_0o75_1o5\controller_ssse_5_0o75_1o5.csd,sheet1,Controller
Data rings through Vin_Meas_F_Low,0.103,0.990,1.093,,,,123.140,IO0_pad,IO0,controller_ssse_5_0o75_1o5\controller_ssse_5_0o75_1o5.csd,sheet1,Controller
Data rings through Vin_Meas_F_Low,0.124,0.990,1.114,,,,153.129,IO0_pad,IO0,controller_ssse_5_0o75_1o5\controller_ssse_5_0o75_1o5.csd,sheet1,Controller
Data rings through Vin_Meas_F_Low,0.119,0.990,1.109,,,,183.159,IO0_pad,IO0,controller_ssse_5_0o75_1o5\controller_ssse_5_0o75_1o5.csd,sheet1,Controller
Data rings through Vin_Meas_F_Low,0.133,0.990,1.123,,,,213.149,IO0_pad,IO0,controller_ssse_5_0o75_1o5\controller_ssse_5_0o75_1o5.csd,sheet1,Controller
Data rings through Vin_Meas_F_Low,0.104,0.990,1.094,,,,33.342,IO0_pad,IO0,controller_ssse_6_0o75_1o5\controller_ssse_6_0o75_1o5.csd,sheet1,Controller
Data rings through Vin_Meas_F_Low,0.096,0.990,1.086,,,,63.337,IO0_pad,IO0,controller_ssse_6_0o75_1o5\controller_ssse_6_0o75_1o5.csd,sheet1,Controller
Data rings through Vin_Meas_F_Low,0.100,0.990,1.090,,,,93.371,IO0_pad,IO0,controller_ssse_6_0o75_1o5\controller_ssse_6_0o75_1o5.csd,sheet1,Controller
Data rings through Vin_Meas_F_Low,0.067,0.990,1.057,,,,123.356,IO0_pad,IO0,controller_ssse_6_0o75_1o5\controller_ssse_6_0o75_1o5.csd,sheet1,Controller
Data rings through Vin_Meas_F_Low,0.069,0.990,1.059,,,,153.327,IO0_pad,IO0,controller_ssse_6_0o75_1o5\controller_ssse_6_0o75_1o5.csd,sheet1,Controller
Data rings through Vin_Meas_F_Low,0.073,0.990,1.063,,,,183.328,IO0_pad,IO0,controller_ssse_6_0o75_1o5\controller_ssse_6_0o75_1o5.csd,sheet1,Controller
Data rings through Vin_Meas_F_Low,0.092,0.990,1.082,,,,213.341,IO0_pad,IO0,controller_ssse_6_0o75_1o5\controller_ssse_6_0o75_1o5.csd,sheet1,Controller
