Part,High Pin,Low Pin,Vdiff,IBIS File,IBIS Component
generic_3_3v,CLKP,CLKN,.1,generic_3_3v.ibs,generic_3_3v
generic_3_3v,1p,1n,.1,generic_3_3v.ibs,generic_3_3v
generic_3_3v,2p,2n,.1,generic_3_3v.ibs,generic_3_3v
generic_3_3v,3p,3n,.1,generic_3_3v.ibs,generic_3_3v
generic_3_3v,4p,4n,.1,generic_3_3v.ibs,generic_3_3v
generic_3_3v,5p,5n,.1,generic_3_3v.ibs,generic_3_3v
generic_3_3v,6p,6n,.1,generic_3_3v.ibs,generic_3_3v
generic_3_3v,7p,7n,.1,generic_3_3v.ibs,generic_3_3v
generic_3_3v,8p,8n,.1,generic_3_3v.ibs,generic_3_3v
generic_3_3v,9p,9n,.1,generic_3_3v.ibs,generic_3_3v
generic_3_3v,10p,10n,.1,generic_3_3v.ibs,generic_3_3v
generic_3_3v,11p,11n,.1,generic_3_3v.ibs,generic_3_3v
generic_3_3v,12p,12n,.1,generic_3_3v.ibs,generic_3_3v
generic_3_3v,13p,13n,.1,generic_3_3v.ibs,generic_3_3v
generic_3_3v,14p,14n,.1,generic_3_3v.ibs,generic_3_3v
generic_3_3v,15p,15n,.1,generic_3_3v.ibs,generic_3_3v
generic_3_3v,16p,16n,.1,generic_3_3v.ibs,generic_3_3v
generic_3_3v,17p,17n,.1,generic_3_3v.ibs,generic_3_3v
generic_3_3v,18p,18n,.1,generic_3_3v.ibs,generic_3_3v
generic_3_3v,19p,19n,.1,generic_3_3v.ibs,generic_3_3v
generic_3_3v,20p,20n,.1,generic_3_3v.ibs,generic_3_3v
generic_3_3v,21p,21n,.1,generic_3_3v.ibs,generic_3_3v
stratix2,202,203,.2,stratix2.ibs,StratixII
stratix2,204,205,.2,stratix2.ibs,StratixII
stratix2,206,207,.2,stratix2.ibs,StratixII
stratix2,208,209,.2,stratix2.ibs,StratixII
stratix2,210,211,.2,stratix2.ibs,StratixII
stratix2,212,213,.2,stratix2.ibs,StratixII
stratix2,214,215,.2,stratix2.ibs,StratixII
stratix2,216,217,.2,stratix2.ibs,StratixII
stratix2,218,219,.2,stratix2.ibs,StratixII
stratix2,220,221,.2,stratix2.ibs,StratixII
stratix2,222,223,.2,stratix2.ibs,StratixII
stratix2,224,225,.2,stratix2.ibs,StratixII
stratix2,226,227,.2,stratix2.ibs,StratixII
stratix2,228,229,.2,stratix2.ibs,StratixII
stratix2,230,231,.2,stratix2.ibs,StratixII
stratix2,232,233,.2,stratix2.ibs,StratixII
stratix2,234,235,.2,stratix2.ibs,StratixII
stratix2,236,237,.2,stratix2.ibs,StratixII
stratix2,238,239,.2,stratix2.ibs,StratixII
stratix2,240,241,.2,stratix2.ibs,StratixII
stratix2,242,243,.2,stratix2.ibs,StratixII
stratix2,244,245,.2,stratix2.ibs,StratixII
stratix2,246,247,.2,stratix2.ibs,StratixII
stratix2,248,249,.2,stratix2.ibs,StratixII
stratix2,250,251,.2,stratix2.ibs,StratixII
stratix2,252,253,.2,stratix2.ibs,StratixII
stratix2,254,255,.2,stratix2.ibs,StratixII
stratix2,256,257,.2,stratix2.ibs,StratixII
stratix2,258,259,.2,stratix2.ibs,StratixII
stratix2,260,261,.2,stratix2.ibs,StratixII
stratix2,262,263,.2,stratix2.ibs,StratixII
stratix2,264,265,.2,stratix2.ibs,StratixII
stratix2,266,267,.2,stratix2.ibs,StratixII
stratix2,268,269,.2,stratix2.ibs,StratixII
stratix2,270,271,.2,stratix2.ibs,StratixII
stratix2,272,273,.2,stratix2.ibs,StratixII
stratix2,274,275,.2,stratix2.ibs,StratixII
stratix2,276,277,.2,stratix2.ibs,StratixII
stratix2,278,279,.2,stratix2.ibs,StratixII
stratix2,280,281,.2,stratix2.ibs,StratixII
stratix2,282,283,.2,stratix2.ibs,StratixII
stratix2,284,285,.2,stratix2.ibs,StratixII
stratix2,286,287,.3,stratix2.ibs,StratixII
stratix2,288,289,.3,stratix2.ibs,StratixII
stratix2,290,291,.2,stratix2.ibs,StratixII
stratix2,292,293,.4,stratix2.ibs,StratixII
stratix2,294,295,.4,stratix2.ibs,StratixII
stratix2,372,373,.2,stratix2.ibs,StratixII
stratix2,374,375,.2,stratix2.ibs,StratixII
stratix2,376,377,.2,stratix2.ibs,StratixII
stratix2,378,379,.2,stratix2.ibs,StratixII
