Warning,Part,IBIS File,IBIS Component,Timing File,Timing Model,Pin Number,Pin Name,Model Name,Model Type,Additional Data
Part pin not referenced in Timing Model,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,AD, AddressData,2s_pcix33_cio,I/O,
Part pin not referenced in Timing Model,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,CK, Clock,2s_pci33_cin,Input,
Part pin not referenced in Transfer Net List,55202_3,55202_3.ibs,ICS552-02,55202_3.tmg,55202_3,4, Q1,3V6XX,Output,
Part pin not referenced in Transfer Net List,55202_3,55202_3.ibs,ICS552-02,55202_3.tmg,55202_3,5, Q2,3V6XX,Output,
Part pin not referenced in Transfer Net List,55202_3,55202_3.ibs,ICS552-02,55202_3.tmg,55202_3,6, Q3,3V6XX,Output,
Part pin not referenced in Transfer Net List,55202_3,55202_3.ibs,ICS552-02,55202_3.tmg,55202_3,11, Q4,3V6XX,Output,
Part pin not referenced in Transfer Net List,55202_3,55202_3.ibs,ICS552-02,55202_3.tmg,55202_3,12, Q5,3V6XX,Output,
Part pin not referenced in Transfer Net List,55202_3,55202_3.ibs,ICS552-02,55202_3.tmg,55202_3,13, Q6,3V6XX,Output,
Part pin not referenced in Transfer Net List,55202_3,55202_3.ibs,ICS552-02,55202_3.tmg,55202_3,14, Q7,3V6XX,Output,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,AD, AddressData,2s_pcix33_cio,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,1, 2s_cmos15_cio_d2,2s_cmos15_cio_d2,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,2, 2s_cmos15_cio_d4,2s_cmos15_cio_d4,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,3, 2s_cmos15_cio_d6,2s_cmos15_cio_d6,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,4, 2s_cmos15_cio_d8,2s_cmos15_cio_d8,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,5, 2s_cmos15_rrio_d2,2s_cmos15_rrio_d2,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,6, 2s_cmos15_rrio_d4,2s_cmos15_rrio_d4,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,7, 2s_cmos15_rtio_d2,2s_cmos15_rtio_d2,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,8, 2s_cmos15_rtio_d4,2s_cmos15_rtio_d4,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,9, 2s_cmos15_cin,2s_cmos15_cin,Input,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,10, 2s_cmos15_rrin,2s_cmos15_rrin,Input,
