Transfer Net,Driver,Receiver,R / F,Min Etch Delay (ns),Max Etch Delay (ns),AC-DC Slew Rate (V/ns),Corner,Edge #,Time (ns),Pulse Width (ns),Delay Variation (ns),Driver Probe Point,Receiver Node,Min Raw Etch Delay (ns),Max Raw Etch Delay (ns),Min Derate (ns),Max Derate (ns),Standard Load Delay (ns),Simulation,Ac Noise,Ac Noise Source,$T3:DELAY,PATTERN
sheet1,designator1,designator4,F,1.078,1.174,6.901,TTTE,2,31.429,20.000,0.096,SL_PAD/,designator4_pad,1.331,1.427,0.000,0.000,0.253,designator1_ttte_2o4\designator1_ttte_2o4.csd,0.00V,tnet,2.4in,default_data
sheet1,designator1,designator4,R,0.955,1.076,5.471,TTTE,3,51.373,20.000,0.121,SL_PAD/,designator4_pad,1.261,1.382,0.000,0.000,0.306,designator1_ttte_2o4\designator1_ttte_2o4.csd,0.00V,tnet,2.4in,default_data
sheet1,designator1,designator4,F,1.075,1.173,6.763,TTTE,4,61.427,10.000,0.098,SL_PAD/,designator4_pad,1.328,1.426,0.000,0.000,0.253,designator1_ttte_2o4\designator1_ttte_2o4.csd,0.00V,tnet,2.4in,default_data
sheet1,designator1,designator4,R,0.951,1.073,5.406,TTTE,5,71.369,10.000,0.122,SL_PAD/,designator4_pad,1.257,1.379,0.000,0.000,0.306,designator1_ttte_2o4\designator1_ttte_2o4.csd,0.00V,tnet,2.4in,default_data
sheet1,designator1,designator4,F,1.075,1.172,6.766,TTTE,6,81.427,10.000,0.097,SL_PAD/,designator4_pad,1.328,1.425,0.000,0.000,0.253,designator1_ttte_2o4\designator1_ttte_2o4.csd,0.00V,tnet,2.4in,default_data
sheet1,designator1,designator4,R,0.950,1.072,5.399,TTTE,7,91.369,10.000,0.122,SL_PAD/,designator4_pad,1.256,1.378,0.000,0.000,0.306,designator1_ttte_2o4\designator1_ttte_2o4.csd,0.00V,tnet,2.4in,default_data
sheet1,designator1,designator4,F,1.113,1.210,6.833,TTTE,2,31.465,20.000,0.097,SL_PAD/,designator4_pad,1.366,1.463,0.000,0.000,0.253,designator1_ttte_2o6\designator1_ttte_2o6.csd,0.00V,tnet,2.6in,default_data
sheet1,designator1,designator4,R,0.991,1.113,5.436,TTTE,3,51.409,20.000,0.122,SL_PAD/,designator4_pad,1.297,1.419,0.000,0.000,0.306,designator1_ttte_2o6\designator1_ttte_2o6.csd,0.00V,tnet,2.6in,default_data
sheet1,designator1,designator4,F,1.111,1.208,6.848,TTTE,4,61.463,10.000,0.097,SL_PAD/,designator4_pad,1.364,1.461,0.000,0.000,0.253,designator1_ttte_2o6\designator1_ttte_2o6.csd,0.00V,tnet,2.6in,default_data
sheet1,designator1,designator4,R,0.990,1.109,5.519,TTTE,5,71.407,10.000,0.119,SL_PAD/,designator4_pad,1.296,1.415,0.000,0.000,0.306,designator1_ttte_2o6\designator1_ttte_2o6.csd,0.00V,tnet,2.6in,default_data
sheet1,designator1,designator4,F,1.111,1.207,6.847,TTTE,6,81.463,10.000,0.096,SL_PAD/,designator4_pad,1.364,1.460,0.000,0.000,0.253,designator1_ttte_2o6\designator1_ttte_2o6.csd,0.00V,tnet,2.6in,default_data
sheet1,designator1,designator4,R,0.990,1.110,5.522,TTTE,7,91.407,10.000,0.120,SL_PAD/,designator4_pad,1.296,1.416,0.000,0.000,0.306,designator1_ttte_2o6\designator1_ttte_2o6.csd,0.00V,tnet,2.6in,default_data
