Transfer Net,Driver,Receiver,R / F,Min Etch Delay (ns),Max Etch Delay (ns),AC-DC Slew Rate (V/ns),Corner,Edge #,Time (ns),Pulse Width (ns),Delay Variation (ns),Driver Probe Point,Receiver Node,Min Raw Etch Delay (ns),Max Raw Etch Delay (ns),Min Derate (ns),Max Derate (ns),Standard Load Delay (ns),Simulation,Ac Noise,Ac Noise Source,$T1:DELAY,PATTERN
ADR,designator1,designator2,F,0.301,1.401,1.091,SSSE,2,23.363,10.000,1.100,SL_PAD/,designator2_pad,2.820,3.920,0.000,0.000,2.519,designator1_ssse_2\designator1_ssse_2.csd,0.00V,tnet,2in,default_clock
ADR,designator1,designator2,R,0.233,0.948,1.680,SSSE,3,33.234,10.000,0.715,SL_PAD/,designator2_pad,2.823,3.538,0.000,0.000,2.590,designator1_ssse_2\designator1_ssse_2.csd,0.00V,tnet,2in,default_clock
ADR,designator1,designator2,F,0.302,1.401,1.092,SSSE,4,43.364,10.000,1.099,SL_PAD/,designator2_pad,2.821,3.920,0.000,0.000,2.519,designator1_ssse_2\designator1_ssse_2.csd,0.00V,tnet,2in,default_clock
ADR,designator1,designator2,R,0.234,0.947,1.683,SSSE,5,53.234,10.000,0.713,SL_PAD/,designator2_pad,2.824,3.537,0.000,0.000,2.590,designator1_ssse_2\designator1_ssse_2.csd,0.00V,tnet,2in,default_clock
ADR,designator1,designator2,F,0.302,1.402,1.091,SSSE,6,63.364,10.000,1.100,SL_PAD/,designator2_pad,2.821,3.921,0.000,0.000,2.519,designator1_ssse_2\designator1_ssse_2.csd,0.00V,tnet,2in,default_clock
ADR,designator1,designator2,R,0.233,0.947,1.681,SSSE,7,73.234,10.000,0.714,SL_PAD/,designator2_pad,2.823,3.537,0.000,0.000,2.590,designator1_ssse_2\designator1_ssse_2.csd,0.00V,tnet,2in,default_clock
ADR,designator1,designator2,F,0.303,1.403,1.091,SSSE,8,83.365,10.000,1.100,SL_PAD/,designator2_pad,2.822,3.922,0.000,0.000,2.519,designator1_ssse_2\designator1_ssse_2.csd,0.00V,tnet,2in,default_clock
ADR,designator1,designator2,R,0.234,0.948,1.682,SSSE,9,93.234,10.000,0.714,SL_PAD/,designator2_pad,2.824,3.538,0.000,0.000,2.590,designator1_ssse_2\designator1_ssse_2.csd,0.00V,tnet,2in,default_clock
ADR,designator1,designator2,F,0.303,1.403,1.091,SSSE,10,103.365,10.000,1.100,SL_PAD/,designator2_pad,2.822,3.922,0.000,0.000,2.519,designator1_ssse_2\designator1_ssse_2.csd,0.00V,tnet,2in,default_clock
ADR,designator1,designator2,R,0.234,0.948,1.681,SSSE,11,113.234,10.000,0.714,SL_PAD/,designator2_pad,2.824,3.538,0.000,0.000,2.590,designator1_ssse_2\designator1_ssse_2.csd,0.00V,tnet,2in,default_clock
ADR,designator1,designator2,F,0.303,1.402,1.092,SSSE,12,123.366,10.000,1.099,SL_PAD/,designator2_pad,2.822,3.921,0.000,0.000,2.519,designator1_ssse_2\designator1_ssse_2.csd,0.00V,tnet,2in,default_clock
ADR,designator1,designator2,R,0.234,0.948,1.680,SSSE,13,133.233,10.000,0.714,SL_PAD/,designator2_pad,2.824,3.538,0.000,0.000,2.590,designator1_ssse_2\designator1_ssse_2.csd,0.00V,tnet,2in,default_clock
ADR,designator1,designator2,F,0.302,1.403,1.090,SSSE,14,143.364,10.000,1.101,SL_PAD/,designator2_pad,2.821,3.922,0.000,0.000,2.519,designator1_ssse_2\designator1_ssse_2.csd,0.00V,tnet,2in,default_clock
ADR,designator1,designator2,R,0.233,0.949,1.675,SSSE,15,153.235,10.000,0.716,SL_PAD/,designator2_pad,2.823,3.539,0.000,0.000,2.590,designator1_ssse_2\designator1_ssse_2.csd,0.00V,tnet,2in,default_clock
ADR,designator1,designator2,F,0.534,1.496,1.247,SSSE,2,23.513,10.000,0.962,SL_PAD/,designator2_pad,3.053,4.015,0.000,0.000,2.519,designator1_ssse_3\designator1_ssse_3.csd,0.00V,tnet,3in,default_clock
ADR,designator1,designator2,R,0.405,1.135,1.645,SSSE,3,33.424,10.000,0.730,SL_PAD/,designator2_pad,2.995,3.725,0.000,0.000,2.590,designator1_ssse_3\designator1_ssse_3.csd,0.00V,tnet,3in,default_clock
ADR,designator1,designator2,F,0.535,1.500,1.243,SSSE,4,43.515,10.000,0.965,SL_PAD/,designator2_pad,3.054,4.019,0.000,0.000,2.519,designator1_ssse_3\designator1_ssse_3.csd,0.00V,tnet,3in,default_clock
ADR,designator1,designator2,R,0.405,1.135,1.645,SSSE,5,53.424,10.000,0.730,SL_PAD/,designator2_pad,2.995,3.725,0.000,0.000,2.590,designator1_ssse_3\designator1_ssse_3.csd,0.00V,tnet,3in,default_clock
ADR,designator1,designator2,F,0.534,1.499,1.243,SSSE,6,63.514,10.000,0.965,SL_PAD/,designator2_pad,3.053,4.018,0.000,0.000,2.519,designator1_ssse_3\designator1_ssse_3.csd,0.00V,tnet,3in,default_clock
ADR,designator1,designator2,R,0.404,1.135,1.643,SSSE,7,73.424,10.000,0.731,SL_PAD/,designator2_pad,2.994,3.725,0.000,0.000,2.590,designator1_ssse_3\designator1_ssse_3.csd,0.00V,tnet,3in,default_clock
ADR,designator1,designator2,F,0.535,1.501,1.242,SSSE,8,83.515,10.000,0.966,SL_PAD/,designator2_pad,3.054,4.020,0.000,0.000,2.519,designator1_ssse_3\designator1_ssse_3.csd,0.00V,tnet,3in,default_clock
ADR,designator1,designator2,R,0.406,1.135,1.645,SSSE,9,93.424,10.000,0.729,SL_PAD/,designator2_pad,2.996,3.725,0.000,0.000,2.590,designator1_ssse_3\designator1_ssse_3.csd,0.00V,tnet,3in,default_clock
ADR,designator1,designator2,F,0.535,1.500,1.244,SSSE,10,103.515,10.000,0.965,SL_PAD/,designator2_pad,3.054,4.019,0.000,0.000,2.519,designator1_ssse_3\designator1_ssse_3.csd,0.00V,tnet,3in,default_clock
ADR,designator1,designator2,R,0.405,1.135,1.643,SSSE,11,113.425,10.000,0.730,SL_PAD/,designator2_pad,2.995,3.725,0.000,0.000,2.590,designator1_ssse_3\designator1_ssse_3.csd,0.00V,tnet,3in,default_clock
ADR,designator1,designator2,F,0.534,1.498,1.245,SSSE,12,123.515,10.000,0.964,SL_PAD/,designator2_pad,3.053,4.017,0.000,0.000,2.519,designator1_ssse_3\designator1_ssse_3.csd,0.00V,tnet,3in,default_clock
ADR,designator1,designator2,R,0.404,1.136,1.641,SSSE,13,133.424,10.000,0.732,SL_PAD/,designator2_pad,2.994,3.726,0.000,0.000,2.590,designator1_ssse_3\designator1_ssse_3.csd,0.00V,tnet,3in,default_clock
ADR,designator1,designator2,F,0.533,1.497,1.246,SSSE,14,143.515,10.000,0.964,SL_PAD/,designator2_pad,3.052,4.016,0.000,0.000,2.519,designator1_ssse_3\designator1_ssse_3.csd,0.00V,tnet,3in,default_clock
ADR,designator1,designator2,R,0.405,1.134,1.645,SSSE,15,153.424,10.000,0.729,SL_PAD/,designator2_pad,2.995,3.724,0.000,0.000,2.590,designator1_ssse_3\designator1_ssse_3.csd,0.00V,tnet,3in,default_clock
ADR,designator1,designator2,F,0.664,1.559,1.341,SSSE,2,23.686,10.000,0.895,SL_PAD/,designator2_pad,3.183,4.078,0.000,0.000,2.519,designator1_ssse_4\designator1_ssse_4.csd,0.00V,tnet,4in,default_clock
