Transfer Net,Driver,Receiver,R / F,Min Etch Delay (ns),Max Etch Delay (ns),AC-DC Slew Rate (V/ns),Corner,Edge #,Time (ns),Pulse Width (ns),Delay Variation (ns),Driver Probe Point,Receiver Node,Min Raw Etch Delay (ns),Max Raw Etch Delay (ns),Min Derate (ns),Max Derate (ns),Standard Load Delay (ns),Simulation,Ac Noise,Ac Noise Source,$T1:DELAY,PATTERN
CS,designator1,designator2,F,0.303,1.390,1.105,SSSE,2,23.364,10.000,1.087,SL_PAD/,designator2_pad,2.822,3.909,0.000,0.000,2.519,designator1_ssse_2\designator1_ssse_2.csd,0.00V,tnet,2in,default_clock
CS,designator1,designator2,R,0.234,0.950,1.676,SSSE,3,33.233,10.000,0.716,SL_PAD/,designator2_pad,2.824,3.540,0.000,0.000,2.590,designator1_ssse_2\designator1_ssse_2.csd,0.00V,tnet,2in,default_clock
CS,designator1,designator2,F,0.306,1.390,1.107,SSSE,4,43.363,10.000,1.084,SL_PAD/,designator2_pad,2.825,3.909,0.000,0.000,2.519,designator1_ssse_2\designator1_ssse_2.csd,0.00V,tnet,2in,default_clock
CS,designator1,designator2,R,0.234,0.949,1.679,SSSE,5,53.233,10.000,0.715,SL_PAD/,designator2_pad,2.824,3.539,0.000,0.000,2.590,designator1_ssse_2\designator1_ssse_2.csd,0.00V,tnet,2in,default_clock
CS,designator1,designator2,F,0.306,1.389,1.108,SSSE,6,63.362,10.000,1.083,SL_PAD/,designator2_pad,2.825,3.908,0.000,0.000,2.519,designator1_ssse_2\designator1_ssse_2.csd,0.00V,tnet,2in,default_clock
CS,designator1,designator2,R,0.234,0.949,1.679,SSSE,7,73.233,10.000,0.715,SL_PAD/,designator2_pad,2.824,3.539,0.000,0.000,2.590,designator1_ssse_2\designator1_ssse_2.csd,0.00V,tnet,2in,default_clock
CS,designator1,designator2,F,0.305,1.389,1.106,SSSE,8,83.361,10.000,1.084,SL_PAD/,designator2_pad,2.824,3.908,0.000,0.000,2.519,designator1_ssse_2\designator1_ssse_2.csd,0.00V,tnet,2in,default_clock
CS,designator1,designator2,R,0.235,0.948,1.682,SSSE,9,93.233,10.000,0.713,SL_PAD/,designator2_pad,2.825,3.538,0.000,0.000,2.590,designator1_ssse_2\designator1_ssse_2.csd,0.00V,tnet,2in,default_clock
CS,designator1,designator2,F,0.304,1.389,1.106,SSSE,10,103.361,10.000,1.085,SL_PAD/,designator2_pad,2.823,3.908,0.000,0.000,2.519,designator1_ssse_2\designator1_ssse_2.csd,0.00V,tnet,2in,default_clock
CS,designator1,designator2,R,0.234,0.949,1.678,SSSE,11,113.233,10.000,0.715,SL_PAD/,designator2_pad,2.824,3.539,0.000,0.000,2.590,designator1_ssse_2\designator1_ssse_2.csd,0.00V,tnet,2in,default_clock
