Transfer Net,Driver,Receiver,Node,UI (ns),Floating Vref (V),VinMeas(H/L) Width (ns),Virtual Width (ns),VinMeas Jitter (ns),Inner Height (V),Outer Height (V),Min Voltage (V),Max Voltage (V),Min Slew Time (ns),Max Slew Time (ns),Simulation,Max Eye Width (ns),Max Eye Width Voltage (V),VinMeas Left (V),VinMeas Right (V),VinMeas High Left (V),VinMeas Low Left (V),VinMeas High Right (V),VinMeas Low Right (V),AC Noise,AC Noise Source,Inner Eye Min (V),Inner Eye Max (V),Inner Eye Min Eye Time (ns),Inner Eye Min Sim Time (ns),Inner Eye Max Eye Time (ns),Inner Eye Max Sim Time (ns),Outer Eye Min (V),Outer Eye Max (V),Outer Eye Min Eye Time (ns),Outer Eye Min Sim Time (ns),Outer Eye Max Eye Time (ns),Outer Eye Max Sim Time (ns),VinMeas Width (ns),VinMeas Left Eye Time (ns),VinMeas Right Eye Time (ns),VinMeas Left Sim Time (ns),VinMeas Right Sim Time (ns),VinMeas(H/L) Left Eye Time (ns),VinMeas(H/L) Right Eye Time (ns),VinMeas(H/L) Left Sim Time (ns),VinMeas(H/L) Right Sim Time (ns),Virtual Left Eye Time (ns),Virtual Right Eye Time (ns),Virtual Left Sim Time (ns),Virtual Right Sim Time (ns),Eye Start Sim Time(ns),Eye Stop Sim Time (ns),Min Voltage Eye Time (ns),Min Voltage Sim Time (ns),Max Voltage Eye Time (ns),Max Voltage Sim Time (ns),VinMeas Left Low Eye Time (ns),VinMeas Left Low Sim Time (ns),VinMeas Left High Eye Time (ns),VinMeas Left High Sim Time (ns),VinMeas Right Low Eye Time (ns),VinMeas Right Low Sim Time (ns),VinMeas Right High Eye Time (ns),VinMeas Right High Sim Time (ns),Min Slew Rate (V/ns),Max Slew Rate (V/ns),Min DC Slew Rate (V/ns),Max DC Slew Rate (V/ns),Min AC Slew Rate (V/ns),Max AC Slew Rate (V/ns),Min SRIdiff Slew Rate (V/ns),Min SRIdiff Slew Rate Time (ns),Max SRIdiff Slew Rate (V/ns),Max SRIdiff Slew Rate Time (ns),Rising Jitter (ns),Falling Jitter (ns),Ringback Margin (V),Ringback_High Margin (V),Ringback_Low Margin (V),SIMULATOR,AGGRESSORS,CORNER,$T1:DELAY,PATTERN
CS,designator1,designator2,designator2_pad,10.000,,8.913,8.913,0.132,2.956,3.700,-0.325,3.375,0.713,1.086,designator1_ssse_2\designator1_ssse_2.csd,9.997,1.487,1.400,1.400,2.000,0.800,2.000,0.800,0.000,Tnet,0.119,3.075,7.952,47.952,7.812,37.812,-0.325,3.375,5.572,145.572,5.372,115.372,9.868,3.372,13.252,123.385,73.253,3.972,12.892,123.980,152.893,3.972,12.892,123.980,152.893,23.392,143.392,5.592,145.592,5.392,115.392,3.972,123.980,3.592,133.610,12.892,152.893,12.892,142.895,1.105,1.682,1.220,1.676,1.005,1.689,NoDef,NoDef,NoDef,NoDef,0.001,0.004,0.681,1.073,0.681,IsSpice4,0,SSSE,2in,default_clock
CS,designator1,designator2,designator2_pad,10.000,,8.921,8.921,0.092,2.893,3.856,-0.365,3.491,0.734,1.019,designator1_ssse_3\designator1_ssse_3.csd,9.999,1.469,1.400,1.400,2.000,0.800,2.000,0.800,0.000,Tnet,0.146,3.038,8.794,108.794,8.554,38.554,-0.365,3.491,6.114,46.114,5.774,115.774,9.908,3.514,13.434,63.533,133.441,4.134,13.054,124.143,33.064,4.134,13.054,124.143,33.064,23.514,143.514,6.134,46.134,5.794,115.794,4.134,124.143,3.794,93.799,13.054,33.064,13.114,43.124,1.177,1.635,1.466,1.595,0.984,1.684,NoDef,NoDef,NoDef,NoDef,0.001,0.001,0.654,1.038,0.654,IsSpice4,0,SSSE,3in,default_clock
CS,designator1,designator2,designator2_pad,10.000,,9.035,9.035,0.137,2.865,3.985,-0.406,3.590,0.743,0.901,designator1_ssse_4\designator1_ssse_4.csd,9.998,1.502,1.400,1.400,2.000,0.800,2.000,0.800,0.000,Tnet,0.136,3.001,9.131,49.131,9.111,59.111,-0.406,3.579,6.391,146.391,6.011,76.011,9.863,3.691,13.571,63.709,53.572,4.151,13.191,124.158,153.193,4.151,13.191,124.158,153.193,23.711,143.711,6.411,146.411,6.031,76.031,4.151,124.158,3.931,73.937,13.191,153.193,13.251,43.258,1.332,1.615,1.331,1.585,1.334,1.649,NoDef,NoDef,NoDef,NoDef,0.001,0.001,1.001,1.001,NoDef,IsSpice4,0,SSSE,4in,default_clock
CS,designator1,designator2,designator2_pad,10.000,,9.077,9.077,0.086,2.926,4.158,-0.485,3.683,0.736,0.891,designator1_ssse_5\designator1_ssse_5.csd,9.998,1.464,1.400,1.400,2.000,0.800,2.000,0.800,0.000,Tnet,0.081,3.007,9.292,89.292,9.292,79.292,-0.485,3.673,6.652,146.652,6.512,136.512,9.914,3.832,13.752,143.843,73.757,4.292,13.372,64.304,153.381,4.292,13.372,64.304,153.381,23.832,143.832,6.672,146.672,6.532,136.532,4.292,64.304,4.112,114.119,13.372,153.381,13.412,143.414,1.347,1.632,1.398,1.597,1.299,1.669,NoDef,NoDef,NoDef,NoDef,0.001,0.001,0.971,0.971,NoDef,IsSpice4,0,SSSE,5in,default_clock
CS,designator1,designator2,designator2_pad,10.000,,9.164,9.164,0.065,3.060,4.302,-0.549,3.756,0.686,0.827,designator1_ssse_6\designator1_ssse_6.csd,9.998,1.452,1.400,1.400,2.000,0.800,2.000,0.800,0.000,Tnet,0.012,3.072,9.521,29.521,9.521,99.521,-0.549,3.754,7.221,27.221,6.981,56.981,9.936,4.061,13.981,24.062,113.998,4.481,13.641,144.484,33.648,4.481,13.641,144.484,33.648,24.061,144.061,7.241,27.241,7.001,57.001,4.481,144.484,4.321,54.337,13.641,33.648,13.641,103.656,1.451,1.748,1.483,1.722,1.416,1.783,NoDef,NoDef,NoDef,NoDef,0.001,0.002,1.075,1.749,1.075,IsSpice4,0,SSSE,6in,default_clock
CS,designator1,designator2,designator2_pad,10.000,,9.631,9.631,0.065,3.610,5.404,-0.881,4.524,0.287,0.322,designator1_fffe_2\designator1_fffe_2.csd,9.999,1.530,1.400,1.400,2.000,0.800,2.000,0.800,0.000,Tnet,-0.097,3.513,17.397,87.397,17.397,37.397,-0.881,4.523,12.977,82.977,13.117,93.117,9.935,11.937,21.877,81.952,31.887,12.077,21.717,62.090,151.721,12.077,21.717,62.090,151.721,21.937,141.937,12.997,82.997,13.137,93.137,12.077,62.090,12.037,152.043,21.717,151.721,21.797,141.802,3.727,4.179,3.582,4.042,3.854,4.361,NoDef,NoDef,NoDef,NoDef,0.001,0.001,0.441,0.968,0.441,IsSpice4,0,FFFE,2in,default_clock
CS,designator1,designator2,designator2_pad,10.000,,9.615,9.615,0.056,3.026,5.576,-0.934,4.647,0.311,0.337,designator1_fffe_3\designator1_fffe_3.csd,9.998,1.503,1.400,1.400,2.000,0.800,2.000,0.800,0.000,Tnet,0.229,3.255,6.551,106.551,6.551,136.551,-0.934,4.643,3.271,63.271,3.391,133.391,9.944,2.071,12.031,142.091,52.035,2.231,11.851,102.247,151.862,2.231,11.851,102.247,151.862,22.131,142.131,3.291,63.291,3.411,133.411,2.231,102.247,2.191,132.200,11.851,151.862,11.931,141.936,3.559,3.864,3.417,3.889,3.665,3.862,NoDef,NoDef,NoDef,NoDef,0.002,0.001,0.413,0.951,0.413,IsSpice4,0,FFFE,3in,default_clock
CS,designator1,designator2,designator2_pad,10.000,,9.622,9.622,0.070,2.655,5.718,-0.989,4.729,0.299,0.313,designator1_fffe_4\designator1_fffe_4.csd,9.999,1.540,1.400,1.400,2.000,0.800,2.000,0.800,0.000,Tnet,0.358,3.013,7.236,47.236,6.736,56.736,-0.989,4.729,3.516,123.516,3.776,93.776,9.931,2.276,12.216,82.290,32.220,2.416,12.056,82.435,152.058,2.416,12.056,82.435,152.058,22.296,142.296,3.536,123.536,3.796,93.796,2.416,82.435,2.356,132.370,12.056,152.058,12.116,42.134,3.841,4.016,3.659,3.908,4.013,4.147,NoDef,NoDef,NoDef,NoDef,0.001,0.001,0.442,0.949,0.442,IsSpice4,0,FFFE,4in,default_clock
CS,designator1,designator2,designator2_pad,10.000,,9.596,9.596,0.085,2.587,5.757,-0.991,4.766,0.304,0.327,designator1_fffe_5\designator1_fffe_5.csd,9.998,1.562,1.400,1.400,2.000,0.800,2.000,0.800,0.000,Tnet,0.329,2.916,7.164,67.164,7.184,97.184,-0.991,4.766,3.924,143.924,4.144,134.144,9.915,2.444,12.364,62.462,32.377,2.604,12.204,42.611,152.208,2.604,12.204,42.611,152.208,22.444,142.444,3.944,143.944,4.164,134.164,2.604,42.611,2.524,52.536,12.204,152.208,12.304,142.305,3.667,3.953,3.510,3.870,3.782,4.050,NoDef,NoDef,NoDef,NoDef,0.002,0.001,0.471,0.916,0.471,IsSpice4,0,FFFE,5in,default_clock
CS,designator1,designator2,designator2_pad,10.000,,9.620,9.620,0.065,2.577,5.765,-1.000,4.766,0.302,0.319,designator1_fffe_6\designator1_fffe_6.csd,9.999,1.528,1.400,1.400,2.000,0.800,2.000,0.800,0.000,Tnet,0.331,2.908,7.977,147.977,7.957,57.957,-1.000,4.765,4.417,144.417,4.597,94.597,9.935,2.557,12.497,42.574,32.509,2.717,12.337,42.727,52.346,2.717,12.337,42.727,52.346,22.577,142.577,4.437,144.437,4.617,94.617,2.717,42.727,2.657,152.666,12.337,52.346,12.417,142.422,3.767,3.976,3.674,3.986,3.842,3.967,NoDef,NoDef,NoDef,NoDef,0.001,0.001,0.469,0.907,0.469,IsSpice4,0,FFFE,6in,default_clock
