Part,IBIS File,IBIS Component,IBIS Model,Model Type,Corner,Mode,Vmeas R,Vmeas R Value,Vmeas F,Vmeas F Value,AC Overshoot Time,AC Overshoot Time Value,Slew Time Max,Slew Time Max Value,Overshoot High,Overshoot High Value,AC Overshoot High,AC Overshoot High Value,Vin AC High,Vin AC High Value,Vin DC High,Vin DC High Value,Ringback High,Ringback High Value,VinMeas R High,VinMeas R High Value,VinMeas F High,VinMeas F High Value,VinMeas R Low,VinMeas R Low Value,VinMeas F Low,VinMeas F Low Value,VinVref,VinVref Value,Ringback Low,Ringback Low Value,Vin DC Low,Vin DC Low Value,Vin AC Low,Vin AC Low Value,AC Overshoot Low,AC Overshoot Low Value,Overshoot Low,Overshoot Low Value,VCM Min,VCM Min Value,VCM Max,VCM Max Value
stratix,stratix.ibs,Stratix,1s_gtl25_io,I/O_open_drain,FF,,Vmeas,.8,Vmeas,.8,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NA,NA,VinH,.85,VinH,.85,VinH,.85,VinH,.85,VinH,.85,VinL,.75,VinL,.75,(Vin_Meas_Low+Vin_Meas_High)/2,.8,VinL,.75,VinL,.75,VinL,.75,NA,NA,NoDef,NoDef,NA,NoDef,NA,NoDef
stratix,stratix.ibs,Stratix,1s_gtl25_io,I/O_open_drain,TT,,Vmeas,.8,Vmeas,.8,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NA,NA,VinH,.85,VinH,.85,VinH,.85,VinH,.85,VinH,.85,VinL,.75,VinL,.75,(Vin_Meas_Low+Vin_Meas_High)/2,.8,VinL,.75,VinL,.75,VinL,.75,NA,NA,NoDef,NoDef,NA,NoDef,NA,NoDef
stratix,stratix.ibs,Stratix,1s_gtl25_io,I/O_open_drain,SS,,Vmeas,.8,Vmeas,.8,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NA,NA,VinH,.85,VinH,.85,VinH,.85,VinH,.85,VinH,.85,VinL,.75,VinL,.75,(Vin_Meas_Low+Vin_Meas_High)/2,.8,VinL,.75,VinL,.75,VinL,.75,NA,NA,NoDef,NoDef,NA,NoDef,NA,NoDef
stratix,stratix.ibs,Stratix,1s_gtl33_io,I/O_open_drain,FF,,Vmeas,.8,Vmeas,.8,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NA,NA,VinH,.85,VinH,.85,VinH,.85,VinH,.85,VinH,.85,VinL,.75,VinL,.75,(Vin_Meas_Low+Vin_Meas_High)/2,.8,VinL,.75,VinL,.75,VinL,.75,NA,NA,NoDef,NoDef,NA,NoDef,NA,NoDef
stratix,stratix.ibs,Stratix,1s_gtl33_io,I/O_open_drain,TT,,Vmeas,.8,Vmeas,.8,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NA,NA,VinH,.85,VinH,.85,VinH,.85,VinH,.85,VinH,.85,VinL,.75,VinL,.75,(Vin_Meas_Low+Vin_Meas_High)/2,.8,VinL,.75,VinL,.75,VinL,.75,NA,NA,NoDef,NoDef,NA,NoDef,NA,NoDef
stratix,stratix.ibs,Stratix,1s_gtl33_io,I/O_open_drain,SS,,Vmeas,.8,Vmeas,.8,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NA,NA,VinH,.85,VinH,.85,VinH,.85,VinH,.85,VinH,.85,VinL,.75,VinL,.75,(Vin_Meas_Low+Vin_Meas_High)/2,.8,VinL,.75,VinL,.75,VinL,.75,NA,NA,NoDef,NoDef,NA,NoDef,NA,NoDef
stratix,stratix.ibs,Stratix,1s_gtlp25_io,I/O_open_drain,FF,,Vmeas,1.,Vmeas,1.,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NA,NA,VinH,1.1,VinH,1.1,VinH,1.1,VinH,1.1,VinH,1.1,VinL,.9,VinL,.9,(Vin_Meas_Low+Vin_Meas_High)/2,1.,VinL,.9,VinL,.9,VinL,.9,NA,NA,NoDef,NoDef,NA,NoDef,NA,NoDef
stratix,stratix.ibs,Stratix,1s_gtlp25_io,I/O_open_drain,TT,,Vmeas,1.,Vmeas,1.,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NA,NA,VinH,1.1,VinH,1.1,VinH,1.1,VinH,1.1,VinH,1.1,VinL,.9,VinL,.9,(Vin_Meas_Low+Vin_Meas_High)/2,1.,VinL,.9,VinL,.9,VinL,.9,NA,NA,NoDef,NoDef,NA,NoDef,NA,NoDef
stratix,stratix.ibs,Stratix,1s_gtlp25_io,I/O_open_drain,SS,,Vmeas,1.,Vmeas,1.,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NA,NA,VinH,1.1,VinH,1.1,VinH,1.1,VinH,1.1,VinH,1.1,VinL,.9,VinL,.9,(Vin_Meas_Low+Vin_Meas_High)/2,1.,VinL,.9,VinL,.9,VinL,.9,NA,NA,NoDef,NoDef,NA,NoDef,NA,NoDef
stratix,stratix.ibs,Stratix,1s_gtlp33_io,I/O_open_drain,FF,,Vmeas,1.,Vmeas,1.,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NA,NA,VinH,1.1,VinH,1.1,VinH,1.1,VinH,1.1,VinH,1.1,VinL,.9,VinL,.9,(Vin_Meas_Low+Vin_Meas_High)/2,1.,VinL,.9,VinL,.9,VinL,.9,NA,NA,NoDef,NoDef,NA,NoDef,NA,NoDef
