Transfer Net,Driver,Receiver,Simulation,Node,Setup Margin (ns),Hold Margin (ns),Rmin Etch Delay (ns),Rmax Etch Delay (ns),Fmin Etch Delay (ns),Fmax Etch Delay (ns),Min Slew Time (ns),Max Slew Time (ns),Min Voltage (V),Max Voltage (V),UI (ns),VinMeas(H/L) Width (ns),Virtual Eye Width (ns),VinMeas Width (ns),VinMeas Jitter (ns),Inner Height (V),Outer Height (V),Inner Eye Min (V),Inner Eye Max (V),Outer Eye Min (V),Outer Eye Max (V),Rising Jitter (ns),Falling Jitter (ns),Ringback Margin (V),Ringback_High Margin (V),Ringback_Low Margin (V),Corner,Ac Noise,Ac Noise Source,$T1:DELAY,PATTERN
CS,designator1,designator2,designator1_ssse_2\designator1_ssse_2.csd,designator2_pad,2.909,3.633,0.233,0.950,0.303,1.391,0.713,1.086,-0.325,3.375,10.000,8.913,8.842,9.868,0.132,2.956,3.700,0.119,3.075,-0.325,3.375,0.001,0.004,0.681,1.073,0.681,SSSE,0.00V,tnet,2in,default_clock
CS,designator1,designator2,designator1_ssse_3\designator1_ssse_3.csd,designator2_pad,2.746,3.804,0.404,1.139,0.535,1.554,0.734,1.019,-0.365,3.491,10.000,8.921,8.850,9.908,0.092,2.893,3.856,0.146,3.038,-0.365,3.491,0.001,0.001,0.654,1.038,0.654,SSSE,0.00V,tnet,3in,default_clock
CS,designator1,designator2,designator1_ssse_4\designator1_ssse_4.csd,designator2_pad,2.731,3.933,0.533,1.277,0.667,1.569,0.743,0.901,-0.406,3.590,10.000,9.035,8.964,9.863,0.137,2.865,3.985,0.136,3.001,-0.406,3.579,0.001,0.001,1.001,1.001,NoDef,SSSE,0.00V,tnet,4in,default_clock
CS,designator1,designator2,designator1_ssse_5\designator1_ssse_5.csd,designator2_pad,2.585,4.121,0.721,1.459,0.824,1.715,0.736,0.891,-0.485,3.683,10.000,9.077,9.006,9.914,0.086,2.926,4.158,0.081,3.007,-0.485,3.673,0.001,0.001,0.971,0.971,NoDef,SSSE,0.00V,tnet,5in,default_clock
CS,designator1,designator2,designator1_ssse_6\designator1_ssse_6.csd,designator2_pad,2.405,4.387,0.987,1.677,1.067,1.895,0.686,0.827,-0.549,3.756,10.000,9.164,9.092,9.936,0.065,3.060,4.302,0.012,3.072,-0.549,3.754,0.001,0.002,1.075,1.749,1.075,SSSE,0.00V,tnet,6in,default_clock
CS,designator1,designator2,designator1_fffe_2\designator1_fffe_2.csd,designator2_pad,5.790,1.587,0.187,0.510,0.195,0.485,0.287,0.322,-0.881,4.524,10.000,9.631,9.677,9.935,0.065,3.610,5.404,-0.097,3.513,-0.881,4.523,0.001,0.001,0.441,0.968,0.441,FFFE,0.00V,tnet,2in,default_clock
CS,designator1,designator2,designator1_fffe_3\designator1_fffe_3.csd,designator2_pad,5.633,1.729,0.329,0.667,0.330,0.642,0.311,0.337,-0.934,4.647,10.000,9.615,9.662,9.944,0.056,3.026,5.576,0.229,3.255,-0.934,4.643,0.002,0.001,0.413,0.951,0.413,FFFE,0.00V,tnet,3in,default_clock
CS,designator1,designator2,designator1_fffe_4\designator1_fffe_4.csd,designator2_pad,5.463,1.924,0.524,0.837,0.529,0.830,0.299,0.313,-0.989,4.729,10.000,9.622,9.687,9.931,0.070,2.655,5.718,0.358,3.013,-0.989,4.729,0.001,0.001,0.442,0.949,0.442,FFFE,0.00V,tnet,4in,default_clock
CS,designator1,designator2,designator1_fffe_5\designator1_fffe_5.csd,designator2_pad,5.294,2.075,0.675,1.003,0.699,1.006,0.304,0.327,-0.991,4.766,10.000,9.596,9.669,9.915,0.085,2.587,5.757,0.329,2.916,-0.991,4.766,0.002,0.001,0.471,0.916,0.471,FFFE,0.00V,tnet,5in,default_clock
CS,designator1,designator2,designator1_fffe_6\designator1_fffe_6.csd,designator2_pad,5.167,2.213,0.813,1.133,0.817,1.122,0.302,0.319,-1.000,4.766,10.000,9.620,9.680,9.935,0.065,2.577,5.765,0.331,2.908,-1.000,4.765,0.001,0.001,0.469,0.907,0.469,FFFE,0.00V,tnet,6in,default_clock
