Simulation,Waveform Fatal Count,Waveform Quality Count,Waveform Overshoot Count,Power (W),VinMeas Margin,Node VM,Time VM (ns),Min Slew Time (ns),Node MnS,Time MnS (ns),Max Slew Time (ns),Node MxS,Time MxS (ns),VinH Margin (V),Node VHM,Time VHM (ns),VinL Margin (V),Node VLM,Time VLM (ns),Overshoot Low Margin (V),Node OLM,Time OLM (ns),Overshoot High Margin (V),Node OHM,Time OHM (ns),AC Overshoot Low Area Margin (V*ns),Node ACOLAM,Time ACOLAM (ns),AC Overshoot High Area Margin (V*ns),Node ACOHAM,Time ACOHAM (ns),Non Monotonic Time (ns),Node NMT,Time NMT (ns),Eye Width (ns),Node EW,Virtual Eye Width (ns),Node VEW,VinMeas Jitter (ns),Node EJ,Eye Inner Height (V),Node EIH,Eye Outer Height (V),Node EOH,TRANSFER_NET,SIMULATOR,DRIVER,AC_NOISE,AC_NOISE_SOURCE,AGGRESSORS,CORNER,$T1:DELAY,UI,PATTERN
designator1_ssse_2\designator1_ssse_2.csd,0,0,0,NA,0.842,designator2_pad,30.149,0.713,designator2_pad,92.875,1.086,designator2_pad,22.872,1.374,designator2_pad,135.376,1.123,designator2_pad,105.579,,,,,,,,,,,,,,,,8.913,designator2_pad,8.913,designator2_pad,0.132,designator2_pad,2.956,designator2_pad,3.700,designator2_pad,CS,IsSpice4,designator1,0.000,tnet,0,SSSE,2in,10n,default_clock
designator1_ssse_3\designator1_ssse_3.csd,0,0,0,NA,0.876,designator2_pad,111.496,0.734,designator2_pad,53.045,1.019,designator2_pad,123.104,1.490,designator2_pad,95.769,1.163,designator2_pad,126.114,,,,,,,,,,,,,,,,8.921,designator2_pad,8.921,designator2_pad,0.092,designator2_pad,2.893,designator2_pad,3.856,designator2_pad,CS,IsSpice4,designator1,0.000,tnet,0,SSSE,3in,10n,default_clock
designator1_ssse_4\designator1_ssse_4.csd,0,0,0,NA,0.838,designator2_pad,91.794,0.743,designator2_pad,133.174,0.901,designator2_pad,123.238,1.578,designator2_pad,135.982,1.204,designator2_pad,66.367,,,,,,,,,,,,,,,,9.035,designator2_pad,9.035,designator2_pad,0.137,designator2_pad,2.865,designator2_pad,3.985,designator2_pad,CS,IsSpice4,designator1,0.000,tnet,0,SSSE,4in,10n,default_clock
designator1_ssse_5\designator1_ssse_5.csd,0,0,0,NA,0.827,designator2_pad,48.789,0.736,designator2_pad,53.362,0.891,designator2_pad,63.394,1.671,designator2_pad,156.559,1.283,designator2_pad,46.662,,,,,,,,,,,,,,,,9.077,designator2_pad,9.077,designator2_pad,0.086,designator2_pad,2.926,designator2_pad,4.158,designator2_pad,CS,IsSpice4,designator1,0.000,tnet,0,SSSE,5in,10n,default_clock
designator1_ssse_6\designator1_ssse_6.csd,0,0,0,NA,0.879,designator2_pad,29.037,0.686,designator2_pad,133.629,0.827,designator2_pad,63.636,1.752,designator2_pad,137.007,1.347,designator2_pad,87.184,,,,,,,,,,,,,,,,9.164,designator2_pad,9.164,designator2_pad,0.065,designator2_pad,3.060,designator2_pad,4.302,designator2_pad,CS,IsSpice4,designator1,0.000,tnet,0,SSSE,6in,10n,default_clock
designator1_fffe_2\designator1_fffe_2.csd,0,0,0,NA,0.979,designator2_pad,26.940,0.287,designator2_pad,141.782,0.322,designator2_pad,31.700,2.522,designator2_pad,53.128,1.680,designator2_pad,123.019,,,,,,,,,,,,,,,,9.631,designator2_pad,9.631,designator2_pad,0.065,designator2_pad,3.610,designator2_pad,5.404,designator2_pad,CS,IsSpice4,designator1,0.000,tnet,0,FFFE,2in,10n,default_clock
designator1_fffe_3\designator1_fffe_3.csd,0,0,0,NA,1.058,designator2_pad,87.911,0.311,designator2_pad,61.916,0.337,designator2_pad,91.842,2.641,designator2_pad,93.394,1.732,designator2_pad,103.271,,,,,,,,,,,,,,,,9.615,designator2_pad,9.615,designator2_pad,0.056,designator2_pad,3.026,designator2_pad,5.576,designator2_pad,CS,IsSpice4,designator1,0.000,tnet,0,FFFE,3in,10n,default_clock
designator1_fffe_4\designator1_fffe_4.csd,0,0,0,NA,1.053,designator2_pad,49.615,0.299,designator2_pad,22.114,0.313,designator2_pad,52.037,2.728,designator2_pad,53.793,1.788,designator2_pad,63.537,,,,,,,,,,,,,,,,9.622,designator2_pad,9.622,designator2_pad,0.070,designator2_pad,2.655,designator2_pad,5.718,designator2_pad,CS,IsSpice4,designator1,0.000,tnet,0,FFFE,4in,10n,default_clock
designator1_fffe_5\designator1_fffe_5.csd,0,0,0,NA,1.056,designator2_pad,90.856,0.304,designator2_pad,22.286,0.327,designator2_pad,152.188,2.764,designator2_pad,114.149,1.789,designator2_pad,23.938,,,,,,,,,,,,,,,,9.596,designator2_pad,9.596,designator2_pad,0.085,designator2_pad,2.587,designator2_pad,5.757,designator2_pad,CS,IsSpice4,designator1,0.000,tnet,0,FFFE,5in,10n,default_clock
designator1_fffe_6\designator1_fffe_6.csd,0,0,0,NA,0.928,designator2_pad,111.656,0.302,designator2_pad,22.403,0.319,designator2_pad,52.326,2.764,designator2_pad,134.593,1.799,designator2_pad,104.427,,,,,,,,,,,,,,,,9.620,designator2_pad,9.620,designator2_pad,0.065,designator2_pad,2.577,designator2_pad,5.765,designator2_pad,CS,IsSpice4,designator1,0.000,tnet,0,FFFE,6in,10n,default_clock
