Transfer Net,Driver,Receiver,R / F,Min Etch Delay (ns),Max Etch Delay (ns),AC-DC Slew Rate (V/ns),Corner,Edge #,Time (ns),Pulse Width (ns),Delay Variation (ns),Driver Probe Point,Receiver Node,Min Raw Etch Delay (ns),Max Raw Etch Delay (ns),Min Derate (ns),Max Derate (ns),Standard Load Delay (ns),Simulation,Ac Noise,Ac Noise Source,$T1:DELAY,PATTERN
DQ,designator1,designator2,F,-0.031,0.799,1.445,SSSE,2,32.867,20.000,0.830,SL_PAD/,designator2_pad,2.488,3.318,0.000,0.000,2.519,designator1_ssse_2\designator1_ssse_2.csd,0.00V,tnet,2in,default_data
DQ,designator1,designator2,R,-0.072,0.528,2.003,SSSE,3,52.883,20.000,0.600,SL_PAD/,designator2_pad,2.518,3.118,0.000,0.000,2.590,designator1_ssse_2\designator1_ssse_2.csd,0.00V,tnet,2in,default_data
DQ,designator1,designator2,F,-0.029,0.800,1.448,SSSE,4,62.869,10.000,0.829,SL_PAD/,designator2_pad,2.490,3.319,0.000,0.000,2.519,designator1_ssse_2\designator1_ssse_2.csd,0.00V,tnet,2in,default_data
DQ,designator1,designator2,R,-0.066,0.530,2.014,SSSE,5,72.889,10.000,0.596,SL_PAD/,designator2_pad,2.524,3.120,0.000,0.000,2.590,designator1_ssse_2\designator1_ssse_2.csd,0.00V,tnet,2in,default_data
DQ,designator1,designator2,F,-0.029,0.800,1.448,SSSE,6,82.868,10.000,0.829,SL_PAD/,designator2_pad,2.490,3.319,0.000,0.000,2.519,designator1_ssse_2\designator1_ssse_2.csd,0.00V,tnet,2in,default_data
DQ,designator1,designator2,R,-0.066,0.530,2.014,SSSE,7,92.888,10.000,0.596,SL_PAD/,designator2_pad,2.524,3.120,0.000,0.000,2.590,designator1_ssse_2\designator1_ssse_2.csd,0.00V,tnet,2in,default_data
DQ,designator1,designator2,F,0.172,0.880,1.695,SSSE,2,33.088,20.000,0.708,SL_PAD/,designator2_pad,2.691,3.399,0.000,0.000,2.519,designator1_ssse_3\designator1_ssse_3.csd,0.00V,tnet,3in,default_data
DQ,designator1,designator2,R,0.127,0.717,2.036,SSSE,3,53.070,20.000,0.590,SL_PAD/,designator2_pad,2.717,3.307,0.000,0.000,2.590,designator1_ssse_3\designator1_ssse_3.csd,0.00V,tnet,3in,default_data
DQ,designator1,designator2,F,0.166,0.874,1.695,SSSE,4,63.081,10.000,0.708,SL_PAD/,designator2_pad,2.685,3.393,0.000,0.000,2.519,designator1_ssse_3\designator1_ssse_3.csd,0.00V,tnet,3in,default_data
DQ,designator1,designator2,R,0.118,0.705,2.044,SSSE,5,73.059,10.000,0.587,SL_PAD/,designator2_pad,2.708,3.295,0.000,0.000,2.590,designator1_ssse_3\designator1_ssse_3.csd,0.00V,tnet,3in,default_data
DQ,designator1,designator2,F,0.166,0.875,1.694,SSSE,6,83.082,10.000,0.709,SL_PAD/,designator2_pad,2.685,3.394,0.000,0.000,2.519,designator1_ssse_3\designator1_ssse_3.csd,0.00V,tnet,3in,default_data
DQ,designator1,designator2,R,0.118,0.705,2.043,SSSE,7,93.059,10.000,0.587,SL_PAD/,designator2_pad,2.708,3.295,0.000,0.000,2.590,designator1_ssse_3\designator1_ssse_3.csd,0.00V,tnet,3in,default_data
DQ,designator1,designator2,F,0.369,1.106,1.628,SSSE,2,33.289,20.000,0.737,SL_PAD/,designator2_pad,2.888,3.625,0.000,0.000,2.519,designator1_ssse_4\designator1_ssse_4.csd,0.00V,tnet,4in,default_data
DQ,designator1,designator2,R,0.327,0.911,2.052,SSSE,3,53.270,20.000,0.584,SL_PAD/,designator2_pad,2.917,3.501,0.000,0.000,2.590,designator1_ssse_4\designator1_ssse_4.csd,0.00V,tnet,4in,default_data
DQ,designator1,designator2,F,0.391,1.113,1.663,SSSE,4,63.307,10.000,0.722,SL_PAD/,designator2_pad,2.910,3.632,0.000,0.000,2.519,designator1_ssse_4\designator1_ssse_4.csd,0.00V,tnet,4in,default_data
DQ,designator1,designator2,R,0.365,0.930,2.122,SSSE,5,73.298,10.000,0.565,SL_PAD/,designator2_pad,2.955,3.520,0.000,0.000,2.590,designator1_ssse_4\designator1_ssse_4.csd,0.00V,tnet,4in,default_data
DQ,designator1,designator2,F,0.392,1.114,1.663,SSSE,6,83.307,10.000,0.722,SL_PAD/,designator2_pad,2.911,3.633,0.000,0.000,2.519,designator1_ssse_4\designator1_ssse_4.csd,0.00V,tnet,4in,default_data
DQ,designator1,designator2,R,0.365,0.930,2.122,SSSE,7,93.298,10.000,0.565,SL_PAD/,designator2_pad,2.955,3.520,0.000,0.000,2.590,designator1_ssse_4\designator1_ssse_4.csd,0.00V,tnet,4in,default_data
DQ,designator1,designator2,F,0.566,1.306,1.621,SSSE,2,33.486,20.000,0.740,SL_PAD/,designator2_pad,3.085,3.825,0.000,0.000,2.519,designator1_ssse_5\designator1_ssse_5.csd,0.00V,tnet,5in,default_data
DQ,designator1,designator2,R,0.520,1.109,2.037,SSSE,3,53.465,20.000,0.589,SL_PAD/,designator2_pad,3.110,3.699,0.000,0.000,2.590,designator1_ssse_5\designator1_ssse_5.csd,0.00V,tnet,5in,default_data
DQ,designator1,designator2,F,0.577,1.346,1.561,SSSE,4,63.512,10.000,0.769,SL_PAD/,designator2_pad,3.096,3.865,0.000,0.000,2.519,designator1_ssse_5\designator1_ssse_5.csd,0.00V,tnet,5in,default_data
DQ,designator1,designator2,R,0.520,1.130,1.969,SSSE,5,73.475,10.000,0.610,SL_PAD/,designator2_pad,3.110,3.720,0.000,0.000,2.590,designator1_ssse_5\designator1_ssse_5.csd,0.00V,tnet,5in,default_data
DQ,designator1,designator2,F,0.575,1.346,1.558,SSSE,6,83.511,10.000,0.771,SL_PAD/,designator2_pad,3.094,3.865,0.000,0.000,2.519,designator1_ssse_5\designator1_ssse_5.csd,0.00V,tnet,5in,default_data
DQ,designator1,designator2,R,0.520,1.130,1.967,SSSE,7,93.476,10.000,0.610,SL_PAD/,designator2_pad,3.110,3.720,0.000,0.000,2.590,designator1_ssse_5\designator1_ssse_5.csd,0.00V,tnet,5in,default_data
