Transfer Net,Driver,Receiver,Simulation,Node,Setup Margin (ns),Hold Margin (ns),Rmin Etch Delay (ns),Rmax Etch Delay (ns),Fmin Etch Delay (ns),Fmax Etch Delay (ns),Min Slew Time (ns),Max Slew Time (ns),Min Voltage (V),Max Voltage (V),UI (ns),VinMeas(H/L) Width (ns),Virtual Eye Width (ns),VinMeas Width (ns),VinMeas Jitter (ns),Inner Height (V),Outer Height (V),Inner Eye Min (V),Inner Eye Max (V),Outer Eye Min (V),Outer Eye Max (V),Rising Jitter (ns),Falling Jitter (ns),Ringback Margin (V),Ringback_High Margin (V),Ringback_Low Margin (V),Corner,Ac Noise,Ac Noise Source,$T1:DELAY,PATTERN
DQ,designator1,designator2,designator1_ssse_2\designator1_ssse_2.csd,designator2_pad,3.500,3.328,-0.072,0.530,-0.031,0.800,0.596,0.830,-0.327,3.395,10.000,9.171,9.128,9.980,0.020,3.138,3.721,0.000,3.138,-0.327,3.395,0.006,0.000,0.658,1.050,0.658,SSSE,0.00V,tnet,2in,default_data
DQ,designator1,designator2,designator1_ssse_3\designator1_ssse_3.csd,designator2_pad,3.420,3.518,0.118,0.717,0.166,0.880,0.587,0.708,-0.385,3.500,10.000,9.286,9.238,9.971,0.029,2.985,3.885,0.107,3.092,-0.385,3.500,0.011,0.007,0.634,1.014,0.634,SSSE,0.00V,tnet,3in,default_data
DQ,designator1,designator2,designator1_ssse_4\designator1_ssse_4.csd,designator2_pad,3.186,3.727,0.327,0.930,0.369,1.114,0.565,0.737,-0.457,3.613,10.000,9.278,9.213,9.963,0.037,2.783,4.070,0.201,2.984,-0.457,3.613,0.028,0.000,0.598,0.973,0.598,SSSE,0.00V,tnet,4in,default_data
DQ,designator1,designator2,designator1_ssse_5\designator1_ssse_5.csd,designator2_pad,2.954,3.920,0.520,1.130,0.566,1.346,0.589,0.770,-0.517,3.693,10.000,9.230,9.174,9.953,0.048,2.714,4.209,0.232,2.946,-0.517,3.692,0.011,0.001,0.568,0.945,0.568,SSSE,0.00V,tnet,5in,default_data
DQ,designator1,designator2,designator1_ssse_6\designator1_ssse_6.csd,designator2_pad,2.797,4.021,0.621,1.310,0.683,1.503,0.583,0.792,-0.556,3.768,10.000,9.180,9.118,9.907,0.093,2.691,4.323,0.228,2.919,-0.556,3.768,0.077,0.064,0.551,0.919,0.551,SSSE,0.00V,tnet,6in,default_data
DQ,designator1,designator2,designator1_fffe_2\designator1_fffe_2.csd,designator2_pad,6.041,1.357,0.003,0.259,-0.043,0.193,0.233,0.253,-0.671,4.557,10.000,9.738,9.698,9.989,0.011,3.135,5.227,0.154,3.288,-0.671,4.556,0.005,0.000,0.439,0.909,0.439,FFFE,0.00V,tnet,2in,default_data
DQ,designator1,designator2,designator1_fffe_3\designator1_fffe_3.csd,designator2_pad,5.876,1.517,0.165,0.424,0.117,0.354,0.232,0.253,-0.720,4.685,10.000,9.739,9.693,9.991,0.009,3.289,5.404,0.015,3.304,-0.720,4.684,0.007,0.000,0.454,0.864,0.454,FFFE,0.00V,tnet,3in,default_data
DQ,designator1,designator2,designator1_fffe_4\designator1_fffe_4.csd,designator2_pad,5.720,1.679,0.325,0.580,0.279,0.519,0.236,0.254,-0.736,4.748,10.000,9.734,9.699,9.984,0.016,3.414,5.484,0.245,3.659,-0.736,4.748,0.004,0.001,0.456,0.858,0.456,FFFE,0.00V,tnet,4in,default_data
DQ,designator1,designator2,designator1_fffe_5\designator1_fffe_5.csd,designator2_pad,5.535,1.833,0.487,0.765,0.433,0.677,0.234,0.266,-0.744,4.762,10.000,9.722,9.668,9.978,0.022,2.909,5.506,0.293,3.202,-0.744,4.762,0.022,0.010,0.457,0.855,0.457,FFFE,0.00V,tnet,5in,default_data
DQ,designator1,designator2,designator1_fffe_6\designator1_fffe_6.csd,designator2_pad,5.374,2.007,0.653,0.926,0.607,0.886,0.236,0.267,-0.747,4.794,10.000,9.695,9.681,9.942,0.059,2.507,5.540,0.345,2.852,-0.747,4.794,0.023,0.003,0.454,0.851,0.454,FFFE,0.00V,tnet,6in,default_data
