Simulation,Waveform Fatal Count,Waveform Quality Count,Waveform Overshoot Count,Power (W),VinMeas Margin,Node VM,Time VM (ns),Min Slew Time (ns),Node MnS,Time MnS (ns),Max Slew Time (ns),Node MxS,Time MxS (ns),VinH Margin (V),Node VHM,Time VHM (ns),VinL Margin (V),Node VLM,Time VLM (ns),Overshoot Low Margin (V),Node OLM,Time OLM (ns),Overshoot High Margin (V),Node OHM,Time OHM (ns),AC Overshoot Low Area Margin (V*ns),Node ACOLAM,Time ACOLAM (ns),AC Overshoot High Area Margin (V*ns),Node ACOHAM,Time ACOHAM (ns),Non Monotonic Time (ns),Node NMT,Time NMT (ns),Eye Width (ns),Node EW,Virtual Eye Width (ns),Node VEW,VinMeas Jitter (ns),Node EJ,Eye Inner Height (V),Node EIH,Eye Outer Height (V),Node EOH,TRANSFER_NET,SIMULATOR,DRIVER,AC_NOISE,AC_NOISE_SOURCE,AGGRESSORS,CORNER,$T1:DELAY,UI,PATTERN
designator1_ssse_2\designator1_ssse_2.csd,0,0,0,NA,0.833,designator2_pad,51.277,0.596,designator2_pad,92.574,0.830,designator2_pad,32.538,1.393,designator2_pad,54.477,1.126,designator2_pad,84.665,,,,,,,,,,,,,,,,9.171,designator2_pad,9.171,designator2_pad,0.020,designator2_pad,3.138,designator2_pad,3.721,designator2_pad,DQ,IsSpice4,designator1,0.000,tnet,0,SSSE,2in,10n,default_data
designator1_ssse_3\designator1_ssse_3.csd,0,0,0,NA,0.835,designator2_pad,51.458,0.587,designator2_pad,72.758,0.708,designator2_pad,82.735,1.496,designator2_pad,94.813,1.183,designator2_pad,64.914,,,,,,,,,,,,,,,,9.286,designator2_pad,9.286,designator2_pad,0.029,designator2_pad,2.985,designator2_pad,3.885,designator2_pad,DQ,IsSpice4,designator1,0.000,tnet,0,SSSE,3in,10n,default_data
designator1_ssse_4\designator1_ssse_4.csd,0,0,0,NA,0.833,designator2_pad,51.648,0.565,designator2_pad,73.005,0.737,designator2_pad,32.938,1.604,designator2_pad,55.168,1.256,designator2_pad,35.377,,,,,,,,,,,,,,,,9.278,designator2_pad,9.278,designator2_pad,0.037,designator2_pad,2.783,designator2_pad,4.070,designator2_pad,DQ,IsSpice4,designator1,0.000,tnet,0,SSSE,4in,10n,default_data
designator1_ssse_5\designator1_ssse_5.csd,0,0,0,NA,0.836,designator2_pad,51.848,0.589,designator2_pad,53.160,0.770,designator2_pad,83.144,1.690,designator2_pad,95.545,1.310,designator2_pad,35.879,,,,,,,,,,,,,,,,9.230,designator2_pad,9.230,designator2_pad,0.048,designator2_pad,2.714,designator2_pad,4.209,designator2_pad,DQ,IsSpice4,designator1,0.000,tnet,0,SSSE,5in,10n,default_data
designator1_ssse_6\designator1_ssse_6.csd,0,0,0,NA,0.862,designator2_pad,43.657,0.583,designator2_pad,53.367,0.792,designator2_pad,63.252,1.745,designator2_pad,75.894,1.349,designator2_pad,66.301,,,,,,,,,,,,,,,,9.180,designator2_pad,9.180,designator2_pad,0.093,designator2_pad,2.691,designator2_pad,4.323,designator2_pad,DQ,IsSpice4,designator1,0.000,tnet,0,SSSE,6in,10n,default_data
designator1_fffe_2\designator1_fffe_2.csd,0,0,0,NA,0.838,designator2_pad,50.866,0.233,designator2_pad,81.544,0.253,designator2_pad,91.519,2.556,designator2_pad,92.474,1.470,designator2_pad,62.373,,,,,,,,,,,,,,,,9.738,designator2_pad,9.738,designator2_pad,0.011,designator2_pad,3.135,designator2_pad,5.227,designator2_pad,DQ,IsSpice4,designator1,0.000,tnet,0,FFFE,2in,10n,default_data
designator1_fffe_3\designator1_fffe_3.csd,0,0,0,NA,0.845,designator2_pad,42.826,0.232,designator2_pad,81.704,0.253,designator2_pad,51.678,2.681,designator2_pad,52.856,1.519,designator2_pad,32.686,,,,,,,,,,,,,,,,9.739,designator2_pad,9.739,designator2_pad,0.009,designator2_pad,3.289,designator2_pad,5.404,designator2_pad,DQ,IsSpice4,designator1,0.000,tnet,0,FFFE,3in,10n,default_data
designator1_fffe_4\designator1_fffe_4.csd,0,0,0,NA,0.889,designator2_pad,42.083,0.236,designator2_pad,31.864,0.254,designator2_pad,51.839,2.740,designator2_pad,53.235,1.535,designator2_pad,63.115,,,,,,,,,,,,,,,,9.734,designator2_pad,9.734,designator2_pad,0.016,designator2_pad,3.414,designator2_pad,5.484,designator2_pad,DQ,IsSpice4,designator1,0.000,tnet,0,FFFE,4in,10n,default_data
designator1_fffe_5\designator1_fffe_5.csd,0,0,0,NA,0.907,designator2_pad,44.112,0.234,designator2_pad,82.018,0.266,designator2_pad,92.012,2.757,designator2_pad,93.667,1.543,designator2_pad,33.592,,,,,,,,,,,,,,,,9.722,designator2_pad,9.722,designator2_pad,0.022,designator2_pad,2.909,designator2_pad,5.506,designator2_pad,DQ,IsSpice4,designator1,0.000,tnet,0,FFFE,5in,10n,default_data
designator1_fffe_6\designator1_fffe_6.csd,0,0,0,NA,0.913,designator2_pad,46.242,0.236,designator2_pad,32.192,0.267,designator2_pad,92.172,2.773,designator2_pad,54.130,1.542,designator2_pad,64.070,,,,,,,,,,,,,,,,9.695,designator2_pad,9.695,designator2_pad,0.059,designator2_pad,2.507,designator2_pad,5.540,designator2_pad,DQ,IsSpice4,designator1,0.000,tnet,0,FFFE,6in,10n,default_data
