Transfer Net,Driver,Receiver,R / F,Min Etch Delay (ns),Max Etch Delay (ns),AC-DC Slew Rate (V/ns),Corner,Edge #,Time (ns),Pulse Width (ns),Delay Variation (ns),Driver Probe Point,Receiver Node,Min Raw Etch Delay (ns),Max Raw Etch Delay (ns),Min Derate (ns),Max Derate (ns),Standard Load Delay (ns),Simulation,Ac Noise,Ac Noise Source,$T1:DELAY,PATTERN
DQM,designator1,designator2,F,-0.168,0.635,1.493,SSSE,2,32.768,20.000,0.803,SL_PAD/,designator2_pad,2.351,3.154,0.000,0.000,2.519,designator1_ssse_2\designator1_ssse_2.csd,0.00V,tnet,2in,default_data
DQM,designator1,designator2,R,-0.179,0.397,2.083,SSSE,3,52.770,20.000,0.576,SL_PAD/,designator2_pad,2.411,2.987,0.000,0.000,2.590,designator1_ssse_2\designator1_ssse_2.csd,0.00V,tnet,2in,default_data
DQM,designator1,designator2,F,-0.168,0.633,1.498,SSSE,4,62.767,10.000,0.801,SL_PAD/,designator2_pad,2.351,3.152,0.000,0.000,2.519,designator1_ssse_2\designator1_ssse_2.csd,0.00V,tnet,2in,default_data
DQM,designator1,designator2,R,-0.181,0.397,2.076,SSSE,5,72.769,10.000,0.578,SL_PAD/,designator2_pad,2.409,2.987,0.000,0.000,2.590,designator1_ssse_2\designator1_ssse_2.csd,0.00V,tnet,2in,default_data
DQM,designator1,designator2,F,-0.168,0.634,1.496,SSSE,6,82.767,10.000,0.802,SL_PAD/,designator2_pad,2.351,3.153,0.000,0.000,2.519,designator1_ssse_2\designator1_ssse_2.csd,0.00V,tnet,2in,default_data
DQM,designator1,designator2,R,-0.181,0.397,2.077,SSSE,7,92.769,10.000,0.578,SL_PAD/,designator2_pad,2.409,2.987,0.000,0.000,2.590,designator1_ssse_2\designator1_ssse_2.csd,0.00V,tnet,2in,default_data
DQM,designator1,designator2,F,0.048,0.773,1.657,SSSE,2,32.946,20.000,0.725,SL_PAD/,designator2_pad,2.567,3.292,0.000,0.000,2.519,designator1_ssse_3\designator1_ssse_3.csd,0.00V,tnet,3in,default_data
DQM,designator1,designator2,R,0.014,0.598,2.056,SSSE,3,52.951,20.000,0.584,SL_PAD/,designator2_pad,2.604,3.188,0.000,0.000,2.590,designator1_ssse_3\designator1_ssse_3.csd,0.00V,tnet,3in,default_data
DQM,designator1,designator2,F,0.049,0.776,1.651,SSSE,4,62.948,10.000,0.727,SL_PAD/,designator2_pad,2.568,3.295,0.000,0.000,2.519,designator1_ssse_3\designator1_ssse_3.csd,0.00V,tnet,3in,default_data
DQM,designator1,designator2,R,0.004,0.603,2.003,SSSE,5,72.950,10.000,0.599,SL_PAD/,designator2_pad,2.594,3.193,0.000,0.000,2.590,designator1_ssse_3\designator1_ssse_3.csd,0.00V,tnet,3in,default_data
DQM,designator1,designator2,F,0.049,0.776,1.651,SSSE,6,82.949,10.000,0.727,SL_PAD/,designator2_pad,2.568,3.295,0.000,0.000,2.519,designator1_ssse_3\designator1_ssse_3.csd,0.00V,tnet,3in,default_data
DQM,designator1,designator2,R,0.004,0.603,2.001,SSSE,7,92.950,10.000,0.599,SL_PAD/,designator2_pad,2.594,3.193,0.000,0.000,2.590,designator1_ssse_3\designator1_ssse_3.csd,0.00V,tnet,3in,default_data
DQM,designator1,designator2,F,0.245,0.961,1.676,SSSE,2,33.160,20.000,0.716,SL_PAD/,designator2_pad,2.764,3.480,0.000,0.000,2.519,designator1_ssse_4\designator1_ssse_4.csd,0.00V,tnet,4in,default_data
DQM,designator1,designator2,R,0.212,0.783,2.101,SSSE,3,53.148,20.000,0.571,SL_PAD/,designator2_pad,2.802,3.373,0.000,0.000,2.590,designator1_ssse_4\designator1_ssse_4.csd,0.00V,tnet,4in,default_data
DQM,designator1,designator2,F,0.245,0.952,1.697,SSSE,4,63.154,10.000,0.707,SL_PAD/,designator2_pad,2.764,3.471,0.000,0.000,2.519,designator1_ssse_4\designator1_ssse_4.csd,0.00V,tnet,4in,default_data
DQM,designator1,designator2,R,0.222,0.779,2.151,SSSE,5,73.149,10.000,0.557,SL_PAD/,designator2_pad,2.812,3.369,0.000,0.000,2.590,designator1_ssse_4\designator1_ssse_4.csd,0.00V,tnet,4in,default_data
DQM,designator1,designator2,F,0.244,0.952,1.696,SSSE,6,83.154,10.000,0.708,SL_PAD/,designator2_pad,2.763,3.471,0.000,0.000,2.519,designator1_ssse_4\designator1_ssse_4.csd,0.00V,tnet,4in,default_data
DQM,designator1,designator2,R,0.222,0.780,2.151,SSSE,7,93.149,10.000,0.558,SL_PAD/,designator2_pad,2.812,3.370,0.000,0.000,2.590,designator1_ssse_4\designator1_ssse_4.csd,0.00V,tnet,4in,default_data
DQM,designator1,designator2,F,0.443,1.175,1.639,SSSE,2,33.357,20.000,0.732,SL_PAD/,designator2_pad,2.962,3.694,0.000,0.000,2.519,designator1_ssse_5\designator1_ssse_5.csd,0.00V,tnet,5in,default_data
DQM,designator1,designator2,R,0.409,0.984,2.088,SSSE,3,53.348,20.000,0.575,SL_PAD/,designator2_pad,2.999,3.574,0.000,0.000,2.590,designator1_ssse_5\designator1_ssse_5.csd,0.00V,tnet,5in,default_data
DQM,designator1,designator2,F,0.470,1.202,1.640,SSSE,4,63.388,10.000,0.732,SL_PAD/,designator2_pad,2.989,3.721,0.000,0.000,2.519,designator1_ssse_5\designator1_ssse_5.csd,0.00V,tnet,5in,default_data
DQM,designator1,designator2,R,0.447,1.019,2.099,SSSE,5,73.381,10.000,0.572,SL_PAD/,designator2_pad,3.037,3.609,0.000,0.000,2.590,designator1_ssse_5\designator1_ssse_5.csd,0.00V,tnet,5in,default_data
DQM,designator1,designator2,F,0.473,1.204,1.641,SSSE,6,83.390,10.000,0.731,SL_PAD/,designator2_pad,2.992,3.723,0.000,0.000,2.519,designator1_ssse_5\designator1_ssse_5.csd,0.00V,tnet,5in,default_data
DQM,designator1,designator2,R,0.447,1.018,2.102,SSSE,7,93.381,10.000,0.571,SL_PAD/,designator2_pad,3.037,3.608,0.000,0.000,2.590,designator1_ssse_5\designator1_ssse_5.csd,0.00V,tnet,5in,default_data
DQM,designator1,designator2,F,0.639,1.370,1.642,SSSE,2,33.554,20.000,0.731,SL_PAD/,designator2_pad,3.158,3.889,0.000,0.000,2.519,designator1_ssse_6\designator1_ssse_6.csd,0.00V,tnet,6in,default_data
DQM,designator1,designator2,R,0.604,1.178,2.091,SSSE,3,53.541,20.000,0.574,SL_PAD/,designator2_pad,3.194,3.768,0.000,0.000,2.590,designator1_ssse_6\designator1_ssse_6.csd,0.00V,tnet,6in,default_data
DQM,designator1,designator2,F,0.622,1.399,1.544,SSSE,4,63.560,10.000,0.777,SL_PAD/,designator2_pad,3.141,3.918,0.000,0.000,2.519,designator1_ssse_6\designator1_ssse_6.csd,0.00V,tnet,6in,default_data
DQM,designator1,designator2,R,0.561,1.181,1.936,SSSE,5,73.525,10.000,0.620,SL_PAD/,designator2_pad,3.151,3.771,0.000,0.000,2.590,designator1_ssse_6\designator1_ssse_6.csd,0.00V,tnet,6in,default_data
DQM,designator1,designator2,F,0.621,1.397,1.547,SSSE,6,83.560,10.000,0.776,SL_PAD/,designator2_pad,3.140,3.916,0.000,0.000,2.519,designator1_ssse_6\designator1_ssse_6.csd,0.00V,tnet,6in,default_data
DQM,designator1,designator2,R,0.562,1.182,1.936,SSSE,7,93.526,10.000,0.620,SL_PAD/,designator2_pad,3.152,3.772,0.000,0.000,2.590,designator1_ssse_6\designator1_ssse_6.csd,0.00V,tnet,6in,default_data
