Transfer Net,Driver,Receiver,Simulation,Node,Setup Margin (ns),Hold Margin (ns),Rmin Etch Delay (ns),Rmax Etch Delay (ns),Fmin Etch Delay (ns),Fmax Etch Delay (ns),Min Slew Time (ns),Max Slew Time (ns),Min Voltage (V),Max Voltage (V),UI (ns),VinMeas(H/L) Width (ns),Virtual Eye Width (ns),VinMeas Width (ns),VinMeas Jitter (ns),Inner Height (V),Outer Height (V),Inner Eye Min (V),Inner Eye Max (V),Outer Eye Min (V),Outer Eye Max (V),Rising Jitter (ns),Falling Jitter (ns),Ringback Margin (V),Ringback_High Margin (V),Ringback_Low Margin (V),Corner,Ac Noise,Ac Noise Source,$T1:DELAY,PATTERN
DQM,designator1,designator2,designator1_ssse_2\designator1_ssse_2.csd,designator2_pad,3.665,3.219,-0.181,0.397,-0.168,0.635,0.576,0.804,-0.310,3.351,10.000,9.197,9.184,9.997,0.004,3.100,3.660,0.026,3.126,-0.310,3.350,0.001,0.002,0.662,1.062,0.662,SSSE,0.00V,tnet,2in,default_data
DQM,designator1,designator2,designator1_ssse_3\designator1_ssse_3.csd,designator2_pad,3.524,3.404,0.004,0.603,0.048,0.776,0.584,0.727,-0.360,3.448,10.000,9.272,9.228,9.997,0.003,3.145,3.807,0.007,3.152,-0.360,3.448,0.002,0.001,0.642,1.024,0.642,SSSE,0.00V,tnet,3in,default_data
DQM,designator1,designator2,designator1_ssse_4\designator1_ssse_4.csd,designator2_pad,3.339,3.612,0.212,0.783,0.244,0.961,0.558,0.716,-0.433,3.558,10.000,9.283,9.251,9.987,0.013,2.895,3.991,0.150,3.046,-0.433,3.558,0.002,0.006,0.605,0.992,0.605,SSSE,0.00V,tnet,4in,default_data
DQM,designator1,designator2,designator1_ssse_5\designator1_ssse_5.csd,designator2_pad,3.096,3.809,0.409,1.019,0.443,1.204,0.571,0.732,-0.498,3.660,10.000,9.267,9.205,9.958,0.042,2.735,4.157,0.223,2.958,-0.498,3.659,0.033,0.002,0.577,0.957,0.577,SSSE,0.00V,tnet,5in,default_data
DQM,designator1,designator2,designator1_ssse_6\designator1_ssse_6.csd,designator2_pad,2.901,3.961,0.561,1.182,0.621,1.399,0.574,0.777,-0.542,3.734,10.000,9.223,9.162,9.964,0.036,2.684,4.276,0.243,2.927,-0.542,3.734,0.016,0.001,0.557,0.927,0.557,SSSE,0.00V,tnet,6in,default_data
DQM,designator1,designator2,designator1_fffe_2\designator1_fffe_2.csd,designator2_pad,6.141,1.267,-0.086,0.159,-0.133,0.088,0.220,0.242,-0.812,4.436,10.000,9.754,9.708,9.990,0.010,3.377,5.247,0.045,3.423,-0.811,4.436,0.003,0.000,0.332,0.965,0.332,FFFE,0.00V,tnet,2in,default_data
DQM,designator1,designator2,designator1_fffe_3\designator1_fffe_3.csd,designator2_pad,5.978,1.426,0.074,0.322,0.026,0.251,0.221,0.247,-0.953,4.630,10.000,9.752,9.704,9.997,0.003,3.041,5.583,0.233,3.274,-0.953,4.630,0.001,0.001,0.329,0.909,0.329,FFFE,0.00V,tnet,3in,default_data
DQM,designator1,designator2,designator1_fffe_4\designator1_fffe_4.csd,designator2_pad,5.804,1.589,0.240,0.496,0.189,0.424,0.222,0.244,-1.019,4.698,10.000,9.759,9.693,9.981,0.019,3.269,5.717,0.077,3.346,-1.018,4.698,0.019,0.000,0.328,0.900,0.328,FFFE,0.00V,tnet,4in,default_data
DQM,designator1,designator2,designator1_fffe_5\designator1_fffe_5.csd,designator2_pad,5.654,1.729,0.380,0.646,0.329,0.574,0.221,0.247,-1.056,4.743,10.000,9.733,9.683,9.970,0.030,3.627,5.798,0.048,3.675,-1.055,4.742,0.028,0.025,0.331,0.900,0.331,FFFE,0.00V,tnet,5in,default_data
DQM,designator1,designator2,designator1_fffe_6\designator1_fffe_6.csd,designator2_pad,5.491,1.907,0.561,0.809,0.507,0.735,0.218,0.246,-1.070,4.762,10.000,9.752,9.698,9.991,0.009,2.438,5.831,0.470,2.908,-1.070,4.762,0.007,0.008,0.330,0.899,0.330,FFFE,0.00V,tnet,6in,default_data
