Transfer Net,Driver,Receiver,R / F,Min Etch Delay (ns),Max Etch Delay (ns),AC-DC Slew Rate (V/ns),Corner,Edge #,Time (ns),Pulse Width (ns),Delay Variation (ns),Driver Probe Point,Receiver Node,Min Raw Etch Delay (ns),Max Raw Etch Delay (ns),Min Derate (ns),Max Derate (ns),Standard Load Delay (ns),Simulation,Ac Noise,Ac Noise Source,$T1:DELAY,PATTERN
WE,designator1,designator2,F,0.461,1.668,0.994,SSSE,2,23.588,10.000,1.207,SL_PAD/,designator2_pad,2.980,4.187,0.000,0.000,2.519,designator1_ssse_2\designator1_ssse_2.csd,0.00V,tnet,2in,default_clock
WE,designator1,designator2,R,0.322,1.313,1.211,SSSE,3,33.404,10.000,0.991,SL_PAD/,designator2_pad,2.912,3.903,0.000,0.000,2.590,designator1_ssse_2\designator1_ssse_2.csd,0.00V,tnet,2in,default_clock
WE,designator1,designator2,F,0.461,1.668,0.994,SSSE,4,43.589,10.000,1.207,SL_PAD/,designator2_pad,2.980,4.187,0.000,0.000,2.519,designator1_ssse_2\designator1_ssse_2.csd,0.00V,tnet,2in,default_clock
WE,designator1,designator2,R,0.322,1.314,1.210,SSSE,5,53.405,10.000,0.992,SL_PAD/,designator2_pad,2.912,3.904,0.000,0.000,2.590,designator1_ssse_2\designator1_ssse_2.csd,0.00V,tnet,2in,default_clock
WE,designator1,designator2,F,0.461,1.668,0.994,SSSE,6,63.588,10.000,1.207,SL_PAD/,designator2_pad,2.980,4.187,0.000,0.000,2.519,designator1_ssse_2\designator1_ssse_2.csd,0.00V,tnet,2in,default_clock
WE,designator1,designator2,R,0.322,1.315,1.209,SSSE,7,73.405,10.000,0.993,SL_PAD/,designator2_pad,2.912,3.905,0.000,0.000,2.590,designator1_ssse_2\designator1_ssse_2.csd,0.00V,tnet,2in,default_clock
WE,designator1,designator2,F,0.461,1.669,0.994,SSSE,8,83.588,10.000,1.208,SL_PAD/,designator2_pad,2.980,4.188,0.000,0.000,2.519,designator1_ssse_2\designator1_ssse_2.csd,0.00V,tnet,2in,default_clock
WE,designator1,designator2,R,0.322,1.314,1.210,SSSE,9,93.404,10.000,0.992,SL_PAD/,designator2_pad,2.912,3.904,0.000,0.000,2.590,designator1_ssse_2\designator1_ssse_2.csd,0.00V,tnet,2in,default_clock
WE,designator1,designator2,F,0.460,1.667,0.994,SSSE,10,103.585,10.000,1.207,SL_PAD/,designator2_pad,2.979,4.186,0.000,0.000,2.519,designator1_ssse_2\designator1_ssse_2.csd,0.00V,tnet,2in,default_clock
WE,designator1,designator2,R,0.322,1.314,1.209,SSSE,11,113.404,10.000,0.992,SL_PAD/,designator2_pad,2.912,3.904,0.000,0.000,2.590,designator1_ssse_2\designator1_ssse_2.csd,0.00V,tnet,2in,default_clock
WE,designator1,designator2,F,0.461,1.669,0.994,SSSE,12,123.588,10.000,1.208,SL_PAD/,designator2_pad,2.980,4.188,0.000,0.000,2.519,designator1_ssse_2\designator1_ssse_2.csd,0.00V,tnet,2in,default_clock
