Transfer Net,Driver,Receiver,Node,UI (ns),Floating Vref (V),VinMeas(H/L) Width (ns),Virtual Width (ns),VinMeas Jitter (ns),Inner Height (V),Outer Height (V),Min Voltage (V),Max Voltage (V),Min Slew Time (ns),Max Slew Time (ns),Simulation,Max Eye Width (ns),Max Eye Width Voltage (V),VinMeas Left (V),VinMeas Right (V),VinMeas High Left (V),VinMeas Low Left (V),VinMeas High Right (V),VinMeas Low Right (V),AC Noise,AC Noise Source,Inner Eye Min (V),Inner Eye Max (V),Inner Eye Min Eye Time (ns),Inner Eye Min Sim Time (ns),Inner Eye Max Eye Time (ns),Inner Eye Max Sim Time (ns),Outer Eye Min (V),Outer Eye Max (V),Outer Eye Min Eye Time (ns),Outer Eye Min Sim Time (ns),Outer Eye Max Eye Time (ns),Outer Eye Max Sim Time (ns),VinMeas Width (ns),VinMeas Left Eye Time (ns),VinMeas Right Eye Time (ns),VinMeas Left Sim Time (ns),VinMeas Right Sim Time (ns),VinMeas(H/L) Left Eye Time (ns),VinMeas(H/L) Right Eye Time (ns),VinMeas(H/L) Left Sim Time (ns),VinMeas(H/L) Right Sim Time (ns),Virtual Left Eye Time (ns),Virtual Right Eye Time (ns),Virtual Left Sim Time (ns),Virtual Right Sim Time (ns),Eye Start Sim Time(ns),Eye Stop Sim Time (ns),Min Voltage Eye Time (ns),Min Voltage Sim Time (ns),Max Voltage Eye Time (ns),Max Voltage Sim Time (ns),VinMeas Left Low Eye Time (ns),VinMeas Left Low Sim Time (ns),VinMeas Left High Eye Time (ns),VinMeas Left High Sim Time (ns),VinMeas Right Low Eye Time (ns),VinMeas Right Low Sim Time (ns),VinMeas Right High Eye Time (ns),VinMeas Right High Sim Time (ns),Min Slew Rate (V/ns),Max Slew Rate (V/ns),Min DC Slew Rate (V/ns),Max DC Slew Rate (V/ns),Min AC Slew Rate (V/ns),Max AC Slew Rate (V/ns),Min SRIdiff Slew Rate (V/ns),Min SRIdiff Slew Rate Time (ns),Max SRIdiff Slew Rate (V/ns),Max SRIdiff Slew Rate Time (ns),Rising Jitter (ns),Falling Jitter (ns),Ringback Margin (V),Ringback_High Margin (V),Ringback_Low Margin (V),SIMULATOR,AGGRESSORS,CORNER,$T1:DELAY,PATTERN
WE,designator1,designator2,designator2_pad,10.000,,8.724,8.724,0.185,3.120,3.232,-0.023,3.209,0.991,1.208,designator1_ssse_2\designator1_ssse_2.csd,9.997,1.496,1.400,1.400,2.000,0.800,2.000,0.800,0.000,Tnet,0.002,3.122,8.897,68.897,7.997,97.997,-0.023,3.209,11.377,131.377,11.617,141.617,9.815,3.597,13.417,143.609,33.424,4.257,12.977,144.258,32.982,4.257,12.977,144.258,32.982,23.617,143.617,11.397,131.397,11.637,141.637,4.257,144.258,3.957,73.975,12.977,32.982,13.037,143.050,0.994,1.211,1.073,1.357,0.922,1.093,NoDef,NoDef,NoDef,NoDef,0.001,0.004,0.793,1.122,0.793,IsSpice4,0,SSSE,2in,default_clock
WE,designator1,designator2,designator2_pad,10.000,,8.675,8.675,0.139,3.109,3.231,-0.023,3.209,0.978,1.262,designator1_ssse_3\designator1_ssse_3.csd,9.998,1.476,1.400,1.400,2.000,0.800,2.000,0.800,0.000,Tnet,0.001,3.110,8.177,28.177,8.157,138.157,-0.023,3.208,11.577,151.577,11.797,41.797,9.861,3.737,13.597,143.740,93.601,4.497,13.157,64.498,33.172,4.497,13.157,64.498,33.172,23.737,143.737,11.597,151.597,11.817,41.817,4.497,64.498,4.137,154.152,13.157,33.172,13.217,43.236,0.951,1.227,1.190,1.401,0.790,1.094,NoDef,NoDef,NoDef,NoDef,0.001,0.002,0.794,1.126,0.794,IsSpice4,0,SSSE,3in,default_clock
WE,designator1,designator2,designator2_pad,10.000,,8.704,8.704,0.112,3.102,3.229,-0.024,3.206,0.946,1.235,designator1_ssse_4\designator1_ssse_4.csd,9.999,1.470,1.400,1.400,2.000,0.800,2.000,0.800,0.000,Tnet,-0.003,3.099,8.577,28.577,8.337,58.337,-0.024,3.205,11.777,151.777,11.997,41.997,9.888,3.897,13.777,103.904,33.792,4.657,13.357,84.668,33.372,4.657,13.357,84.668,33.372,23.897,143.897,11.797,151.797,12.017,42.017,4.657,84.668,4.317,54.320,13.357,33.372,13.417,43.434,0.972,1.269,1.277,1.430,0.785,1.140,NoDef,NoDef,NoDef,NoDef,0.001,0.000,0.801,NoDef,0.801,IsSpice4,0,SSSE,4in,default_clock
WE,designator1,designator2,designator2_pad,10.000,,8.749,8.749,0.107,3.082,3.227,-0.025,3.202,0.934,1.197,designator1_ssse_5\designator1_ssse_5.csd,9.999,1.467,1.400,1.400,2.000,0.800,2.000,0.800,0.000,Tnet,0.003,3.085,8.537,28.537,8.537,58.537,-0.025,3.202,11.977,31.977,12.197,82.197,9.893,4.097,13.977,44.100,33.993,4.817,13.557,44.824,33.573,4.817,13.557,44.824,33.573,24.097,144.097,11.997,31.997,12.217,82.217,4.817,44.824,4.497,54.510,13.557,33.573,13.617,143.627,1.003,1.284,1.269,1.430,0.829,1.166,NoDef,NoDef,NoDef,NoDef,0.001,0.001,0.784,NoDef,0.784,IsSpice4,0,SSSE,5in,default_clock
WE,designator1,designator2,designator2_pad,10.000,,8.780,8.780,0.099,3.062,3.222,-0.026,3.197,0.936,1.178,designator1_ssse_6\designator1_ssse_6.csd,9.998,1.460,1.400,1.400,2.000,0.800,2.000,0.800,0.000,Tnet,0.012,3.074,8.717,68.717,8.717,98.717,-0.026,3.196,12.157,72.157,12.397,62.397,9.901,4.277,14.177,44.292,34.193,4.977,13.757,104.992,133.772,4.977,13.757,104.992,133.772,24.297,144.297,12.177,72.177,12.417,62.417,4.977,104.992,4.697,74.710,13.757,133.772,13.797,43.815,1.019,1.282,1.259,1.425,0.855,1.166,NoDef,NoDef,NoDef,NoDef,0.001,0.001,0.794,NoDef,0.794,IsSpice4,0,SSSE,6in,default_clock
WE,designator1,designator2,designator2_pad,10.000,,9.440,9.440,0.086,3.462,3.704,-0.174,3.533,0.405,0.462,designator1_fffe_2\designator1_fffe_2.csd,9.997,1.524,1.400,1.400,2.000,0.800,2.000,0.800,0.000,Tnet,0.002,3.464,16.497,126.497,16.497,56.497,-0.174,3.531,13.557,23.557,13.777,53.777,9.914,12.037,21.957,102.056,31.971,12.317,21.757,62.331,71.771,12.317,21.757,62.331,71.771,22.057,142.057,13.577,23.577,13.797,53.797,12.317,62.331,12.157,112.177,21.757,71.771,21.857,141.869,2.598,2.964,2.997,3.253,2.169,2.924,NoDef,NoDef,NoDef,NoDef,0.001,0.002,0.784,1.462,0.784,IsSpice4,0,FFFE,2in,default_clock
WE,designator1,designator2,designator2_pad,10.000,,9.437,9.437,0.088,3.437,3.903,-0.291,3.612,0.404,0.466,designator1_fffe_3\designator1_fffe_3.csd,9.998,1.526,1.400,1.400,2.000,0.800,2.000,0.800,0.000,Tnet,0.020,3.457,6.672,86.672,6.672,116.672,-0.291,3.612,3.652,63.652,3.912,113.912,9.913,2.212,12.132,102.220,72.133,2.492,11.932,102.497,151.934,2.492,11.932,102.497,151.934,22.232,142.232,3.672,63.672,3.932,113.932,2.492,102.497,2.332,112.339,11.932,151.934,12.012,42.030,2.577,2.968,2.993,3.189,2.166,2.933,NoDef,NoDef,NoDef,NoDef,0.001,0.002,0.765,1.455,0.765,IsSpice4,0,FFFE,3in,default_clock
WE,designator1,designator2,designator2_pad,10.000,,9.439,9.439,0.085,3.398,4.084,-0.394,3.690,0.405,0.466,designator1_fffe_4\designator1_fffe_4.csd,9.998,1.524,1.400,1.400,2.000,0.800,2.000,0.800,0.000,Tnet,0.050,3.448,6.835,146.835,6.835,116.835,-0.394,3.690,3.995,123.995,4.155,114.155,9.915,2.375,12.295,122.381,32.296,2.655,12.095,62.659,152.097,2.655,12.095,62.659,152.097,22.375,142.375,4.015,124.015,4.175,114.175,2.655,62.659,2.495,152.503,12.095,152.097,12.175,42.193,2.575,2.964,2.996,3.200,2.158,2.927,NoDef,NoDef,NoDef,NoDef,0.001,0.001,0.746,1.448,0.746,IsSpice4,0,FFFE,4in,default_clock
WE,designator1,designator2,designator2_pad,10.000,,9.438,9.438,0.085,3.372,4.227,-0.470,3.757,0.405,0.467,designator1_fffe_5\designator1_fffe_5.csd,9.998,1.523,1.400,1.400,2.000,0.800,2.000,0.800,0.000,Tnet,0.068,3.440,7.347,27.347,7.547,97.547,-0.470,3.757,4.387,64.387,4.487,114.487,9.915,2.527,12.447,62.544,72.459,2.807,12.247,42.821,152.259,2.807,12.247,42.821,152.259,22.547,142.547,4.407,64.407,4.507,114.507,2.807,42.821,2.647,132.665,12.247,152.259,12.347,142.354,2.571,2.963,2.987,3.199,2.154,2.934,NoDef,NoDef,NoDef,NoDef,0.001,0.001,0.732,1.440,0.732,IsSpice4,0,FFFE,5in,default_clock
WE,designator1,designator2,designator2_pad,10.000,,9.435,9.435,0.087,3.351,4.325,-0.521,3.804,0.407,0.467,designator1_fffe_6\designator1_fffe_6.csd,9.999,1.526,1.400,1.400,2.000,0.800,2.000,0.800,0.000,Tnet,0.081,3.433,7.809,47.809,7.989,57.989,-0.521,3.804,4.809,104.809,4.889,54.889,9.913,2.689,12.609,42.704,32.617,2.969,12.409,142.982,152.417,2.969,12.409,142.982,152.417,22.689,142.689,4.829,104.829,4.909,54.909,2.969,142.982,2.809,112.824,12.409,152.417,12.509,142.514,2.568,2.950,2.975,3.193,2.155,2.921,NoDef,NoDef,NoDef,NoDef,0.001,0.001,0.719,1.433,0.719,IsSpice4,0,FFFE,6in,default_clock
