Setup Margin (ns),Hold Margin (ns),Data R/F,Transfer Net,Driver,Receiver,UI (ns),Min Data Etch Delay (ns),Max Data Etch Delay (ns),Min Tco (ns),Max Tco (ns),Setup (ns),Hold (ns),Setup Skew (ns),Hold Skew (ns),Source Clock Net,Target Clock Net,Simulation,Corner
2.985,3.722,R,WE,designator1,designator2,10.000,0.322,1.315,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_2\designator1_ssse_2.csd,SSSE
2.631,3.860,F,WE,designator1,designator2,10.000,0.460,1.669,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_2\designator1_ssse_2.csd,SSSE
2.808,3.912,R,WE,designator1,designator2,10.000,0.512,1.492,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_3\designator1_ssse_3.csd,SSSE
2.391,4.046,F,WE,designator1,designator2,10.000,0.646,1.909,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_3\designator1_ssse_3.csd,SSSE
2.640,4.112,R,WE,designator1,designator2,10.000,0.712,1.660,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_4\designator1_ssse_4.csd,SSSE
2.221,4.244,F,WE,designator1,designator2,10.000,0.844,2.079,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_4\designator1_ssse_4.csd,SSSE
2.450,4.313,R,WE,designator1,designator2,10.000,0.913,1.850,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_5\designator1_ssse_5.csd,SSSE
2.065,4.438,F,WE,designator1,designator2,10.000,1.038,2.235,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_5\designator1_ssse_5.csd,SSSE
2.250,4.512,R,WE,designator1,designator2,10.000,1.112,2.050,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_6\designator1_ssse_6.csd,SSSE
1.897,4.625,F,WE,designator1,designator2,10.000,1.225,2.403,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_6\designator1_ssse_6.csd,SSSE
5.656,1.638,R,WE,designator1,designator2,10.000,0.238,0.644,2.200,2.200,1.500,0.800,0.000,0.000,NA,NA,designator1_fffe_2\designator1_fffe_2.csd,FFFE
5.574,1.664,F,WE,designator1,designator2,10.000,0.264,0.726,2.200,2.200,1.500,0.800,0.000,0.000,NA,NA,designator1_fffe_2\designator1_fffe_2.csd,FFFE
5.494,1.801,R,WE,designator1,designator2,10.000,0.401,0.806,2.200,2.200,1.500,0.800,0.000,0.000,NA,NA,designator1_fffe_3\designator1_fffe_3.csd,FFFE
5.408,1.825,F,WE,designator1,designator2,10.000,0.425,0.892,2.200,2.200,1.500,0.800,0.000,0.000,NA,NA,designator1_fffe_3\designator1_fffe_3.csd,FFFE
5.330,1.963,R,WE,designator1,designator2,10.000,0.563,0.970,2.200,2.200,1.500,0.800,0.000,0.000,NA,NA,designator1_fffe_4\designator1_fffe_4.csd,FFFE
5.246,1.987,F,WE,designator1,designator2,10.000,0.587,1.054,2.200,2.200,1.500,0.800,0.000,0.000,NA,NA,designator1_fffe_4\designator1_fffe_4.csd,FFFE
5.168,2.125,R,WE,designator1,designator2,10.000,0.725,1.132,2.200,2.200,1.500,0.800,0.000,0.000,NA,NA,designator1_fffe_5\designator1_fffe_5.csd,FFFE
5.084,2.149,F,WE,designator1,designator2,10.000,0.749,1.216,2.200,2.200,1.500,0.800,0.000,0.000,NA,NA,designator1_fffe_5\designator1_fffe_5.csd,FFFE
5.009,2.283,R,WE,designator1,designator2,10.000,0.883,1.291,2.200,2.200,1.500,0.800,0.000,0.000,NA,NA,designator1_fffe_6\designator1_fffe_6.csd,FFFE
4.923,2.309,F,WE,designator1,designator2,10.000,0.909,1.377,2.200,2.200,1.500,0.800,0.000,0.000,NA,NA,designator1_fffe_6\designator1_fffe_6.csd,FFFE
