Simulation,Waveform Fatal Count,Waveform Quality Count,Waveform Overshoot Count,Power (W),VinMeas Margin,Node VM,Time VM (ns),Min Slew Time (ns),Node MnS,Time MnS (ns),Max Slew Time (ns),Node MxS,Time MxS (ns),VinH Margin (V),Node VHM,Time VHM (ns),VinL Margin (V),Node VLM,Time VLM (ns),Overshoot Low Margin (V),Node OLM,Time OLM (ns),Overshoot High Margin (V),Node OHM,Time OHM (ns),AC Overshoot Low Area Margin (V*ns),Node ACOLAM,Time ACOLAM (ns),AC Overshoot High Area Margin (V*ns),Node ACOHAM,Time ACOHAM (ns),Non Monotonic Time (ns),Node NMT,Time NMT (ns),Eye Width (ns),Node EW,Virtual Eye Width (ns),Node VEW,VinMeas Jitter (ns),Node EJ,Eye Inner Height (V),Node EIH,Eye Outer Height (V),Node EOH,TRANSFER_NET,SIMULATOR,DRIVER,AC_NOISE,AC_NOISE_SOURCE,AGGRESSORS,CORNER,$T1:DELAY,UI,PATTERN
designator1_ssse_2\designator1_ssse_2.csd,0,0,0,NA,0.821,designator2_pad,111.387,0.991,designator2_pad,32.962,1.208,designator2_pad,83.030,1.207,designator2_pad,101.608,0.821,designator2_pad,111.387,,,,,,,,,,,,,,,,8.724,designator2_pad,8.724,designator2_pad,0.185,designator2_pad,3.120,designator2_pad,3.232,designator2_pad,WE,IsSpice4,designator1,0.000,tnet,0,SSSE,2in,10n,default_clock
designator1_ssse_3\designator1_ssse_3.csd,0,0,0,NA,0.821,designator2_pad,131.576,0.978,designator2_pad,113.152,1.262,designator2_pad,63.216,1.207,designator2_pad,61.807,0.821,designator2_pad,131.576,,,,,,,,,,,,,,,,8.675,designator2_pad,8.675,designator2_pad,0.139,designator2_pad,3.109,designator2_pad,3.231,designator2_pad,WE,IsSpice4,designator1,0.000,tnet,0,SSSE,3in,10n,default_clock
designator1_ssse_4\designator1_ssse_4.csd,0,0,0,NA,0.823,designator2_pad,111.786,0.946,designator2_pad,153.353,1.235,designator2_pad,83.414,1.205,designator2_pad,122.025,0.823,designator2_pad,111.786,,,,,,,,,,,,,,,,8.704,designator2_pad,8.704,designator2_pad,0.112,designator2_pad,3.102,designator2_pad,3.229,designator2_pad,WE,IsSpice4,designator1,0.000,tnet,0,SSSE,4in,10n,default_clock
designator1_ssse_5\designator1_ssse_5.csd,0,0,0,NA,0.823,designator2_pad,51.988,0.934,designator2_pad,113.554,1.197,designator2_pad,43.608,1.201,designator2_pad,62.211,0.823,designator2_pad,51.988,,,,,,,,,,,,,,,,8.749,designator2_pad,8.749,designator2_pad,0.107,designator2_pad,3.082,designator2_pad,3.227,designator2_pad,WE,IsSpice4,designator1,0.000,tnet,0,SSSE,5in,10n,default_clock
designator1_ssse_6\designator1_ssse_6.csd,0,0,0,NA,0.823,designator2_pad,92.196,0.936,designator2_pad,93.752,1.178,designator2_pad,103.795,1.195,designator2_pad,162.438,0.823,designator2_pad,92.196,,,,,,,,,,,,,,,,8.780,designator2_pad,8.780,designator2_pad,0.099,designator2_pad,3.062,designator2_pad,3.222,designator2_pad,WE,IsSpice4,designator1,0.000,tnet,0,SSSE,6in,10n,default_clock
designator1_fffe_2\designator1_fffe_2.csd,0,0,0,NA,0.827,designator2_pad,130.963,0.405,designator2_pad,51.751,0.462,designator2_pad,21.849,1.530,designator2_pad,73.766,0.972,designator2_pad,83.577,,,,,,,,,,,,,,,,9.440,designator2_pad,9.440,designator2_pad,0.086,designator2_pad,3.462,designator2_pad,3.704,designator2_pad,WE,IsSpice4,designator1,0.000,tnet,0,FFFE,2in,10n,default_clock
designator1_fffe_3\designator1_fffe_3.csd,0,0,0,NA,0.827,designator2_pad,51.121,0.404,designator2_pad,31.914,0.466,designator2_pad,102.011,1.611,designator2_pad,33.903,1.090,designator2_pad,23.666,,,,,,,,,,,,,,,,9.437,designator2_pad,9.437,designator2_pad,0.088,designator2_pad,3.437,designator2_pad,3.903,designator2_pad,WE,IsSpice4,designator1,0.000,tnet,0,FFFE,3in,10n,default_clock
designator1_fffe_4\designator1_fffe_4.csd,0,0,0,NA,0.826,designator2_pad,91.288,0.405,designator2_pad,132.078,0.466,designator2_pad,142.172,1.689,designator2_pad,94.176,1.193,designator2_pad,104.006,,,,,,,,,,,,,,,,9.439,designator2_pad,9.439,designator2_pad,0.085,designator2_pad,3.398,designator2_pad,4.084,designator2_pad,WE,IsSpice4,designator1,0.000,tnet,0,FFFE,4in,10n,default_clock
designator1_fffe_5\designator1_fffe_5.csd,0,0,0,NA,0.831,designator2_pad,151.443,0.405,designator2_pad,92.239,0.467,designator2_pad,42.335,1.756,designator2_pad,134.478,1.269,designator2_pad,144.397,,,,,,,,,,,,,,,,9.438,designator2_pad,9.438,designator2_pad,0.085,designator2_pad,3.372,designator2_pad,4.227,designator2_pad,WE,IsSpice4,designator1,0.000,tnet,0,FFFE,5in,10n,default_clock
designator1_fffe_6\designator1_fffe_6.csd,0,0,0,NA,0.838,designator2_pad,51.604,0.407,designator2_pad,92.397,0.467,designator2_pad,142.494,1.803,designator2_pad,94.891,1.319,designator2_pad,144.817,,,,,,,,,,,,,,,,9.435,designator2_pad,9.435,designator2_pad,0.087,designator2_pad,3.351,designator2_pad,4.325,designator2_pad,WE,IsSpice4,designator1,0.000,tnet,0,FFFE,6in,10n,default_clock
