Warning,Part,IBIS File,IBIS Component,Timing File,Timing Model,Pin Number,Pin Name,Model Name,Model Type,Additional Data
Part pin not referenced in Transfer Net List,stratix,stratix.ibs,Stratix,stratix.tmg,stratix,CKE, CKE,1s_cmos33_io_d8ps,I/O,
Part pin not referenced in Transfer Net List,stratix,stratix.ibs,Stratix,stratix.tmg,stratix,WE, WE,1s_cmos33_io_d8ps,I/O,
Part pin not referenced in Transfer Net List,stratix,stratix.ibs,Stratix,stratix.tmg,stratix,CK, CK,1s_cmos33_io_d8ps,I/O,
Part pin not referenced in Transfer Net List,stratix,stratix.ibs,Stratix,stratix.tmg,stratix,1, 1s_gtl25_io,1s_gtl25_io,I/O_open_drain,
Part pin not referenced in Transfer Net List,stratix,stratix.ibs,Stratix,stratix.tmg,stratix,2, 1s_gtl33_io,1s_gtl33_io,I/O_open_drain,
Part pin not referenced in Transfer Net List,stratix,stratix.ibs,Stratix,stratix.tmg,stratix,3, 1s_gtlp25_io,1s_gtlp25_io,I/O_open_drain,
Part pin not referenced in Transfer Net List,stratix,stratix.ibs,Stratix,stratix.tmg,stratix,4, 1s_gtlp33_io,1s_gtlp33_io,I/O_open_drain,
Part pin not referenced in Transfer Net List,stratix,stratix.ibs,Stratix,stratix.tmg,stratix,5, 1s_gtl25_io_s,1s_gtl25_io_s,I/O_open_drain,
Part pin not referenced in Transfer Net List,stratix,stratix.ibs,Stratix,stratix.tmg,stratix,6, 1s_gtl33_io_s,1s_gtl33_io_s,I/O_open_drain,
Part pin not referenced in Transfer Net List,stratix,stratix.ibs,Stratix,stratix.tmg,stratix,7, 1s_gtlp25_io_s,1s_gtlp25_io_s,I/O_open_drain,
Part pin not referenced in Transfer Net List,stratix,stratix.ibs,Stratix,stratix.tmg,stratix,8, 1s_gtlp33_io_s,1s_gtlp33_io_s,I/O_open_drain,
Part pin not referenced in Transfer Net List,stratix,stratix.ibs,Stratix,stratix.tmg,stratix,9, 1s_gtl25_in,1s_gtl25_in,Input,
Part pin not referenced in Transfer Net List,stratix,stratix.ibs,Stratix,stratix.tmg,stratix,10, 1s_gtl33_in,1s_gtl33_in,Input,
Part pin not referenced in Transfer Net List,stratix,stratix.ibs,Stratix,stratix.tmg,stratix,11, 1s_gtlp25_in,1s_gtlp25_in,Input,
Part pin not referenced in Transfer Net List,stratix,stratix.ibs,Stratix,stratix.tmg,stratix,12, 1s_gtlp33_in,1s_gtlp33_in,Input,
Part pin not referenced in Transfer Net List,stratix,stratix.ibs,Stratix,stratix.tmg,stratix,13, 1s_ctt33_io,1s_ctt33_io,I/O,
Part pin not referenced in Transfer Net List,stratix,stratix.ibs,Stratix,stratix.tmg,stratix,14, 1s_ctt33_io_s,1s_ctt33_io_s,I/O,
Part pin not referenced in Transfer Net List,stratix,stratix.ibs,Stratix,stratix.tmg,stratix,15, 1s_ctt33_in,1s_ctt33_in,Input,
Part pin not referenced in Transfer Net List,stratix,stratix.ibs,Stratix,stratix.tmg,stratix,16, 1s_pci33_io,1s_pci33_io,I/O,
Part pin not referenced in Transfer Net List,stratix,stratix.ibs,Stratix,stratix.tmg,stratix,17, 1s_pci33_io_s,1s_pci33_io_s,I/O,
Part pin not referenced in Transfer Net List,stratix,stratix.ibs,Stratix,stratix.tmg,stratix,18, 1s_pci33_in,1s_pci33_in,Input,
Part pin not referenced in Transfer Net List,stratix,stratix.ibs,Stratix,stratix.tmg,stratix,19, 1s_sstl18c1_io,1s_sstl18c1_io,I/O,
Part pin not referenced in Transfer Net List,stratix,stratix.ibs,Stratix,stratix.tmg,stratix,20, 1s_sstl18c2_io,1s_sstl18c2_io,I/O,
Part pin not referenced in Transfer Net List,stratix,stratix.ibs,Stratix,stratix.tmg,stratix,21, 1s_sstl18c1_io_s,1s_sstl18c1_io_s,I/O,
Part pin not referenced in Transfer Net List,stratix,stratix.ibs,Stratix,stratix.tmg,stratix,22, 1s_sstl18c2_io_s,1s_sstl18c2_io_s,I/O,
Part pin not referenced in Transfer Net List,stratix,stratix.ibs,Stratix,stratix.tmg,stratix,23, 1s_sstl18_in,1s_sstl18_in,Input,
Part pin not referenced in Transfer Net List,stratix,stratix.ibs,Stratix,stratix.tmg,stratix,24, 1s_sstl25c1_io,1s_sstl25c1_io,I/O,
Part pin not referenced in Transfer Net List,stratix,stratix.ibs,Stratix,stratix.tmg,stratix,25, 1s_sstl25c2_io,1s_sstl25c2_io,I/O,
Part pin not referenced in Transfer Net List,stratix,stratix.ibs,Stratix,stratix.tmg,stratix,26, 1s_sstl25c1_io_dm,1s_sstl25c1_io_dm,I/O,
Part pin not referenced in Transfer Net List,stratix,stratix.ibs,Stratix,stratix.tmg,stratix,27, 1s_sstl25c2_io_dm,1s_sstl25c2_io_dm,I/O,
Part pin not referenced in Transfer Net List,stratix,stratix.ibs,Stratix,stratix.tmg,stratix,28, 1s_sstl25c1_io_s,1s_sstl25c1_io_s,I/O,
Part pin not referenced in Transfer Net List,stratix,stratix.ibs,Stratix,stratix.tmg,stratix,29, 1s_sstl25c2_io_s,1s_sstl25c2_io_s,I/O,
Part pin not referenced in Transfer Net List,stratix,stratix.ibs,Stratix,stratix.tmg,stratix,30, 1s_sstl25_in,1s_sstl25_in,Input,
Part pin not referenced in Transfer Net List,stratix,stratix.ibs,Stratix,stratix.tmg,stratix,31, 1s_sstl33c1_io,1s_sstl33c1_io,I/O,
Part pin not referenced in Transfer Net List,stratix,stratix.ibs,Stratix,stratix.tmg,stratix,32, 1s_sstl33c2_io,1s_sstl33c2_io,I/O,
Part pin not referenced in Transfer Net List,stratix,stratix.ibs,Stratix,stratix.tmg,stratix,33, 1s_sstl33c1_io_s,1s_sstl33c1_io_s,I/O,
Part pin not referenced in Transfer Net List,stratix,stratix.ibs,Stratix,stratix.tmg,stratix,34, 1s_sstl33c2_io_s,1s_sstl33c2_io_s,I/O,
Part pin not referenced in Transfer Net List,stratix,stratix.ibs,Stratix,stratix.tmg,stratix,35, 1s_sstl33_in,1s_sstl33_in,Input,
Part pin not referenced in Transfer Net List,stratix,stratix.ibs,Stratix,stratix.tmg,stratix,36, 1s_hstl15c1_io,1s_hstl15c1_io,I/O,
