Transfer Net,UI (ns),Node,Designator,Corner,Eye Width (ns),Virtual Eye Width (ns),VinMeas Jitter (ns),VinMeas Rising Jitter (ns),VinMeas Falling Jitter (ns),Duty Cycle,Inner Height (V),Outer Height (V),Composite Eye Width (ns),Composite VinMeas Jitter (ns),Composite Inner Height (V),Composite Outer Height (V)
ADR,10.000,All,All,All,8.898,8.898,0.133,0.003,0.006,,2.415,6.037,-0.240,9.940,2.415,6.037
ADR,10.000,designator2_pad,designator2,All,8.898,8.898,0.133,0.003,0.006,,2.415,6.037,-0.240,9.940,2.415,6.037
ADR,10.000,All,All,FF,9.611,9.611,0.085,0.003,0.001,,2.415,6.037,-0.240,9.940,2.415,6.037
ADR,10.000,designator2_pad,designator2,FF,9.611,9.611,0.085,0.003,0.001,,2.415,6.037,-0.240,9.940,2.415,6.037
ADR,10.000,All,All,SS,8.898,8.898,0.133,0.002,0.006,,2.869,4.311,8.414,0.806,2.853,4.311
ADR,10.000,designator2_pad,designator2,SS,8.898,8.898,0.133,0.002,0.006,,2.869,4.311,8.414,0.806,2.853,4.311
CS,10.000,All,All,All,8.913,8.913,0.137,0.002,0.004,,2.577,5.765,-0.226,9.906,2.550,5.766
CS,10.000,designator2_pad,designator2,All,8.913,8.913,0.137,0.002,0.004,,2.577,5.765,-0.226,9.906,2.550,5.766
CS,10.000,All,All,FF,9.596,9.596,0.085,0.002,0.001,,2.577,5.765,-0.226,9.906,2.550,5.766
CS,10.000,designator2_pad,designator2,FF,9.596,9.596,0.085,0.002,0.001,,2.577,5.765,-0.226,9.906,2.550,5.766
CS,10.000,All,All,SS,8.913,8.913,0.137,0.001,0.004,,2.865,4.302,8.411,0.809,2.856,4.302
CS,10.000,designator2_pad,designator2,SS,8.913,8.913,0.137,0.001,0.004,,2.865,4.302,8.411,0.809,2.856,4.302
DQ,10.000,All,All,All,9.171,9.171,0.093,0.077,0.064,,2.507,5.540,-0.110,9.850,2.507,5.540
DQ,10.000,designator2_pad,designator2,All,9.171,9.171,0.093,0.077,0.064,,2.507,5.540,-0.110,9.850,2.507,5.540
DQ,10.000,All,All,FF,9.695,9.695,0.059,0.023,0.010,,2.507,5.540,-0.110,9.850,2.507,5.540
DQ,10.000,designator2_pad,designator2,FF,9.695,9.695,0.059,0.023,0.010,,2.507,5.540,-0.110,9.850,2.507,5.540
DQ,10.000,All,All,SS,9.171,9.171,0.093,0.077,0.064,,2.691,4.323,8.480,0.820,2.687,4.323
DQ,10.000,designator2_pad,designator2,SS,9.171,9.171,0.093,0.077,0.064,,2.691,4.323,8.480,0.820,2.687,4.323
DQM,10.000,All,All,All,9.197,9.197,0.042,0.033,0.025,,2.438,5.831,-0.101,9.881,2.438,5.831
DQM,10.000,designator2_pad,designator2,All,9.197,9.197,0.042,0.033,0.025,,2.438,5.831,-0.101,9.881,2.438,5.831
DQM,10.000,All,All,FF,9.733,9.733,0.030,0.028,0.025,,2.438,5.831,-0.101,9.881,2.438,5.831
DQM,10.000,designator2_pad,designator2,FF,9.733,9.733,0.030,0.028,0.025,,2.438,5.831,-0.101,9.881,2.438,5.831
DQM,10.000,All,All,SS,9.197,9.197,0.042,0.033,0.006,,2.684,4.276,8.439,0.802,2.684,4.276
DQM,10.000,designator2_pad,designator2,SS,9.197,9.197,0.042,0.033,0.006,,2.684,4.276,8.439,0.802,2.684,4.276
WE,10.000,All,All,All,8.675,8.675,0.185,0.001,0.004,,3.062,4.325,-0.385,9.905,2.993,4.325
WE,10.000,designator2_pad,designator2,All,8.675,8.675,0.185,0.001,0.004,,3.062,4.325,-0.385,9.905,2.993,4.325
WE,10.000,All,All,FF,9.435,9.435,0.088,0.001,0.002,,3.351,4.325,-0.385,9.905,3.351,4.325
WE,10.000,designator2_pad,designator2,FF,9.435,9.435,0.088,0.001,0.002,,3.351,4.325,-0.385,9.905,3.351,4.325
WE,10.000,All,All,SS,8.675,8.675,0.185,0.001,0.004,,3.062,3.232,8.000,0.860,3.062,3.234
WE,10.000,designator2_pad,designator2,SS,8.675,8.675,0.185,0.001,0.004,,3.062,3.232,8.000,0.860,3.062,3.234
