Setup Margin (ns),Hold Margin (ns),Data R/F,Transfer Net,Driver,Receiver,UI (ns),Min Data Etch Delay (ns),Max Data Etch Delay (ns),Min Tco (ns),Max Tco (ns),Setup (ns),Hold (ns),Setup Skew (ns),Hold Skew (ns),Source Clock Net,Target Clock Net,Simulation,Corner
3.351,3.633,R,ADR,designator1,designator2,10.000,0.233,0.949,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_2\designator1_ssse_2.csd,SSSE
2.897,3.701,F,ADR,designator1,designator2,10.000,0.301,1.403,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_2\designator1_ssse_2.csd,SSSE
3.164,3.804,R,ADR,designator1,designator2,10.000,0.404,1.136,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_3\designator1_ssse_3.csd,SSSE
2.799,3.933,F,ADR,designator1,designator2,10.000,0.533,1.501,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_3\designator1_ssse_3.csd,SSSE
3.024,3.931,R,ADR,designator1,designator2,10.000,0.531,1.276,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_4\designator1_ssse_4.csd,SSSE
2.739,4.064,F,ADR,designator1,designator2,10.000,0.664,1.561,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_4\designator1_ssse_4.csd,SSSE
2.844,4.127,R,ADR,designator1,designator2,10.000,0.727,1.456,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_5\designator1_ssse_5.csd,SSSE
2.593,4.225,F,ADR,designator1,designator2,10.000,0.825,1.707,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_5\designator1_ssse_5.csd,SSSE
2.625,4.381,R,ADR,designator1,designator2,10.000,0.981,1.675,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_6\designator1_ssse_6.csd,SSSE
2.410,4.465,F,ADR,designator1,designator2,10.000,1.065,1.890,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_6\designator1_ssse_6.csd,SSSE
5.786,1.597,R,ADR,designator1,designator2,10.000,0.197,0.514,2.200,2.200,1.500,0.800,0.000,0.000,NA,NA,designator1_fffe_2\designator1_fffe_2.csd,FFFE
5.808,1.599,F,ADR,designator1,designator2,10.000,0.199,0.492,2.200,2.200,1.500,0.800,0.000,0.000,NA,NA,designator1_fffe_2\designator1_fffe_2.csd,FFFE
5.640,1.736,R,ADR,designator1,designator2,10.000,0.336,0.660,2.200,2.200,1.500,0.800,0.000,0.000,NA,NA,designator1_fffe_3\designator1_fffe_3.csd,FFFE
5.651,1.731,F,ADR,designator1,designator2,10.000,0.331,0.649,2.200,2.200,1.500,0.800,0.000,0.000,NA,NA,designator1_fffe_3\designator1_fffe_3.csd,FFFE
5.457,1.932,R,ADR,designator1,designator2,10.000,0.532,0.843,2.200,2.200,1.500,0.800,0.000,0.000,NA,NA,designator1_fffe_4\designator1_fffe_4.csd,FFFE
5.460,1.931,F,ADR,designator1,designator2,10.000,0.531,0.840,2.200,2.200,1.500,0.800,0.000,0.000,NA,NA,designator1_fffe_4\designator1_fffe_4.csd,FFFE
5.295,2.096,R,ADR,designator1,designator2,10.000,0.696,1.005,2.200,2.200,1.500,0.800,0.000,0.000,NA,NA,designator1_fffe_5\designator1_fffe_5.csd,FFFE
5.287,2.104,F,ADR,designator1,designator2,10.000,0.704,1.013,2.200,2.200,1.500,0.800,0.000,0.000,NA,NA,designator1_fffe_5\designator1_fffe_5.csd,FFFE
5.155,2.224,R,ADR,designator1,designator2,10.000,0.824,1.145,2.200,2.200,1.500,0.800,0.000,0.000,NA,NA,designator1_fffe_6\designator1_fffe_6.csd,FFFE
5.172,2.225,F,ADR,designator1,designator2,10.000,0.825,1.128,2.200,2.200,1.500,0.800,0.000,0.000,NA,NA,designator1_fffe_6\designator1_fffe_6.csd,FFFE
3.350,3.633,R,CS,designator1,designator2,10.000,0.233,0.950,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_2\designator1_ssse_2.csd,SSSE
2.909,3.703,F,CS,designator1,designator2,10.000,0.303,1.391,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_2\designator1_ssse_2.csd,SSSE
3.161,3.804,R,CS,designator1,designator2,10.000,0.404,1.139,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_3\designator1_ssse_3.csd,SSSE
2.746,3.935,F,CS,designator1,designator2,10.000,0.535,1.554,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_3\designator1_ssse_3.csd,SSSE
3.023,3.933,R,CS,designator1,designator2,10.000,0.533,1.277,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_4\designator1_ssse_4.csd,SSSE
2.731,4.067,F,CS,designator1,designator2,10.000,0.667,1.569,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_4\designator1_ssse_4.csd,SSSE
2.841,4.121,R,CS,designator1,designator2,10.000,0.721,1.459,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_5\designator1_ssse_5.csd,SSSE
2.585,4.224,F,CS,designator1,designator2,10.000,0.824,1.715,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_5\designator1_ssse_5.csd,SSSE
2.623,4.387,R,CS,designator1,designator2,10.000,0.987,1.677,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_6\designator1_ssse_6.csd,SSSE
2.405,4.467,F,CS,designator1,designator2,10.000,1.067,1.895,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_6\designator1_ssse_6.csd,SSSE
5.790,1.587,R,CS,designator1,designator2,10.000,0.187,0.510,2.200,2.200,1.500,0.800,0.000,0.000,NA,NA,designator1_fffe_2\designator1_fffe_2.csd,FFFE
5.815,1.595,F,CS,designator1,designator2,10.000,0.195,0.485,2.200,2.200,1.500,0.800,0.000,0.000,NA,NA,designator1_fffe_2\designator1_fffe_2.csd,FFFE
5.633,1.729,R,CS,designator1,designator2,10.000,0.329,0.667,2.200,2.200,1.500,0.800,0.000,0.000,NA,NA,designator1_fffe_3\designator1_fffe_3.csd,FFFE
5.658,1.730,F,CS,designator1,designator2,10.000,0.330,0.642,2.200,2.200,1.500,0.800,0.000,0.000,NA,NA,designator1_fffe_3\designator1_fffe_3.csd,FFFE
5.463,1.924,R,CS,designator1,designator2,10.000,0.524,0.837,2.200,2.200,1.500,0.800,0.000,0.000,NA,NA,designator1_fffe_4\designator1_fffe_4.csd,FFFE
5.470,1.929,F,CS,designator1,designator2,10.000,0.529,0.830,2.200,2.200,1.500,0.800,0.000,0.000,NA,NA,designator1_fffe_4\designator1_fffe_4.csd,FFFE
5.297,2.075,R,CS,designator1,designator2,10.000,0.675,1.003,2.200,2.200,1.500,0.800,0.000,0.000,NA,NA,designator1_fffe_5\designator1_fffe_5.csd,FFFE
5.294,2.099,F,CS,designator1,designator2,10.000,0.699,1.006,2.200,2.200,1.500,0.800,0.000,0.000,NA,NA,designator1_fffe_5\designator1_fffe_5.csd,FFFE
5.167,2.213,R,CS,designator1,designator2,10.000,0.813,1.133,2.200,2.200,1.500,0.800,0.000,0.000,NA,NA,designator1_fffe_6\designator1_fffe_6.csd,FFFE
5.178,2.217,F,CS,designator1,designator2,10.000,0.817,1.122,2.200,2.200,1.500,0.800,0.000,0.000,NA,NA,designator1_fffe_6\designator1_fffe_6.csd,FFFE
3.770,3.328,R,DQ,designator1,designator2,10.000,-0.072,0.530,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_2\designator1_ssse_2.csd,SSSE
3.500,3.369,F,DQ,designator1,designator2,10.000,-0.031,0.800,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_2\designator1_ssse_2.csd,SSSE
3.583,3.518,R,DQ,designator1,designator2,10.000,0.118,0.717,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_3\designator1_ssse_3.csd,SSSE
3.420,3.566,F,DQ,designator1,designator2,10.000,0.166,0.880,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_3\designator1_ssse_3.csd,SSSE
3.370,3.727,R,DQ,designator1,designator2,10.000,0.327,0.930,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_4\designator1_ssse_4.csd,SSSE
3.186,3.769,F,DQ,designator1,designator2,10.000,0.369,1.114,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_4\designator1_ssse_4.csd,SSSE
3.170,3.920,R,DQ,designator1,designator2,10.000,0.520,1.130,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_5\designator1_ssse_5.csd,SSSE
2.954,3.966,F,DQ,designator1,designator2,10.000,0.566,1.346,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_5\designator1_ssse_5.csd,SSSE
2.990,4.021,R,DQ,designator1,designator2,10.000,0.621,1.310,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_6\designator1_ssse_6.csd,SSSE
2.797,4.083,F,DQ,designator1,designator2,10.000,0.683,1.503,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_6\designator1_ssse_6.csd,SSSE
6.041,1.403,R,DQ,designator1,designator2,10.000,0.003,0.259,2.200,2.200,1.500,0.800,0.000,0.000,NA,NA,designator1_fffe_2\designator1_fffe_2.csd,FFFE
6.107,1.357,F,DQ,designator1,designator2,10.000,-0.043,0.193,2.200,2.200,1.500,0.800,0.000,0.000,NA,NA,designator1_fffe_2\designator1_fffe_2.csd,FFFE
5.876,1.565,R,DQ,designator1,designator2,10.000,0.165,0.424,2.200,2.200,1.500,0.800,0.000,0.000,NA,NA,designator1_fffe_3\designator1_fffe_3.csd,FFFE
5.946,1.517,F,DQ,designator1,designator2,10.000,0.117,0.354,2.200,2.200,1.500,0.800,0.000,0.000,NA,NA,designator1_fffe_3\designator1_fffe_3.csd,FFFE
5.720,1.725,R,DQ,designator1,designator2,10.000,0.325,0.580,2.200,2.200,1.500,0.800,0.000,0.000,NA,NA,designator1_fffe_4\designator1_fffe_4.csd,FFFE
5.781,1.679,F,DQ,designator1,designator2,10.000,0.279,0.519,2.200,2.200,1.500,0.800,0.000,0.000,NA,NA,designator1_fffe_4\designator1_fffe_4.csd,FFFE
5.535,1.887,R,DQ,designator1,designator2,10.000,0.487,0.765,2.200,2.200,1.500,0.800,0.000,0.000,NA,NA,designator1_fffe_5\designator1_fffe_5.csd,FFFE
5.623,1.833,F,DQ,designator1,designator2,10.000,0.433,0.677,2.200,2.200,1.500,0.800,0.000,0.000,NA,NA,designator1_fffe_5\designator1_fffe_5.csd,FFFE
5.374,2.053,R,DQ,designator1,designator2,10.000,0.653,0.926,2.200,2.200,1.500,0.800,0.000,0.000,NA,NA,designator1_fffe_6\designator1_fffe_6.csd,FFFE
5.414,2.007,F,DQ,designator1,designator2,10.000,0.607,0.886,2.200,2.200,1.500,0.800,0.000,0.000,NA,NA,designator1_fffe_6\designator1_fffe_6.csd,FFFE
3.903,3.219,R,DQM,designator1,designator2,10.000,-0.181,0.397,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_2\designator1_ssse_2.csd,SSSE
3.665,3.232,F,DQM,designator1,designator2,10.000,-0.168,0.635,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_2\designator1_ssse_2.csd,SSSE
3.697,3.404,R,DQM,designator1,designator2,10.000,0.004,0.603,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_3\designator1_ssse_3.csd,SSSE
3.524,3.448,F,DQM,designator1,designator2,10.000,0.048,0.776,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_3\designator1_ssse_3.csd,SSSE
3.517,3.612,R,DQM,designator1,designator2,10.000,0.212,0.783,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_4\designator1_ssse_4.csd,SSSE
3.339,3.644,F,DQM,designator1,designator2,10.000,0.244,0.961,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_4\designator1_ssse_4.csd,SSSE
3.281,3.809,R,DQM,designator1,designator2,10.000,0.409,1.019,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_5\designator1_ssse_5.csd,SSSE
3.096,3.843,F,DQM,designator1,designator2,10.000,0.443,1.204,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_5\designator1_ssse_5.csd,SSSE
3.118,3.961,R,DQM,designator1,designator2,10.000,0.561,1.182,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_6\designator1_ssse_6.csd,SSSE
2.901,4.021,F,DQM,designator1,designator2,10.000,0.621,1.399,4.200,4.200,1.500,0.800,0.000,0.000,NA,NA,designator1_ssse_6\designator1_ssse_6.csd,SSSE
