Warning,Part,IBIS File,IBIS Component,Timing File,Timing Model,Pin Number,Pin Name,Model Name,Model Type,Additional Data
Part pin not referenced in Transfer Net List,55202_3,55202_3.ibs,ICS552-02,55202_3.tmg,55202_3,3, Q0,3V6XX,Output,
Part pin not referenced in Transfer Net List,55202_3,55202_3.ibs,ICS552-02,55202_3.tmg,55202_3,4, Q1,3V6XX,Output,
Part pin not referenced in Transfer Net List,55202_3,55202_3.ibs,ICS552-02,55202_3.tmg,55202_3,6, Q3,3V6XX,Output,
Part pin not referenced in Transfer Net List,55202_3,55202_3.ibs,ICS552-02,55202_3.tmg,55202_3,11, Q4,3V6XX,Output,
Part pin not referenced in Transfer Net List,55202_3,55202_3.ibs,ICS552-02,55202_3.tmg,55202_3,12, Q5,3V6XX,Output,
Part pin not referenced in Transfer Net List,55202_3,55202_3.ibs,ICS552-02,55202_3.tmg,55202_3,13, Q6,3V6XX,Output,
Part pin not referenced in Transfer Net List,55202_3,55202_3.ibs,ICS552-02,55202_3.tmg,55202_3,14, Q7,3V6XX,Output,
Part pin not referenced in Transfer Net List,Y15w,Y15w.ibs,MT48LC32M4A2TG,Y15w.tmg,Y15w,5, DQ0,dqbuff,I/O,
Part pin not referenced in Transfer Net List,Y15w,Y15w.ibs,MT48LC32M4A2TG,Y15w.tmg,Y15w,11, DQ1,dqbuff,I/O,
Part pin not referenced in Transfer Net List,Y15w,Y15w.ibs,MT48LC32M4A2TG,Y15w.tmg,Y15w,16, WE#,inbuff2,Input,
Part pin not referenced in Transfer Net List,Y15w,Y15w.ibs,MT48LC32M4A2TG,Y15w.tmg,Y15w,17, CAS#,inbuff,Input,
Part pin not referenced in Transfer Net List,Y15w,Y15w.ibs,MT48LC32M4A2TG,Y15w.tmg,Y15w,18, RAS#,inbuff,Input,
Part pin not referenced in Transfer Net List,Y15w,Y15w.ibs,MT48LC32M4A2TG,Y15w.tmg,Y15w,19, CS#,inbuff3,Input,
Part pin not referenced in Transfer Net List,Y15w,Y15w.ibs,MT48LC32M4A2TG,Y15w.tmg,Y15w,20, BA0,inbuff,Input,
Part pin not referenced in Transfer Net List,Y15w,Y15w.ibs,MT48LC32M4A2TG,Y15w.tmg,Y15w,21, BA1,inbuff,Input,
Part pin not referenced in Transfer Net List,Y15w,Y15w.ibs,MT48LC32M4A2TG,Y15w.tmg,Y15w,22, A10,inbuff,Input,
Part pin not referenced in Transfer Net List,Y15w,Y15w.ibs,MT48LC32M4A2TG,Y15w.tmg,Y15w,23, A0,inbuff,Input,
Part pin not referenced in Transfer Net List,Y15w,Y15w.ibs,MT48LC32M4A2TG,Y15w.tmg,Y15w,24, A1,inbuff,Input,
Part pin not referenced in Transfer Net List,Y15w,Y15w.ibs,MT48LC32M4A2TG,Y15w.tmg,Y15w,25, A2,inbuff,Input,
Part pin not referenced in Transfer Net List,Y15w,Y15w.ibs,MT48LC32M4A2TG,Y15w.tmg,Y15w,26, A3,inbuff,Input,
Part pin not referenced in Transfer Net List,Y15w,Y15w.ibs,MT48LC32M4A2TG,Y15w.tmg,Y15w,29, A4,inbuff,Input,
Part pin not referenced in Transfer Net List,Y15w,Y15w.ibs,MT48LC32M4A2TG,Y15w.tmg,Y15w,30, A5,inbuff,Input,
Part pin not referenced in Transfer Net List,Y15w,Y15w.ibs,MT48LC32M4A2TG,Y15w.tmg,Y15w,31, A6,inbuff,Input,
Part pin not referenced in Transfer Net List,Y15w,Y15w.ibs,MT48LC32M4A2TG,Y15w.tmg,Y15w,32, A7,inbuff,Input,
Part pin not referenced in Transfer Net List,Y15w,Y15w.ibs,MT48LC32M4A2TG,Y15w.tmg,Y15w,33, A8,inbuff,Input,
Part pin not referenced in Transfer Net List,Y15w,Y15w.ibs,MT48LC32M4A2TG,Y15w.tmg,Y15w,34, A9,inbuff,Input,
Part pin not referenced in Transfer Net List,Y15w,Y15w.ibs,MT48LC32M4A2TG,Y15w.tmg,Y15w,35, A11,inbuff,Input,
Part pin not referenced in Transfer Net List,Y15w,Y15w.ibs,MT48LC32M4A2TG,Y15w.tmg,Y15w,37, CKE,inbuff3,Input,
Part pin not referenced in Transfer Net List,Y15w,Y15w.ibs,MT48LC32M4A2TG,Y15w.tmg,Y15w,39, DQM,inbuff3,Input,
Part pin not referenced in Transfer Net List,Y15w,Y15w.ibs,MT48LC32M4A2TG,Y15w.tmg,Y15w,44, DQ2,dqbuff,I/O,
Part pin not referenced in Transfer Net List,Y15w,Y15w.ibs,MT48LC32M4A2TG,Y15w.tmg,Y15w,50, DQ3,dqbuff,I/O,
