Transfer Net,Driver,Receiver,R / F,Min Etch Delay (ns),Max Etch Delay (ns),AC-DC Slew Rate (V/ns),Corner,Edge #,Time (ns),Pulse Width (ns),Delay Variation (ns),Driver Probe Point,Receiver Node,Min Raw Etch Delay (ns),Max Raw Etch Delay (ns),Min Derate (ns),Max Derate (ns),Standard Load Delay (ns),Simulation,Ac Noise,Ac Noise Source,$T1:DELAY,PATTERN
skew1,designator1,designator2,R,0.663,0.821,7.626,TTTE,7,22.101,3.000,0.158,SL_PAD/,designator2_pad,0.969,1.127,0.000,0.000,0.306,designator1_ttte_4\designator1_ttte_4.csd,0.00V,tnet,4in,NJ
skew1,designator1,designator2,F,0.748,0.874,9.509,TTTE,8,25.114,3.000,0.126,SL_PAD/,designator2_pad,1.001,1.127,0.000,0.000,0.253,designator1_ttte_4\designator1_ttte_4.csd,0.00V,tnet,4in,NJ
skew1,designator1,designator2,R,0.660,0.819,7.563,TTTE,9,28.098,3.000,0.159,SL_PAD/,designator2_pad,0.966,1.125,0.000,0.000,0.306,designator1_ttte_4\designator1_ttte_4.csd,0.00V,tnet,4in,NJ
skew1,designator1,designator2,F,0.747,0.874,9.484,TTTE,10,31.114,3.000,0.127,SL_PAD/,designator2_pad,1.000,1.127,0.000,0.000,0.253,designator1_ttte_4\designator1_ttte_4.csd,0.00V,tnet,4in,NJ
skew1,designator1,designator2,R,0.660,0.819,7.539,TTTE,11,34.098,3.000,0.159,SL_PAD/,designator2_pad,0.966,1.125,0.000,0.000,0.306,designator1_ttte_4\designator1_ttte_4.csd,0.00V,tnet,4in,NJ
skew1,designator1,designator2,F,0.748,0.873,9.547,TTTE,12,37.113,3.000,0.125,SL_PAD/,designator2_pad,1.001,1.126,0.000,0.000,0.253,designator1_ttte_4\designator1_ttte_4.csd,0.00V,tnet,4in,NJ
skew1,designator1,designator2,R,0.659,0.817,7.558,TTTE,13,40.096,3.000,0.158,SL_PAD/,designator2_pad,0.965,1.123,0.000,0.000,0.306,designator1_ttte_4\designator1_ttte_4.csd,0.00V,tnet,4in,NJ
skew1,designator1,designator2,F,0.748,0.874,9.527,TTTE,14,43.114,3.000,0.126,SL_PAD/,designator2_pad,1.001,1.127,0.000,0.000,0.253,designator1_ttte_4\designator1_ttte_4.csd,0.00V,tnet,4in,NJ
skew1,designator1,designator2,R,0.660,0.819,7.577,TTTE,15,46.098,3.000,0.159,SL_PAD/,designator2_pad,0.966,1.125,0.000,0.000,0.306,designator1_ttte_4\designator1_ttte_4.csd,0.00V,tnet,4in,NJ
skew1,designator1,designator2,F,0.748,0.875,9.484,TTTE,16,49.114,3.000,0.127,SL_PAD/,designator2_pad,1.001,1.128,0.000,0.000,0.253,designator1_ttte_4\designator1_ttte_4.csd,0.00V,tnet,4in,NJ
skew1,designator1,designator2,R,0.659,0.821,7.419,TTTE,17,52.100,3.000,0.162,SL_PAD/,designator2_pad,0.965,1.127,0.000,0.000,0.306,designator1_ttte_4\designator1_ttte_4.csd,0.00V,tnet,4in,NJ
skew1,designator1,designator2,F,0.748,0.874,9.510,TTTE,18,55.114,3.000,0.126,SL_PAD/,designator2_pad,1.001,1.127,0.000,0.000,0.253,designator1_ttte_4\designator1_ttte_4.csd,0.00V,tnet,4in,NJ
skew1,designator1,designator2,R,0.660,0.818,7.615,TTTE,19,58.097,3.000,0.158,SL_PAD/,designator2_pad,0.966,1.124,0.000,0.000,0.306,designator1_ttte_4\designator1_ttte_4.csd,0.00V,tnet,4in,NJ
skew1,designator1,designator2,F,0.749,0.876,9.453,TTTE,20,61.116,3.000,0.127,SL_PAD/,designator2_pad,1.002,1.129,0.000,0.000,0.253,designator1_ttte_4\designator1_ttte_4.csd,0.00V,tnet,4in,NJ
skew1,designator1,designator2,R,0.660,0.821,7.463,TTTE,21,64.099,3.000,0.161,SL_PAD/,designator2_pad,0.966,1.127,0.000,0.000,0.306,designator1_ttte_4\designator1_ttte_4.csd,0.00V,tnet,4in,NJ
skew1,designator1,designator2,F,0.748,0.874,9.532,TTTE,22,67.114,3.000,0.126,SL_PAD/,designator2_pad,1.001,1.127,0.000,0.000,0.253,designator1_ttte_4\designator1_ttte_4.csd,0.00V,tnet,4in,NJ
skew1,designator1,designator2,R,0.660,0.819,7.569,TTTE,23,70.098,3.000,0.159,SL_PAD/,designator2_pad,0.966,1.125,0.000,0.000,0.306,designator1_ttte_4\designator1_ttte_4.csd,0.00V,tnet,4in,NJ
skew1,designator1,designator2,R,1.028,1.186,7.595,TTTE,7,22.467,3.000,0.158,SL_PAD/,designator2_pad,1.334,1.492,0.000,0.000,0.306,designator1_ttte_6\designator1_ttte_6.csd,0.00V,tnet,6in,NJ
skew1,designator1,designator2,F,1.114,1.228,10.505,TTTE,8,25.473,3.000,0.114,SL_PAD/,designator2_pad,1.367,1.481,0.000,0.000,0.253,designator1_ttte_6\designator1_ttte_6.csd,0.00V,tnet,6in,NJ
