IBIS File,IBIS Model,Model Type,Corner,Mode,Hspice File,Hspice Model,IV Data,Lib IBIS File,Lib IBIS Model,Vmeas,VmeasRef,VmeasR,VmeasF,Overshoot High,AC Overshoot High,Vin AC High,Vin DC High,AC Ringback High,Ringback High,VinMeas R High,VinMeas F High,VinMeas R Low,VinMeas F Low,Ringback Low,AC Ringback Low,Vin DC Low,Vin AC Low,AC Overshoot Low,Overshoot Low,AC Overshoot High Area,AC Ringback Low Area,Max AC Noise,Crosstalk Sync Thresh,Crosstalk Async Thresh,Crosstalk Delta V,Crosstalk Delta T,Vdiff,Vdiff DC,Vdiff AC,Vdiff Vcm Min,Vdiff Vcm Max,Vcm,Vcm Overshoot,Vdm,TiVW Output Skew,DDR4,ViVW_total,ViVW_dV,Rj_v,VIHL_AC,TiVW_total,TiVW_dj,TiPW,Rj_t,VrefDQ,Vix_DQS,Vix_DQS Ratio,SRIN diVW Min,SRIN diVW Max,SRIdiff Min,SRIdiff Max,Max Eye VinMeas Jitter,Min Eye VinMeas Width,Min Eye VinMeas (H/L) Width,Min Eye VinMeas High Width,Min Eye VinMeas Low Width,Max Eye Outer Height,Min Eye Inner Height,Inner Eye Center Left,Inner Eye Center Right,Outer Eye Center Left,Outer Eye Center Right,Non Monotonic Time,AC Overshoot Time,AC Ringback Time,Slew Time Min,Slew Time Max,Polarity,Enable,Temperature Range,Voltage Range,Pullup Reference,Pulldown Reference,Power Clamp Reference,GND Clamp Reference,Core Voltage,IOVref,Vin_Vref,Probe Points,Stdload Bit Time,C comp,R pkg,C pkg,L pkg,Package File,Package Model,Vref,Rref,Cref,Mod Ref File,Mod Ref,Mod Ref R File,Mod Ref R,Mod Ref F File,Mod Ref F,Td Ref,Zo Ref,Td Back Off Ref,UI Ref,Diff Term File,Diff Term,Mod Ref File Diff,Mod Ref Diff,Force IV 0,Split IV,VT count,Ramp_wf,Tune_wf,dV/dt_r,dV/dt_f,Ramp Offset,Rth_R,Rth_F,Rth_High,Rth_Low,Rth_I,Rdrv_R,Rdrv_F,Rdrv_High,Rdrv_Low,Rterm,Vterm,V Sweep Low,V Sweep High,Used in Tnet
stratix.ibs,1s_gtl25_io,I/O_open_drain,FF,,,,Yes,,,.8,NoDef,.8,.8,NoDef,NoDef,.85,.85,NoDef,.85,.85,.85,.75,.75,.75,NoDef,.75,.75,NoDef,NoDef,NoDef,NoDef,0.,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,,0.,2.625,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,NoDef,9p,.14,440f,1.66n,,,1.2,25.,30p,,,,,,,NoDef,NoDef,NoDef,NoDef,,,,,,,,NoDef,NoDef,6.950e-001/5.700e-010,8.442e-001/1.140e-010,NoDef,NoDef,3.825,NoDef,7.517,3.185G,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,false
stratix.ibs,1s_gtl25_io,I/O_open_drain,TT,,,,Yes,,,.8,NoDef,.8,.8,NoDef,NoDef,.85,.85,NoDef,.85,.85,.85,.75,.75,.75,NoDef,.75,.75,NoDef,NoDef,NoDef,NoDef,0.,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,,25.,2.5,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,NoDef,9p,.31,820f,2.95n,,,1.2,25.,30p,,,,,,,NoDef,NoDef,NoDef,NoDef,,,,,,,,NoDef,NoDef,6.542e-001/6.080e-010,5.131e-001/7.600e-011,NoDef,NoDef,4.594,NoDef,9.135,3.243G,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,false
stratix.ibs,1s_gtl25_io,I/O_open_drain,SS,,,,Yes,,,.8,NoDef,.8,.8,NoDef,NoDef,.85,.85,NoDef,.85,.85,.85,.75,.75,.75,NoDef,.75,.75,NoDef,NoDef,NoDef,NoDef,0.,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,,85.,2.375,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,NoDef,9p,.65,1.58p,5.54n,,,1.2,25.,30p,,,,,,,NoDef,NoDef,NoDef,NoDef,,,,,,,,NoDef,NoDef,5.510e-001/6.080e-010,6.076e-001/1.520e-010,NoDef,NoDef,6.349,NoDef,12.309,1.608G,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,false
stratix.ibs,1s_gtl33_io,I/O_open_drain,FF,,,,Yes,,,.8,NoDef,.8,.8,NoDef,NoDef,.85,.85,NoDef,.85,.85,.85,.75,.75,.75,NoDef,.75,.75,NoDef,NoDef,NoDef,NoDef,0.,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,,0.,3.6,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,NoDef,9p,.14,440f,1.66n,,,1.2,25.,30p,,,,,,,NoDef,NoDef,NoDef,NoDef,,,,,,,,NoDef,NoDef,7.215e-001/5.700e-010,7.428e-001/7.600e-011,NoDef,NoDef,4.503,NoDef,8.113,3.162G,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,false
stratix.ibs,1s_gtl33_io,I/O_open_drain,TT,,,,Yes,,,.8,NoDef,.8,.8,NoDef,NoDef,.85,.85,NoDef,.85,.85,.85,.75,.75,.75,NoDef,.75,.75,NoDef,NoDef,NoDef,NoDef,0.,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,,25.,3.3,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,NoDef,9p,.31,820f,2.95n,,,1.2,25.,30p,,,,,,,NoDef,NoDef,NoDef,NoDef,,,,,,,,NoDef,NoDef,6.575e-001/5.700e-010,8.069e-001/1.140e-010,NoDef,NoDef,5.206,NoDef,9.524,3.228G,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,false
stratix.ibs,1s_gtl33_io,I/O_open_drain,SS,,,,Yes,,,.8,NoDef,.8,.8,NoDef,NoDef,.85,.85,NoDef,.85,.85,.85,.75,.75,.75,NoDef,.75,.75,NoDef,NoDef,NoDef,NoDef,0.,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,,85.,3.,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,NoDef,9p,.65,1.58p,5.54n,,,1.2,25.,30p,,,,,,,NoDef,NoDef,NoDef,NoDef,,,,,,,,NoDef,NoDef,5.704e-001/6.080e-010,5.713e-001/1.140e-010,NoDef,NoDef,6.98,NoDef,12.575,1.604G,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,false
stratix.ibs,1s_gtlp25_io,I/O_open_drain,FF,,,,Yes,,,1.,NoDef,1.,1.,NoDef,NoDef,1.1,1.1,NoDef,1.1,1.1,1.1,.9,.9,.9,NoDef,.9,.9,NoDef,NoDef,NoDef,NoDef,0.,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,,0.,2.625,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,NoDef,9p,.14,440f,1.66n,,,1.5,25.,30p,,,,,,,NoDef,NoDef,NoDef,NoDef,,,,,,,,NoDef,NoDef,7.949e-001/5.700e-010,9.356e-001/1.520e-010,NoDef,NoDef,7.295,NoDef,11.669,3.185G,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,false
stratix.ibs,1s_gtlp25_io,I/O_open_drain,TT,,,,Yes,,,1.,NoDef,1.,1.,NoDef,NoDef,1.1,1.1,NoDef,1.1,1.1,1.1,.9,.9,.9,NoDef,.9,.9,NoDef,NoDef,NoDef,NoDef,0.,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,,25.,2.5,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,NoDef,9p,.31,820f,2.95n,,,1.5,25.,30p,,,,,,,NoDef,NoDef,NoDef,NoDef,,,,,,,,NoDef,NoDef,6.985e-001/5.700e-010,8.206e-001/1.900e-010,NoDef,NoDef,8.514,NoDef,13.888,3.243G,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,false
stratix.ibs,1s_gtlp25_io,I/O_open_drain,SS,,,,Yes,,,1.,NoDef,1.,1.,NoDef,NoDef,1.1,1.1,NoDef,1.1,1.1,1.1,.9,.9,.9,NoDef,.9,.9,NoDef,NoDef,NoDef,NoDef,0.,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,,85.,2.375,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,NoDef,9p,.65,1.58p,5.54n,,,1.5,25.,30p,,,,,,,NoDef,NoDef,NoDef,NoDef,,,,,,,,NoDef,NoDef,6.442e-001/6.080e-010,6.045e-001/2.280e-010,NoDef,NoDef,11.27,NoDef,18.427,1.608G,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,false
stratix.ibs,1s_gtlp33_io,I/O_open_drain,FF,,,,Yes,,,1.,NoDef,1.,1.,NoDef,NoDef,1.1,1.1,NoDef,1.1,1.1,1.1,.9,.9,.9,NoDef,.9,.9,NoDef,NoDef,NoDef,NoDef,0.,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,,0.,3.6,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,NoDef,9p,.14,440f,1.66n,,,1.5,25.,30p,,,,,,,NoDef,NoDef,NoDef,NoDef,,,,,,,,NoDef,NoDef,8.679e-001/5.700e-010,9.696e-001/1.140e-010,NoDef,NoDef,6.76,NoDef,10.48,3.162G,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,false
