Setup Margin (ns),Hold Margin (ns),Data R/F,Transfer Net,Driver,Receiver,UI (ns),Min Data Etch Delay (ns),Max Data Etch Delay (ns),Min Tco (ns),Max Tco (ns),Setup (ns),Hold (ns),Setup Skew (ns),Hold Skew (ns),Source Clock Net,Target Clock Net,Simulation,Corner
-1.310,1.781,R,sheet1,mydriver,myreceiver,3.000,1.281,1.310,1.000,2.000,1.000,0.500,0.000,0.000,NA,NA,mydriver_ttte\mydriver_ttte.csd,TTTE
-1.310,1.780,F,sheet1,mydriver,myreceiver,3.000,1.280,1.310,1.000,2.000,1.000,0.500,0.000,0.000,NA,NA,mydriver_ttte\mydriver_ttte.csd,TTTE
4.363,3.107,R,sheet3,source,target1,10.000,2.607,2.637,1.000,2.000,1.000,0.500,0.000,0.000,NA,NA,source_ttte_50oh_2_2_2\source_ttte_50oh_2_2_2.csd,TTTE
4.364,3.105,F,sheet3,source,target1,10.000,2.605,2.636,1.000,2.000,1.000,0.500,0.000,0.000,NA,NA,source_ttte_50oh_2_2_2\source_ttte_50oh_2_2_2.csd,TTTE
4.787,2.684,R,sheet3,source,target2,10.000,2.184,2.213,1.000,2.000,1.000,0.500,0.000,0.000,NA,NA,source_ttte_50oh_2_2_2\source_ttte_50oh_2_2_2.csd,TTTE
4.788,2.681,F,sheet3,source,target2,10.000,2.181,2.212,1.000,2.000,1.000,0.500,0.000,0.000,NA,NA,source_ttte_50oh_2_2_2\source_ttte_50oh_2_2_2.csd,TTTE
5.276,2.200,R,sheet3,source,target3,10.000,1.700,1.724,1.000,2.000,1.000,0.500,0.000,0.000,NA,NA,source_ttte_50oh_2_2_2\source_ttte_50oh_2_2_2.csd,TTTE
5.277,2.199,F,sheet3,source,target3,10.000,1.699,1.723,1.000,2.000,1.000,0.500,0.000,0.000,NA,NA,source_ttte_50oh_2_2_2\source_ttte_50oh_2_2_2.csd,TTTE
5.372,1.823,R,sheet4,designator2,designator1,10.000,1.323,1.628,1.000,2.000,1.000,0.500,0.000,0.000,NA,NA,designator2_ttte\designator2_ttte.csd,TTTE
5.364,1.823,F,sheet4,designator2,designator1,10.000,1.323,1.636,1.000,2.000,1.000,0.500,0.000,0.000,NA,NA,designator2_ttte\designator2_ttte.csd,TTTE
