Transfer Net,Driver,Receiver,R / F,Min Etch Delay (ns),Max Etch Delay (ns),AC-DC Slew Rate (V/ns),Corner,Edge #,Time (ns),Pulse Width (ns),Delay Variation (ns),Driver Probe Point,Receiver Node,Min Raw Etch Delay (ns),Max Raw Etch Delay (ns),Min Derate (ns),Max Derate (ns),Standard Load Delay (ns),Simulation,Ac Noise,Ac Noise Source,$RSERIESTERM,$W1:LENGTH,$W2:LENGTH,$W3:LENGTH,PATTERN
sheet3,source,target1,F,2.636,2.636,0.520,TTTE,2,33.412,20.000,0.000,SL_PAD/,target1_pad,3.037,3.037,0.000,0.000,0.401,source_ttte_50oh_2_2_2\source_ttte_50oh_2_2_2.csd,0.00V,tnet,50ohm,2in,2in,2in,default_data
sheet3,source,target1,R,2.637,2.637,0.541,TTTE,3,53.413,20.000,0.000,SL_PAD/,target1_pad,3.038,3.038,0.000,0.000,0.401,source_ttte_50oh_2_2_2\source_ttte_50oh_2_2_2.csd,0.00V,tnet,50ohm,2in,2in,2in,default_data
sheet3,source,target1,F,2.605,2.605,0.528,TTTE,4,63.381,10.000,0.000,SL_PAD/,target1_pad,3.006,3.006,0.000,0.000,0.401,source_ttte_50oh_2_2_2\source_ttte_50oh_2_2_2.csd,0.00V,tnet,50ohm,2in,2in,2in,default_data
sheet3,source,target1,R,2.607,2.607,0.538,TTTE,5,73.383,10.000,0.000,SL_PAD/,target1_pad,3.008,3.008,0.000,0.000,0.401,source_ttte_50oh_2_2_2\source_ttte_50oh_2_2_2.csd,0.00V,tnet,50ohm,2in,2in,2in,default_data
sheet3,source,target1,F,2.606,2.606,0.529,TTTE,6,83.382,10.000,0.000,SL_PAD/,target1_pad,3.007,3.007,0.000,0.000,0.401,source_ttte_50oh_2_2_2\source_ttte_50oh_2_2_2.csd,0.00V,tnet,50ohm,2in,2in,2in,default_data
sheet3,source,target1,R,2.607,2.607,0.538,TTTE,7,93.383,10.000,0.000,SL_PAD/,target1_pad,3.008,3.008,0.000,0.000,0.401,source_ttte_50oh_2_2_2\source_ttte_50oh_2_2_2.csd,0.00V,tnet,50ohm,2in,2in,2in,default_data
sheet3,source,target2,F,2.212,2.212,0.583,TTTE,2,32.988,20.000,0.000,SL_PAD/,target2_pad,2.613,2.613,0.000,0.000,0.401,source_ttte_50oh_2_2_2\source_ttte_50oh_2_2_2.csd,0.00V,tnet,50ohm,2in,2in,2in,default_data
sheet3,source,target2,R,2.213,2.213,0.932,TTTE,3,52.989,20.000,0.000,SL_PAD/,target2_pad,2.614,2.614,0.000,0.000,0.401,source_ttte_50oh_2_2_2\source_ttte_50oh_2_2_2.csd,0.00V,tnet,50ohm,2in,2in,2in,default_data
sheet3,source,target2,F,2.181,2.181,0.559,TTTE,4,62.957,10.000,0.000,SL_PAD/,target2_pad,2.582,2.582,0.000,0.000,0.401,source_ttte_50oh_2_2_2\source_ttte_50oh_2_2_2.csd,0.00V,tnet,50ohm,2in,2in,2in,default_data
sheet3,source,target2,R,2.184,2.184,0.934,TTTE,5,72.960,10.000,0.000,SL_PAD/,target2_pad,2.585,2.585,0.000,0.000,0.401,source_ttte_50oh_2_2_2\source_ttte_50oh_2_2_2.csd,0.00V,tnet,50ohm,2in,2in,2in,default_data
sheet3,source,target2,F,2.184,2.184,0.559,TTTE,6,82.960,10.000,0.000,SL_PAD/,target2_pad,2.585,2.585,0.000,0.000,0.401,source_ttte_50oh_2_2_2\source_ttte_50oh_2_2_2.csd,0.00V,tnet,50ohm,2in,2in,2in,default_data
sheet3,source,target2,R,2.184,2.184,0.933,TTTE,7,92.960,10.000,0.000,SL_PAD/,target2_pad,2.585,2.585,0.000,0.000,0.401,source_ttte_50oh_2_2_2\source_ttte_50oh_2_2_2.csd,0.00V,tnet,50ohm,2in,2in,2in,default_data
sheet3,source,target3,F,1.723,1.723,0.437,TTTE,2,32.499,20.000,0.000,SL_PAD/,target3_pad,2.124,2.124,0.000,0.000,0.401,source_ttte_50oh_2_2_2\source_ttte_50oh_2_2_2.csd,0.00V,tnet,50ohm,2in,2in,2in,default_data
sheet3,source,target3,R,1.724,1.724,2.858,TTTE,3,52.500,20.000,0.000,SL_PAD/,target3_pad,2.125,2.125,0.000,0.000,0.401,source_ttte_50oh_2_2_2\source_ttte_50oh_2_2_2.csd,0.00V,tnet,50ohm,2in,2in,2in,default_data
sheet3,source,target3,F,1.699,1.699,0.437,TTTE,4,62.475,10.000,0.000,SL_PAD/,target3_pad,2.100,2.100,0.000,0.000,0.401,source_ttte_50oh_2_2_2\source_ttte_50oh_2_2_2.csd,0.00V,tnet,50ohm,2in,2in,2in,default_data
sheet3,source,target3,R,1.700,1.700,2.833,TTTE,5,72.476,10.000,0.000,SL_PAD/,target3_pad,2.101,2.101,0.000,0.000,0.401,source_ttte_50oh_2_2_2\source_ttte_50oh_2_2_2.csd,0.00V,tnet,50ohm,2in,2in,2in,default_data
sheet3,source,target3,F,1.700,1.700,0.437,TTTE,6,82.476,10.000,0.000,SL_PAD/,target3_pad,2.101,2.101,0.000,0.000,0.401,source_ttte_50oh_2_2_2\source_ttte_50oh_2_2_2.csd,0.00V,tnet,50ohm,2in,2in,2in,default_data
sheet3,source,target3,R,1.700,1.700,2.835,TTTE,7,92.476,10.000,0.000,SL_PAD/,target3_pad,2.101,2.101,0.000,0.000,0.401,source_ttte_50oh_2_2_2\source_ttte_50oh_2_2_2.csd,0.00V,tnet,50ohm,2in,2in,2in,default_data
