Part,IBIS File,IBIS Component,IBIS Model,Model Type,Corner,Mode,Vmeas R,Vmeas R Value,Vmeas F,Vmeas F Value,AC Overshoot Time,AC Overshoot Time Value,Slew Time Max,Slew Time Max Value,Overshoot High,Overshoot High Value,AC Overshoot High,AC Overshoot High Value,Vin AC High,Vin AC High Value,Vin DC High,Vin DC High Value,Ringback High,Ringback High Value,VinMeas R High,VinMeas R High Value,VinMeas F High,VinMeas F High Value,VinMeas R Low,VinMeas R Low Value,VinMeas F Low,VinMeas F Low Value,VinVref,VinVref Value,Ringback Low,Ringback Low Value,Vin DC Low,Vin DC Low Value,Vin AC Low,Vin AC Low Value,AC Overshoot Low,AC Overshoot Low Value,Overshoot Low,Overshoot Low Value,VCM Min,VCM Min Value,VCM Max,VCM Max Value
generic_3_3v,generic_3_3v.ibs,generic_3_3v,3_3V_I,Input,FF,,Vmeas,1.65,Vmeas,1.65,NoDef,NoDef,NoDef,NoDef,Overshoot_High,3.9,NA,NA,VinH,2.,VinH,2.,VinH,2.,Vin_Meas_R_High,1.65,Vin_Meas_F_High,1.65,Vin_Meas_R_Low,1.65,Vin_Meas_F_Low,1.65,(Vin_Meas_Low+Vin_Meas_High)/2,1.65,VinL,.8,VinL,.8,VinL,.8,NA,NA,Overshoot_Low,-.55,NA,NoDef,NA,NoDef
generic_3_3v,generic_3_3v.ibs,generic_3_3v,3_3V_I,Input,TT,,Vmeas,1.65,Vmeas,1.65,NoDef,NoDef,NoDef,NoDef,Overshoot_High,3.8,NA,NA,VinH,2.,VinH,2.,VinH,2.,Vin_Meas_R_High,1.65,Vin_Meas_F_High,1.65,Vin_Meas_R_Low,1.65,Vin_Meas_F_Low,1.65,(Vin_Meas_Low+Vin_Meas_High)/2,1.65,VinL,.8,VinL,.8,VinL,.8,NA,NA,Overshoot_Low,-.5,NA,NoDef,NA,NoDef
generic_3_3v,generic_3_3v.ibs,generic_3_3v,3_3V_I,Input,SS,,Vmeas,1.65,Vmeas,1.65,NoDef,NoDef,NoDef,NoDef,Overshoot_High,3.7,NA,NA,VinH,2.,VinH,2.,VinH,2.,Vin_Meas_R_High,1.65,Vin_Meas_F_High,1.65,Vin_Meas_R_Low,1.65,Vin_Meas_F_Low,1.65,(Vin_Meas_Low+Vin_Meas_High)/2,1.65,VinL,.8,VinL,.8,VinL,.8,NA,NA,Overshoot_Low,-.45,NA,NoDef,NA,NoDef
generic_3_3v,generic_3_3v.ibs,generic_3_3v,3_3V_IO_fast_10ohm,I/O,FF,,Vmeas,1.65,Vmeas,1.65,NoDef,NoDef,NoDef,NoDef,Overshoot_High,3.9,NA,NA,VinH,2.,VinH,2.,VinH,2.,Vin_Meas_R_High,1.65,Vin_Meas_F_High,1.65,Vin_Meas_R_Low,1.65,Vin_Meas_F_Low,1.65,(Vin_Meas_Low+Vin_Meas_High)/2,1.65,VinL,.8,VinL,.8,VinL,.8,NA,NA,Overshoot_Low,-.55,NA,NoDef,NA,NoDef
generic_3_3v,generic_3_3v.ibs,generic_3_3v,3_3V_IO_fast_10ohm,I/O,TT,,Vmeas,1.65,Vmeas,1.65,NoDef,NoDef,NoDef,NoDef,Overshoot_High,3.8,NA,NA,VinH,2.,VinH,2.,VinH,2.,Vin_Meas_R_High,1.65,Vin_Meas_F_High,1.65,Vin_Meas_R_Low,1.65,Vin_Meas_F_Low,1.65,(Vin_Meas_Low+Vin_Meas_High)/2,1.65,VinL,.8,VinL,.8,VinL,.8,NA,NA,Overshoot_Low,-.5,NA,NoDef,NA,NoDef
generic_3_3v,generic_3_3v.ibs,generic_3_3v,3_3V_IO_fast_10ohm,I/O,SS,,Vmeas,1.65,Vmeas,1.65,NoDef,NoDef,NoDef,NoDef,Overshoot_High,3.7,NA,NA,VinH,2.,VinH,2.,VinH,2.,Vin_Meas_R_High,1.65,Vin_Meas_F_High,1.65,Vin_Meas_R_Low,1.65,Vin_Meas_F_Low,1.65,(Vin_Meas_Low+Vin_Meas_High)/2,1.65,VinL,.8,VinL,.8,VinL,.8,NA,NA,Overshoot_Low,-.45,NA,NoDef,NA,NoDef
generic_3_3v,generic_3_3v.ibs,generic_3_3v,3_3V_IO_fast_20ohm,I/O,FF,,Vmeas,1.65,Vmeas,1.65,NoDef,NoDef,NoDef,NoDef,Overshoot_High,3.9,NA,NA,VinH,2.,VinH,2.,VinH,2.,Vin_Meas_R_High,1.65,Vin_Meas_F_High,1.65,Vin_Meas_R_Low,1.65,Vin_Meas_F_Low,1.65,(Vin_Meas_Low+Vin_Meas_High)/2,1.65,VinL,.8,VinL,.8,VinL,.8,NA,NA,Overshoot_Low,-.55,NA,NoDef,NA,NoDef
generic_3_3v,generic_3_3v.ibs,generic_3_3v,3_3V_IO_fast_20ohm,I/O,TT,,Vmeas,1.65,Vmeas,1.65,NoDef,NoDef,NoDef,NoDef,Overshoot_High,3.8,NA,NA,VinH,2.,VinH,2.,VinH,2.,Vin_Meas_R_High,1.65,Vin_Meas_F_High,1.65,Vin_Meas_R_Low,1.65,Vin_Meas_F_Low,1.65,(Vin_Meas_Low+Vin_Meas_High)/2,1.65,VinL,.8,VinL,.8,VinL,.8,NA,NA,Overshoot_Low,-.5,NA,NoDef,NA,NoDef
generic_3_3v,generic_3_3v.ibs,generic_3_3v,3_3V_IO_fast_20ohm,I/O,SS,,Vmeas,1.65,Vmeas,1.65,NoDef,NoDef,NoDef,NoDef,Overshoot_High,3.7,NA,NA,VinH,2.,VinH,2.,VinH,2.,Vin_Meas_R_High,1.65,Vin_Meas_F_High,1.65,Vin_Meas_R_Low,1.65,Vin_Meas_F_Low,1.65,(Vin_Meas_Low+Vin_Meas_High)/2,1.65,VinL,.8,VinL,.8,VinL,.8,NA,NA,Overshoot_Low,-.45,NA,NoDef,NA,NoDef
generic_3_3v,generic_3_3v.ibs,generic_3_3v,3_3V_IO_fast_30ohm,I/O,FF,,Vmeas,1.65,Vmeas,1.65,NoDef,NoDef,NoDef,NoDef,Overshoot_High,3.9,NA,NA,VinH,2.,VinH,2.,VinH,2.,Vin_Meas_R_High,1.65,Vin_Meas_F_High,1.65,Vin_Meas_R_Low,1.65,Vin_Meas_F_Low,1.65,(Vin_Meas_Low+Vin_Meas_High)/2,1.65,VinL,.8,VinL,.8,VinL,.8,NA,NA,Overshoot_Low,-.55,NA,NoDef,NA,NoDef
